Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"12,979.07"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"1,161,597.18"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"13,033.02"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"97,816.51"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"230,308.20"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"20,024.10"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"2,043,004.70"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"31,085.11"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"58,486.04"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"186,267.98"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SERCO LTD,1001712348,"312,216.62"
Home Office,UKVI - UK Visa & Immigration,16/03/2015,IT - Other Costs,UKVI - UK Visa & Immigration,SITEL UK LTD,1001706294,"41,563.86"
Home Office,UKVI - UK Visa & Immigration,03/03/2015,"Science, Technical & Research",UKVI - UK Visa & Immigration,SKYSCAPE CLOUD SERVICES,1001700900,"270,423.23"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,"Science, Technical & Research",UKVI - UK Visa & Immigration,SKYSCAPE CLOUD SERVICES,1001705121,"255,091.46"
Home Office,UKVI - UK Visa & Immigration,09/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001703205,"208,007.48"
Home Office,UKVI - UK Visa & Immigration,09/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001703205,"1,353,332.57"
Home Office,UKVI - UK Visa & Immigration,09/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001703205,"182,717.58"
Home Office,UKVI - UK Visa & Immigration,16/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001706296,"1,350,034.29"
Home Office,UKVI - UK Visa & Immigration,16/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001706296,"183,729.20"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001709344,"1,336,202.47"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001709344,"170,724.16"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,Grant,UKVI - UK Visa & Immigration,SOLIHULL MBC (G),1001709086,"57,000.00"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,Grant,UKVI - UK Visa & Immigration,SOLIHULL MBC (G),1001709086,"43,200.00"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,STAFFORDSHIRE COUNTY COUNCIL 1 (G),1001707297,"50,716.00"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,SURREY COUNTY COUNCIL 1 (G),1001707298,"210,723.00"
Home Office,UKVI - UK Visa & Immigration,19/03/2015,Grant,UKVI - UK Visa & Immigration,SURREY COUNTY COUNCIL 1 (G),1001707842,"31,950.00"
Home Office,UKVI - UK Visa & Immigration,03/03/2015,Professional & Administration Services,UKVI - UK Visa & Immigration,TELEPERFORMANCE LTD,1001700906,"-1,940,812.21"
Home Office,UKVI - UK Visa & Immigration,03/03/2015,Professional & Administration Services,UKVI - UK Visa & Immigration,TELEPERFORMANCE LTD,1001700906,"3,057,165.48"
Home Office,UKVI - UK Visa & Immigration,03/03/2015,"IT, Telecomms Software",UKVI - UK Visa & Immigration,TRUSTMARQUE SOLUTIONS LIMITED,1001700912,"62,674.56"
Home Office,UKVI - UK Visa & Immigration,03/03/2015,"IT, Telecomms Software",UKVI - UK Visa & Immigration,TRUSTMARQUE SOLUTIONS LIMITED,1001700912,"1,055.34"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,USCIS (DEPT OF HOMELAND SECURITY),7000009376,"1,807,790.40"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,WEST SUSSEX COUNTY COUNCIL (G),1001707301,"68,636.00"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,Publishing & Media Design Service,UKVI - UK Visa & Immigration,WILLIAMS LEA,1001709373,"25,344.00"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,Grant,UKVI - UK Visa & Immigration,WORKERS EDUCATIONAL ASSOCIATION (WEA) SOUTH WALES(G),1001700024,"114,164.82"
Home Office,UKVI - UK Visa & Immigration,26/03/2015,Banking & Monetary Services,UKVI - UK Visa & Immigration,WORLDPAY UK LTD T/A STREAMLINE,1001711448,"40,025.61"
Home Office,SIA - Security Industry Authority,31/03/2015,Licensing ,SIA - Security Industry Authority,Post Office,CPOS03,"31,800.00"
Home Office,SIA - Security Industry Authority,31/03/2015,IT - Other Costs,SIA - Security Industry Authority,Softcat PLC,CSOF01,"112,431.30"
Home Office,SIA - Security Industry Authority,25/03/2015,Licensing ,SIA - Security Industry Authority,BT Global Services ,CBTG01,"526,159.81"
Home Office,SIA - Security Industry Authority,25/03/2015,NAO Charges,SIA - Security Industry Authority,National Audit Office,CNAO01,"33,000.00"
Home Office,SIA - Security Industry Authority,18/03/2015,Licensing ,SIA - Security Industry Authority,BT Global Services ,CBTG01,"609,305.23"
Home Office,SIA - Security Industry Authority,18/03/2015,IT - Other Costs,SIA - Security Industry Authority,Comparex UK Ltd,CCOM04,"70,554.42"
Home Office,SIA - Security Industry Authority,18/03/2015,Professional & Administration Services,SIA - Security Industry Authority,OMD Services Limited,COLS01,"201,143.63"
