Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.12.2011 to 31.12.2011,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,409588,75695.44
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,409590,26325.00
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON ST JOSEPH'S SCHOOL GOVERNORS,409592,226800.00
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,HILLEL PRIMARY SCHOOL DEPARTMENT FOR EDUCATION ACCOUNT,409598,32606.46
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DIOCESAN EDUCATION BOARD,409606,88061.25
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST THOMAS CHURCH OF ENGLAND SCHOOL FUND,409610,180588.76
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST BENEDICT'S SCHOOL GOVERNMENT CAPITAL ACCOUNT,409614,94010.47
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST RICHARDS ROMAN CATHOLIC PRIMARY SCHOOL,409616,86828.52
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,409618,613608.74
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,409620,35707.39
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,409622,178150.08
DfE,PfS,13/12/2011,Capital Grant,Schools Capital and Revenue Grants,ST THOMAS BECKET RC PRIMARY SCHOOL,409628,168798.49
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,LINCOLN DIOCESEN TRUSTESS BOARD OF FINANCE LTD,411510,36000.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,411518,62663.37
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,411520,158108.25
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,411530,80612.87
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,BRISTOL DIOCESAN BOARD OF FINANCE EDUC. FUND,411536,34187.68
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,411538,119750.28
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,411540,55574.15
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,411542,65576.76
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,411544,142629.92
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,WSCC-CHATSMORE CHURCH HIGH SCHOOL ACCOUNT,411558,166500.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAM EDUCATION SERVICE SCHOOL CAPITAL ACCOUNT,411562,79771.50
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,411564,43298.50
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,TRURO DIOCESAN BOARD OF FINANCE - DEVOLVED FORMULA CAPITAL CAPITAL ACCOUNT,411566,56983.66
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESE HALLAM - OUR LADY OF MOUNT CARMEL,411570,66239.31
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,411576,125191.11
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,THE NOTTINGHAM BLUECOAT SCHOOL,411580,64800.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,411582,28318469.02
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,411582,826015.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,BARNET,411584,4819012.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,411586,11793271.89
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,411586,763948.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,411588,30306800.01
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,411588,220958.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,BROMLEY LONDON BOROUGH COUNCIL,411590,2409442.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,411592,14797816.29
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,411592,449642.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,411594,10147075.35
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,411594,2007039.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,411596,14709552.00
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,411596,1222465.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,HARINGEY,411598,2593290.00
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,HARINGEY,411598,1417225.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,411600,869653.00
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,411600,385829.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,HAVERING LONDON BOROUGH COUNCIL,411602,8787247.52
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,411604,6746586.00
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,411604,444604.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,HOUNSLOW LONDON BOROUGH COUNCIL,411606,14773802.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON THAMES ROYAL BOROUGH,411608,5846318.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,411610,6701905.00
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,411610,1199235.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,411612,25380115.05
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,411612,3359810.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,411614,35403781.66
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,411614,419689.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,411616,6705062.11
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,411616,335417.00
