Department,Entity,Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
FCO,FCO,01/11/2016,8012515,34061.68,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/11/2016,8283753,34061.68,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/11/2016,8381440,33740,AGILE BYTE LIMITED,IT/IS Consultancy
FCO,FCO,21/11/2016,8445539,33623,AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/11/2016,8319101,33451.88,IRAQ ELECTRICITY BOARD,Electricity Non-Residential
FCO,FCO,02/11/2016,8245490,33181,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/11/2016,8245484,33176,COMPUTACENTER UK LTD,Specialist Contractors
FCO,FCO,22/11/2016,8461642,33054.05,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,17/11/2016,8427699,33032.31,INTERSERVE FM LTD,Multiple Accounts
FCO,FCO,07/11/2016,8293567,32962.23,CHINA FOREIGN EXCHANGE TRADE SYSTEM,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/11/2016,8476465,32949.52,JORDAN ELECTRIC POWER CO,Multiple Accounts
FCO,FCO,09/11/2016,8319116,32924.52,BUR CASHBOX TOP UP,Interbank Transfers/Withdrawals
FCO,FCO,09/11/2016,8319474,32760,COMPUTACENTER UK LTD,Specialist Contractors
FCO,FCO,17/11/2016,8427479,32695.95,ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,04/11/2016,8283659,32612.25,MOD MINISTRY OF DEFENCE,Publications
FCO,FCO,09/11/2016,8319096,32569.28,IRAQ ELECTRICITY BOARD,Electricity Non-Residential
FCO,FCO,25/11/2016,8499454,32502.01,WILLIAMS EVERGREEN LTD,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,15/11/2016,8383472,32404.47,TODD RESEARCH LTD,Estates - Other Machinery and Equipment
FCO,FCO,17/11/2016,8427663,32346.94,INTERSERVE FM LTD,Multiple Accounts
FCO,FCO,01/11/2016,8230485,32308.75,TSUNAMI AXIS LTD,FM Interserve Works
FCO,FCO,02/11/2016,8245483,32166.25,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,28/11/2016,8511487,32066.84,PUBLIC INTERNATIONAL LAW AND POLICY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/11/2016,8346465,32018.94,INICIATIVA CLIMATICA DE MEXICO AC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/11/2016,8244605,31853.45,CHINA MERCHANTS BANK,Post - Air Travel
FCO,FCO,22/11/2016,8460504,31819.45,HAJI MOHAMMAD FAIZI LTD,Property Maintenance Overseas Residential
FCO,FCO,09/11/2016,8331450,31809.27,NYG LIMOUSINE,Multiple Accounts
FCO,FCO,14/11/2016,8375471,31789.12,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
FCO,FCO,17/11/2016,8425449,31689.85,TEDD BRITT,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,17/11/2016,8420520,31683.2,ENGLANDS SPECIALIST SAFETY EQUIP,Misc Security Payments
FCO,FCO,11/11/2016,8346449,31604.1,THE LEXINGTON,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,14/11/2016,8360673,31537.61,ROBERT GORDON UNIVERSITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/11/2016,8427491,31530.73,INTERSERVE FM LTD,Multiple Accounts
FCO,FCO,11/11/2016,8348659,31486.12,UNIVERSIDAD DE CHILE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/11/2016,8353577,31482.42,ENGINEERING DIMENSION CONTRACTING,Repairs And Refurbishment: Fees Non-Residential
FCO,FCO,22/11/2016,8461463,31475.87,ANL LE STAFF PAY,Multiple Accounts
FCO,FCO,18/11/2016,8438603,31405.44,IZIIS,Rental Payments - non residential
FCO,FCO,09/11/2016,8319394,31324.37,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,14/11/2016,8354513,31275.38,KINGDOM CITY,Multiple Accounts
FCO,FCO,17/11/2016,8406878,31237.14,MUSLIM ALI SAJAD,Property Maintenance Overseas Residential
FCO,FCO,09/11/2016,8319378,31113.67,ALISA INTERNATIONAL,Multiple Accounts
FCO,FCO,14/11/2016,8353439,31094.06,SHANGHAI SHENYIN WANGUO RESEARCH AND CONSULTING COMPANY LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/11/2016,8283638,30901.43,FUNDACION CIUDAD EMERGENTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,25/11/2016,8497699,30679.67,METAMORPHOSIS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/11/2016,8461661,30582.97,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
FCO,FCO,15/11/2016,8380651,30563.01,GRUPO LIMONTA SAC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/11/2016,8293827,30397.61,CAPITA GROUP PLC,Training Courses
FCO,FCO,23/11/2016,8485542,30380.91,OFFICE OF THE CHILDRENS ADVOCATE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/11/2016,8482457,30344.79,BRICHI GLOBAL RESOURCES LTD,Vehicles: Petrol Oil Etc.
FCO,FCO,17/11/2016,8427637,30338.16,INTERSERVE FM LTD,Multiple Accounts
FCO,FCO,29/11/2016,8530464,30231.28,CONCEPTELEVEN SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/11/2016,8461497,30155.67,ANL LE STAFF PAY,Multiple Accounts
FCO,FCO,24/11/2016,8486344,30092.44,NATIONAL HEALTH DEVELOPMENT RESEARCH CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,24/11/2016,8487458,30082.77,AETNA,Multiple Accounts
FCO,FCO,28/11/2016,8511497,30003.11,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/11/2016,8322532,30000,FUJITSU SERVICES LIMITED,IT/IS Consultancy
FCO,FCO,22/11/2016,8465429,30000,FRP OTHER DEBTORS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,30/11/2016,8553438,29972.97,CNTR ISTRAZV SUPROSTVLJANJA KRIMINL,Programme Spend (Oracle Projects Control Account)
