Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,14/07/2015,Purchase of inventory and services ,JFC,XMA LTD,NG11 7EP,33871,Cost of other material consumed,"Ł3,130.52"
Ministry of Defence,Ministry of Defence,23/07/2015,Spend on Inventory - General,DEFENCE INFRASTRUCTURE ORGANISATION,BUNZL UK LIMITED,RG7 4XE,36808,Spend on Inventory - General,"Ł3,102.19"
Ministry of Defence,Ministry of Defence,31/07/2015,Spend on Inventory - General,DES Bespoke Trading Entity,FORBO FLOORING UK LIMITED.,KY1 2SB,39902,Spend on Inventory - General,"Ł3,099.47"
Ministry of Defence,Ministry of Defence,06/07/2015,Purchase of inventory and services ,Defence Equipment + Support,XMA LTD,NG11 7EP,31277,Cost of other material consumed,"Ł3,093.27"
Ministry of Defence,Ministry of Defence,14/07/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,SERCO LIMITED,RG27 9UY,33815,Cost of food services,"Ł3,088.14"
Ministry of Defence,Ministry of Defence,17/07/2015,Estate management,JFC,SODEXO LTD,M50 0AL,34948,Estate + facilities management services - accommodation inventory + service,"Ł3,081.89"
Ministry of Defence,Ministry of Defence,02/07/2015,Purchase of inventory and services ,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,29536,Cost of other material consumed,"Ł3,040.68"
Ministry of Defence,Ministry of Defence,08/07/2015,Spend on Inventory - General,Air Command,RIGHTON LIMITED,BS37 5FF,31974,Spend on Inventory - General,"Ł3,035.83"
Ministry of Defence,Ministry of Defence,14/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,JAMES FISHER MARINE   SERVICES LIMITED,LA14 1HR,33645,Equipment support project costs,"Ł3,019.77"
Ministry of Defence,Ministry of Defence,30/07/2015,Externally delivered education and training,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,39485,External military training ,"Ł3,003.39"
Ministry of Defence,Ministry of Defence,16/07/2015,Medical treatment & stores and welfare services,Land Forces,NORTHUMBERLAND COUNTY COUNCIL,NE63 9XL,34360,Schools + community relations initiatives,"Ł3,001.73"
Ministry of Defence,Ministry of Defence,02/07/2015,IT and communication services,JFC,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,29611,Computer equipment costing below the capitalisation threshold,"Ł2,983.68"
Ministry of Defence,Ministry of Defence,24/07/2015,"Transportation of personnel, freight and travel expenses",Air Command,METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,37487,Freight movement costs,"Ł2,966.65"
Ministry of Defence,Ministry of Defence,16/07/2015,Purchase of inventory and services ,HO+CS,XMA LTD,NG11 7EP,34502,Cost of other material consumed,"Ł2,950.14"
Ministry of Defence,Ministry of Defence,27/07/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,37785,Cost of other material consumed,"Ł2,948.80"
Ministry of Defence,Ministry of Defence,22/07/2015,"Adminstration, claims, compensation and awards",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000362,Cost of claims/compensation and related expenses against MOD,"Ł2,940.77"
Ministry of Defence,Ministry of Defence,03/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,30437,Equipment support project costs,"Ł2,932.15"
Ministry of Defence,Ministry of Defence,10/07/2015,Purchase of inventory and services ,Defence Equipment + Support,AAH PHARMACEUTICALS LTD,CV2 2TX,32550,Consumption of medical dental and veterinary inventory,"Ł2,912.77"
Ministry of Defence,Ministry of Defence,20/07/2015,Food and clothing,JFC,TECHNOGYM U K LIMITED,RG12 1WP,35828,Cost of purchasing and repairing clothing,"Ł2,901.60"
Ministry of Defence,Ministry of Defence,02/07/2015,Spend on Inventory - General,Air Command,SURVITEC GROUP LIMITED,CH41 1HQ,30265,Spend on Inventory - General,"Ł2,899.58"
Ministry of Defence,Ministry of Defence,16/07/2015,Payment of utilities,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000332,Utilities consumed - liquid petroleum gas,"Ł2,893.86"
Ministry of Defence,Ministry of Defence,13/07/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,WILLIAMS LEA LIMITED,NR3 1PD,33485,Cost of other material consumed,"Ł2,892.45"
Ministry of Defence,Ministry of Defence,10/07/2015,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,32802,Freight movement costs,"Ł2,891.65"
