Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,
Home Office,Home Office,03/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,ATOS IT SERVICES UK LTD,1001793294," 39,217.70 ",
Home Office,Home Office,03/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,ATOS IT SERVICES UK LTD,1001793294," 16,209.70 ",
Home Office,Home Office,03/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,ATOS IT SERVICES UK LTD,1001793294," 77,873.92 ",
Home Office,Home Office,03/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,HP ENTERPRISE SERVICES UK LTD,1001793339," 61,851.60 ",
Home Office,Home Office,04/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,ATOS IT SERVICES UK LTD,1001793796," 25,654.32 ",
Home Office,Home Office,04/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001793810," 147,586.03 ",
Home Office,Home Office,04/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001793810," 27,172.05 ",
Home Office,Home Office,04/11/2015,Public Order & Security,UKV&I - Visas & Immigration,GEO GROUP UK LTD (THE),1001793837," 86,000.88 ",
Home Office,Home Office,04/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,FCO SERVICES,3000050760," 31,074.22 ",
Home Office,Home Office,04/11/2015,Other Government Department,UKV&I - Visas & Immigration,GOVERNMENT LEGAL DEPARTMENT,3000050762," 546,120.62 ",
Home Office,Home Office,04/11/2015,Legal Services,UKV&I - Visas & Immigration,HER MAJESTY'S COURTS & TRIBUNAL SERVICE,3000050764," 57,444.00 ",
Home Office,Home Office,04/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,HINDUJA GLOBAL SOLUTIONS UK LTD,1001793843," 209,529.85 ",
Home Office,Home Office,04/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,HINDUJA GLOBAL SOLUTIONS UK LTD,1001793843," 34,979.10 ",
Home Office,Home Office,04/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,MASTEK (UK) LTD,1001793854," 108,216.48 ",
Home Office,Home Office,04/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,MASTEK (UK) LTD,1001793854," 210,067.32 ",
Home Office,Home Office,04/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,TELEPERFORMANCE LTD,1001793886," 65,247.21 ",
Home Office,Home Office,04/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,TELEPERFORMANCE LTD,1001793886," 367,906.80 ",
Home Office,Home Office,05/11/2015,Public Order & Security,UKV&I - Visas & Immigration,MITIE CARE & CUSTODY LTD,1001794315," 562,864.20 ",
Home Office,Home Office,05/11/2015,Public Order & Security,UKV&I - Visas & Immigration,MITIE CARE & CUSTODY LTD,1001794315," 1,999,341.60 ",
Home Office,Home Office,05/11/2015,Public Order & Security,UKV&I - Visas & Immigration,MITIE CARE & CUSTODY LTD,1001794315," 175,220.09 ",
Home Office,Home Office,05/11/2015,Public Order & Security,UKV&I - Visas & Immigration,MITIE CARE & CUSTODY LTD,1001794315," 59,875.50 ",
Home Office,Home Office,05/11/2015,Public Order & Security,UKV&I - Visas & Immigration,MITIE CARE & CUSTODY LTD,1001794315," 45,978.20 ",
Home Office,Home Office,05/11/2015,Public Order & Security,UKV&I - Visas & Immigration,MITIE CARE & CUSTODY LTD,1001794315," 54,153.36 ",
Home Office,Home Office,05/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001794325," 93,394.00 ",
Home Office,Home Office,05/11/2015,Interpreters,UKV&I - Visas & Immigration,THE BIG WORD (LINK UP MITAKA),1001794353," 36,338.90 ",
