Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Transaction Description,Amount
HM Treasury,HM Treasury,24-Apr-2013,Software purchase under £5K,IS Retained Services,TRUSTMARQUE SOLUTIONS,104741,ANNUAL SOFTWARE LICENECE FEES,16970.15
HM Treasury,DMO,24-Apr-2013,IT Software Services & Maintenance Non VAT Recoverable,Business Delivery,ORACLE,104692,ANNUAL SOFTWARE LICENCE AND SUPPORT,27034.73
HM Treasury,HM Treasury,24-Apr-2013,IT Hardware Services & Maintenance VAT Recoverable,JWS PROJECTS – OGDs Only,FUJITSU SERVICES LIMITED,104742,ONSITE ENGINEERING SUPPORT - RECHARGABLE TO CABINET OFFICE,31501.24
HM Treasury,HM Treasury,24-Apr-2013,Staff Well - Being,IUK,UNUM LTD,104754,TUPE CONTRACTUAL BENEFITS,32966.49
HM Treasury,DMO,24-Apr-2013,IT Software Services & Maintenance Non VAT Recoverable,Business Delivery,COMPUTACENTER (UK) LTD,104670,HARDWARE MAINTENANCE CONTRACT 01/05/2013 TO 30/10/2013,34321.57
HM Treasury,DMO,26-Apr-2013,IT Software Services & Maintenance Non VAT Recoverable,Business Delivery,NCC GROUP,104804,IT SECURITY SERVICES,12600
HM Treasury,HM Treasury,26-Apr-2013,Professional Services - Legal representation Services,Financial Services 2,THE TREASURY SOLICITOR,104576,PROFESSIONAL SERVICES - LEGAL REPRESENATION SERVICES,13254.73
HM Treasury,DMO,26-Apr-2013,DMO - Banking Costs,Settlements,BANK OF ENGLAND ,104806,BANKING COSTS - MARCH 2013,18923.66
HM Treasury,HM Treasury,26-Apr-2013,Other Utility expenses,Estates,GOVERNMENT PROCUREMENT SERVICE,104515,1HGR WHITEHALL HEATING SYSTEM QUARTERLY CHARGES,120621.18
HM Treasury,HM Treasury,26-Apr-2013,Professional Services - Legal representation Services,Legal Team,THE TREASURY SOLICITOR,104744,MONTHLY CHARGES FOR ADVISORY LAWYERS,356209.2
HM Treasury,HM Treasury,30-Apr-2013,Consultancy - Financial,Public Spending,GOVERNMENT ACTUARY'S DEPT,104657,MONTHLY CHARGES FOR ACTURIAL ADVICE  PROVIDED TO THE PUBLIC SERVICE PENSIONS POLICY TEAM,52105.73
HM Treasury,HM Treasury,30-Apr-2013,Procurement Card Suspense,Hmt Suspense,BARCLAYCARD COMMERCIAL ,104747,GPC CARD STATEMENT - APRIL 2013,83962.99
HM Treasury,HM Treasury,30-Apr-2013,RBS LODGE CARD (TRAVEL),Hmt Suspense,BARCLAYCARD COMMERCIAL ,104766,LODGE CARD STATEMENT - APRIL 2013,98405.77
HM Treasury,HM Treasury,30-Apr-2013,Own department Hosted Conferences - Recoverable (Programme),International & EU,INNOVISION EVENTS LTD,104304,MEETING EVENT MANAGEMENT COSTS,99649.02
HM Treasury,HM Treasury,30-Apr-2013,CONTINGENT RENT ON HORSEGUARDS PFI,Estates,EXCHEQUER PARTNERSHIP PLC,104800,UNITARY PAYMENT FOR APRIL 2013,1768013.21
