Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,  Amount �s ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,09/10/2012,Policy Payments,Public Health,LONDON SHA,PUBLIC,WF3 1WE,19523308,30000.00 ,,To raise a requisition for A&E Datashare Programme,Admin,
Department of Health,Department of Health,09/10/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,2878001-18-OCT-12,4850.00 ,,,Other,
Department of Health,Department of Health,09/10/2012,Outsourcing Contract,Strategy Finance & NHS,GFK NOP LTD,LARGE,SE1 9UL,8272002613,9960.00 ,,Please note COI¿s Advertising Agency¿s framework terms and conditions [now under Government Procurement Services (GPS)] apply to this Purchase Order - as per agreement J299902,Admin,
Department of Health,Department of Health,09/10/2012,Outsourcing Contract,Strategy Finance & NHS,THE SOCIAL INVESTMENT BUSINESS,LARGE,WC1H 8AG,TSIB065,27927.00 ,,FUTURE BUILDERS ENGLAND - Contract Extension Year 1 June 2012 to 31 May 2013- Management Fee Costs,Programme,
Department of Health,Department of Health,09/10/2012,Legal / Prof Fees,Informatics Directorate,DLA PIPER UK LLP,,,15599933,36010.00 ,,,,
Department of Health,Department of Health,09/10/2012,Research & development,Research & Development,ORTHOX LTD,SME,OX144SE,121004,53902.00 ,,Invention for Innovation,Programme,
Department of Health,Department of Health,09/10/2012,Outsourcing Contract,Strategy Finance & NHS,GFK NOP LTD,LARGE,SE1 9UL,8272002613,54120.00 ,,GfK NOP Social Research NHS Constitution tracking research Wave 3,Admin,
Department of Health,Department of Health,09/10/2012,Building repairs & maintenance,Strategy Finance & NHS,LEE BARON COMMERCIAL LTD,SME,W1B 2AG,358004,90000.00 ,,"SO5000 - Overline House, Southampton - Lee Baron - Dilapidations",Programme,
Department of Health,Department of Health,09/10/2012,Outsourcing Contract,Strategy Finance & NHS,THE SOCIAL INVESTMENT BUSINESS,LARGE,WC1H 8AG,TSIB064,125133.00 ,,FUTURE BUILDERS ENGLAND - Contract Extension Year 1 June 2012 to 31 May 2013- Management Fee Costs,Programme,
Department of Health,Department of Health,09/10/2012,Outsourcing Contract,Strategy Finance & NHS,THE SOCIAL INVESTMENT BUSINESS,LARGE,WC1H 8AG,TSIB063,195148.00 ,,FUTURE BUILDERS ENGLAND - Contract Extension Year 1 June 2012 to 31 May 2013- Management Fee Costs,Programme,
Department of Health,Department of Health,09/10/2012,Outsourcing Contract,Strategy Finance & NHS,THE SOCIAL INVESTMENT BUSINESS,LARGE,WC1H 8AG,TSIB068,195148.00 ,,FUTURE BUILDERS ENGLAND - Contract Extension Year 1 June 2012 to 31 May 2013- Management Fee Costs,Programme,
Department of Health,Department of Health,09/10/2012,Rent of Land & Buildings (non-PFI operating lease),Goverance Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5025420,519832.00 ,,"Quarry House Leeds - Accomm. Costs April 2012 - March 2013 Facilty Price Rent@£514,167.05 mthly.",Admin,
Department of Health,Department of Health,09/10/2012,Rates,Goverance Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5025420,122621.00 ,,"Quarry House Leeds - Accomm. Costs April 2012 - January 2013 Business Rates@£119,304.32 mthly.",Admin,
Department of Health,Department of Health,09/10/2012,Other programme expenditure,Public Health,PGO FOREIGN CURRENCY PAYMENTS,PUBLIC,RH10 1UH,1042522830IDA1LV,479800.00 ,,,Programme,
Department of Health,Department of Health,09/10/2012,Publicity & advertising,External Relations,CREATIVE CHOICE CIC,VCS,SW1H 0DJ,235,22696.00 ,,Autumn quitting (stoptober) press production,Programme,
Department of Health,Department of Health,09/10/2012,Publicity & advertising,External Relations,CREATIVE CHOICE CIC,VCS,SW1H 0DJ,235,24482.00 ,,Creative development for Autumn quitting (stoptober),Programme,
Department of Health,Department of Health,09/10/2012,Publicity & advertising,External Relations,CREATIVE CHOICE CIC,VCS,SW1H 0DJ,235,38988.00 ,,Autumn quitting (stoptober) radio production,Programme,
Department of Health,Department of Health,09/10/2012,Publicity & advertising,External Relations,CREATIVE CHOICE CIC,VCS,SW1H 0DJ,235,306951.00 ,,Dare Fees,Programme,
Department of Health,Department of Health,09/10/2012,Publicity & advertising,External Relations,CREATIVE CHOICE CIC,VCS,SW1H 0DJ,235,415953.00 ,,Autumn quitting (stoptober) tv production,Programme,
Department of Health,Department of Health,10/10/2012,Provisions cash payment,External Relations,NHS INJURY BENEFITS SCHEME,PUBLIC,FY7 8LG,ERS-473226-64761,4133808.00 ,,Injury allowance recharging,Programme,
Department of Health,Department of Health,10/10/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,2878001-18-OCT-12,5698.00 ,,,Other,
Department of Health,Department of Health,10/10/2012,Utilities,Goverance Operations & Assurance,EDF ENERGY PLC,LARGE,PL3 5XQ,0006-02OCT2012,6215.00 ,,,Admin,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,Strategy Finance & NHS,UKSH SOUTH WEST LTD,LARGE,BS32 4TD,UKSHSW/230,2939376.00 ,,Clinical services under E01 AGW contract,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,Strategy Finance & NHS,INHEALTH LTD,LARGE,HP11 1JL,118,2152502.00 ,,Clinical services under D01 London contract,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,Strategy Finance & NHS,CARE UK CLINICAL SERVICES LTD,LARGE,RG19 3XG,25958390,2114779.00 ,,Clinical services under E08 MCATS contract,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,Strategy Finance & NHS,CARE UK CLINICAL SERVICES LTD,LARGE,CO4 9QB,25958706,2110082.00 ,,Clinical services under E09 HIoW Hampshire Isle of Wight contract,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,External Relations,Data Lateral Ltd,LARGE,NG17 5FB,108415,21508.00 ,,"Provision of specialist database and fulfilment services to support the C4L campaign. Six months at £26,000. Contact Jason Cromack.",Programme,
Department of Health,Department of Health,10/10/2012,Publicity & advertising,External Relations,DLKW LOWE LTD,LARGE,SW3 3XB,9052000577,24685.00 ,,Dementia press spend,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,Strategy Finance & NHS,ALLIANCE MEDICAL LTD,LARGE,CV34 6DA,PET0143,1188159.00 ,,Clinical services under D8N PET/CT North contract,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,Strategy Finance & NHS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,LARGE,NG17 2HU,1060021386,1163888.00 ,,Clinical services under E16 Renal contract,Programme,
Department of Health,Department of Health,10/10/2012,Printing,Goverance Operations & Assurance,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900095508,29172.00 ,,Xerox - Reprographics  - Management Fees 2012 - 2013,Admin,
Department of Health,Department of Health,10/10/2012,Professional fees,NHS Finance Operations & Performance,SERCO LISTENING LTD,LARGE,RG27 9UY,90728763,29590.00 ,,"Bradford District Care Trust.  Stage 1, 2 and 3.",Programme,
Department of Health,Department of Health,10/10/2012,Utilities,Goverance Operations & Assurance,EDF ENERGY PLC,LARGE,PL3 5XQ,0006-02OCT2012,31148.00 ,,Skipton House - EDF Electricity Charges for 2012 - 2013,Admin,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,External Relations,READING ROOM LTD,SME,W1D 3JR,300,32402.00 ,,Stoptober app & website development,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,External Relations,READING ROOM LTD,SME,W1D 3JR,339,32402.00 ,,Stoptober app & website development,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,External Relations,READING ROOM LTD,SME,W1D 3JR,396,32402.00 ,,Stoptober app & website development,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,External Relations,READING ROOM LTD,SME,W1D 3JR,587,32402.00 ,,Stoptober app & website development,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,AGAINST VIOLENCE AND ABUSE (AVA),VCS,SE1 9BG,ERS-473134-64701,36637.00 ,,2010/029 Against Violence and Abuse (AVA) - Project: Improving response to violence against women substance use and psychological distress,Programme,
Department of Health,Department of Health,10/10/2012,Publicity & advertising,External Relations,Data Lateral Ltd,LARGE,NG17 5FB,108420,62937.00 ,,"Games4Life Campaign June 2012- CRM Mailing of Questionnaires ,Print of Activity Plan and Data Capture of Questionnaires",Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,External Relations,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008396,64693.00 ,,"CPA for DH ESR Contract - CCN 126 NHS Payslip Production, Printing and Courier Charges FY12-13",Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,FRIENDS FAMILIES AND TRAVELLERS,VCS,BN1 3XG,ERS-473211-64749,70492.00 ,,2012-13 - IESD - Friends Families and Travellers - Project: National Gypsy and Traveller Health Inclusion - AIMS 1753843,Programme,
Department of Health,Department of Health,10/10/2012,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-473146-64708,35076.00 ,,Service Delivery & Org,Programme,
Department of Health,Department of Health,10/10/2012,Outsourcing Contract,NHS Medical,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,RGI-12130253,755700.00 ,,"Provision of  cancer registration services for 2012-13 via the Thames Cancer Registry hosted by Kings College, London",Programme,
Department of Health,Department of Health,10/10/2012,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-473152-64707,103350.00 ,,Health Tech Assessment,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,CARERS TRUST,VCS,IG8 8HD,ERS-473209-64747,25160.00 ,,2012-13 - IESD - Carers Trust - Project: The triangle of Care - a new approach to supporting carers of people with mental health problems - AIMS 1807299,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,MEDICAL FOUNDATION FOR AIDS AND SEXUAL HEALTH,VCS,WC1H 9JP,ERS-473141-64703,27500.00 ,,2010/036 - Medical Foundation for Aids and Sexual Health- project: MEDFASH Business development,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,NEUROLOGICAL COMMISSIONING SUPPORT LTD,VCS,NW2 6ND,ERS-473161-64722,28250.00 ,,2012-13 - IESD - Neurological Commissioning Support - Project: Putting service users at the heart of commissioning health and social care - AIMS 1737400,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,ACTION ON HEARING LOSS,VCS,EC1Y 8SL,ERS-473203-64743,29491.00 ,,2012-13 - IESD - Action on Hearing Loss - Project: Influencing nursing practice for older people with a hearing loss in an acute environment - AIMS 1805297,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,HOMELESS LINK,VCS,SE11 4AP,ERS-473206-64744,38903.00 ,,2012/13 - IESD - Homeless Link - Project: Of One Mind - AIMS 1691134,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,IRISH TRAVELLER MOVEMENT IN BRITAIN,VCS,N7 6PA,ERS-473136-64702,39050.00 ,,2010/033 - Irish Traveller Movement in Britain - project: Gypsy traveller Roma Maternity Advocacy and Engagement,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,CRUSE BEREAVEMENT CARE LTD,VCS,TW9 1UR,ERS-473212-64750,40084.00 ,,2012-13 - IESD - Cruse Bereavement Care - Project: Early intervention to prevent the onset of prolonged grief disorder in recently bereaved people - AIMS 1754812,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE,VCS,PE2 6WS,ERS-473208-64746,45083.00 ,,2012-13 IESD - RNIB UK VISION STRATEGY - Commissioning for Effectiveness & Efficiency (CEE) - AIMS 1763144,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,QISMET,VCS,BA1 5BD,ERS-473213-64751,65000.00 ,,2012-13 IESD - QISMET - Project: The crucial years - to sustainability and beyond - AIMS 1760419,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,HEARING LINK,VCS,BN23 5UZ,ERS-473219-64756,67657.00 ,,2012-13 - IESD - Hearing Link - Project: Rehabilitation for People with Acquired Hearing Loss - AIMS 1757170,Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,DRUGSCOPE,VCS,SE1 3UD,ERS-473158-64721,80000.00 ,,"2012-13 - IESD - Drugscope - Project: Delivering an inspirational, recovery-oriented substance misuse workforce - AIMS 1806493",Programme,
Department of Health,Department of Health,10/10/2012,Grants to non profit institutions (CUR),Social Care,ALZHEIMERS SOCIETY,VCS,E1W 1LB,ERS-473198-64741,88068.00 ,,2012-13 - Alzheimers Society - Project: Local Dementia Action Alliances - AIMS 1674650,Programme,
Department of Health,Department of Health,11/10/2012,Other programme expenditure,Public Health,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),PUBLIC,WF3 1WE,4660831,2000000.00 ,,Support for Integrated Drug Treatment System in prisons,Programme,
Department of Health,Department of Health,11/10/2012,Storage costs,Strategy Finance & NHS,KENT PHARMACEUTICALS LTD,LARGE,,SP02714,0.00 ,,,,
Department of Health,Department of Health,11/10/2012,Storage costs,Strategy Finance & NHS,KENT PHARMACEUTICALS LTD,LARGE,,SP02714,147892.00 ,,,,
Department of Health,Department of Health,11/10/2012,Storage costs,Strategy Finance & NHS,B BRAUN MEDICAL LTD,LARGE,,327679043,101566.00 ,,,,
Department of Health,Department of Health,11/10/2012,Storage costs,Strategy Finance & NHS,DEXCEL PHARMA LTD,SME,,1101825,0.00 ,,,,
Department of Health,Department of Health,11/10/2012,Storage costs,Strategy Finance & NHS,DEXCEL PHARMA LTD,SME,,1101825,37504.00 ,,,,
Department of Health,Department of Health,11/10/2012,Storage costs,Strategy Finance & NHS,ALLIANCE PHARMACEUTICALS LTD,LARGE,,231791,58450.00 ,,,,
Department of Health,Department of Health,11/10/2012,Printing,NHS Medical,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12090009,371.00 ,,Colonoscopy Investigation x 500 leaflets,Programme,
Department of Health,Department of Health,11/10/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,2878001-18-OCT-12,4547.00 ,,,Other,
Department of Health,Department of Health,11/10/2012,Mobile Phones,Informatics Directorate,VODAFONE CORPORATE LTD,,,,,,,,
Department of Health,Department of Health,11/10/2012,Outsourcing Contract,Strategy Finance & NHS,RAMSAY HEALTH CARE UK OPERATIONS LTD TA EUXTON HALL HOSPITAL,LARGE,PR7 6DY,72,3027429.00 ,,Clinical services under E05 Cumbria and Lancs contract,Programme,
Department of Health,Department of Health,11/10/2012,Printing,NHS Medical,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12090009,18417.00 ,,NHS Cervical Screening - The Facts  x 1million leaflets,Programme,
Department of Health,Department of Health,11/10/2012,Outsourcing Contract,External Relations,NHS EMPLOYERS LTD,SME,SW1E 5DD,10364,1799967.00 ,,NHS Employers Core contract,Programme,
Department of Health,Department of Health,11/10/2012,Printing,NHS Medical,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12090009,29416.00 ,,NHS Breast Screening - The Facts  x 1.5million leaflets,Programme,
Department of Health,Department of Health,11/10/2012,External Consultancy Fees,Informatics Directorate,BJSS LTD,,,15180336,769764.00 ,,,,
Department of Health,Department of Health,11/10/2012,Grants to non profit institutions (CUR),Social Care,MENTAL HEALTH PROVIDERS FORUM,VCS,SE1 9PD,ERS-473326-64821,50000.00 ,,2012/011a - Mental health providers forum - project: Afiya trust - organisational changes to ensure its growth and sustainability - policy grant -,Programme,
Department of Health,Department of Health,11/10/2012,Printing,NHS Medical,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12090009,50894.00 ,,Bowel Cancer Screening - The Facts  x 1.5million leaflets,Programme,
Department of Health,Department of Health,11/10/2012,Research & development,Research & Development,ASHRIDGE CONSULTING LTD,SME,HP4 1NS,14492,65342.00 ,,NIHR Faculty Management,Programme,
Department of Health,Department of Health,11/10/2012,Printing,External Relations,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12090003,68207.00 ,,Print production of maternal health pregnancy pack,Programme,
Department of Health,Department of Health,11/10/2012,Publicity & advertising,External Relations,M AND C SAATCHI UK LTD,LARGE,W1F 9EE,100951,281643.00 ,,"Change4Life Be Food Smart TV Production costs, including usage fees and playouts.",Programme,
Department of Health,Department of Health,11/10/2012,Outsourcing Contract,Public Health,SERCO PUBLIC SERVICES LTD,LARGE,L34 1PJ,FI1500278,322956.00 ,,Serco Ltd - For services provided on  Healthy Start Issuing Unit - Cycle 121  - 27th August to 23rd September 2012,Admin,
Department of Health,Department of Health,11/10/2012,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-473308-64805,25933.00 ,,Young Scientist Awards,Programme,
Department of Health,Department of Health,11/10/2012,Research & development,Research & Development,ABERDEEN UNIVERSITY OF,PUBLIC,AB24 3FX,ERS-473310-64801,30953.00 ,,Other PRP Research,Programme,
Department of Health,Department of Health,11/10/2012,Other programme expenditure,Social Care,EDINBURGH UNIVERSITY OF,PUBLIC,EH1 1HT,Z0022680,47944.00 ,,University of Edinburgh for National CJD Surveillance Unit,Programme,
Department of Health,Department of Health,11/10/2012,Secndd staff frm othr org,Informatics Directorate,DEPARTMENT FOR WORK AND PENSIONS,,,15527811,435630.00 ,,,,
Department of Health,Department of Health,11/10/2012,Outsourcing Contract,External Relations,FAMILY PLANNING ASSOCIATION,VCS,EC1Y 8QU,583165,30500.00 ,,FPA contact centre services - provision of specialist sexual health and family planning advice. ,Programme,
Department of Health,Department of Health,11/10/2012,Outsourcing Contract,External Relations,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,29000002,41667.00 ,,THT contact centre provision - specialist HIV advice. ,Programme,
Department of Health,Department of Health,11/10/2012,Outsourcing Contract,Public Health,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,29000003,245000.00 ,,Targeted HIV Prevention work - New Contract from 2012 onwards.,Programme,
Department of Health,Department of Health,12/10/2012,Admin Revenue Grant-in-Aid ENDPBs,Goverance Operations & Assurance,APPOINTMENTS COMMISSION,PUBLIC,LS1 4PL,20121001,100000.00 ,,To eable Appointments Commission to draw down cash in 2012-13,Admin,
Department of Health,Department of Health,12/10/2012,Storage costs,Strategy Finance & NHS,CONSILIENT HEALTH UK LTD,LARGE,,20871,0.00 ,,,,
Department of Health,Department of Health,12/10/2012,Storage costs,Strategy Finance & NHS,CONSILIENT HEALTH UK LTD,LARGE,,20871,33539.00 ,,,,
Department of Health,Department of Health,12/10/2012,Storage costs,Strategy Finance & NHS,MYLAN,LARGE,,1800001110,89400.00 ,,,,
Department of Health,Department of Health,12/10/2012,Storage costs,Strategy Finance & NHS,MYLAN,LARGE,,1800001110,0.00 ,,,,
Department of Health,Department of Health,12/10/2012,School Fruit & Vegetable Scheme,Public Health,Total Produce Plc (Gateshead),,,DUR0912,37219.00 ,,,,
Department of Health,Department of Health,12/10/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,2878001-18-OCT-12,14275.00 ,,,Other,
Department of Health,Department of Health,12/10/2012,Grants to non profit institutions (CUR),Social Care,THE ANNA FREUD CENTRE,VCS,NW3 5SD,ERS-473471-64862,27527.00 ,,IESD Grant AIMS REF 1171321 Anna Freud,Programme,
Department of Health,Department of Health,12/10/2012,Contr Other External,Informatics Directorate,CAPITA BUSINESS SERVICES LTD,,,15629537,1071523.00 ,,,,
Department of Health,Department of Health,12/10/2012,Contractor/Staff Substitution,Strategy Finance & NHS,CAPITA RESOURCING LTD,LARGE,DL1 9HN,WN70138402,31271.00 ,,Technical Business Analyst �,Admin,
Department of Health,Department of Health,12/10/2012,Professional fees,NHS Finance Operations & Performance,PRICEWATERHOUSECOOPERS LLP,LARGE,E14 9SQ,1353865634,32622.00 ,,Portsmouth Hospitals NHS Trust NHSFT Financial Assessments,Programme,
Department of Health,Department of Health,12/10/2012,Contr Other External,Informatics Directorate,CAPITA BUSINESS SERVICES LTD,,,15629540,75700.00 ,,,,
Department of Health,Department of Health,12/10/2012,Grants to non profit institutions (CUR),Social Care,NATIONAL SURVIVOR USER NETWORK,SME,SW8 1SY,ERS-473468-65422,93043.00 ,,IESD Grant National Survivor User Network AIMS REF 1777273,Programme,
Department of Health,Department of Health,12/10/2012,Grants to non profit institutions (CUR),Social Care,NATIONAL SURVIVOR USER NETWORK,SME,SW8 1SY,ERS-473469-64861,93044.00 ,,IESD Grant National Survivor User Network AIMS REF 1777273,Programme,
Department of Health,Department of Health,12/10/2012,Computer Software/License,Informatics Directorate,KENSON NETWORK ENGINEERING LTD,,,15536284,97243.00 ,,,,
Department of Health,Department of Health,12/10/2012,Building repairs & maintenance,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00254129RI,140382.00 ,,DH - FM Variable Operational Works 2012 - 2013,Admin,
Department of Health,Department of Health,12/10/2012,Contractor/Staff Substitution,Strategy Finance & NHS,NORTHGATE UK LTD,LARGE,HP2 4NW,91231992,141593.00 ,,Proms Lot1 - Data collection for Proms - CCN / Add to PO for 2012/13 ,Programme,
Department of Health,Department of Health,12/10/2012,Contractor/Staff Substitution,Strategy Finance & NHS,DELOITTE LLP,LARGE,MK9 1FD,1110824296,143316.00 ,,Finance Imporovement Programme Support Call-off Contract,Admin,
Department of Health,Department of Health,12/10/2012,Secondees in invoiced costs,Informatics Directorate,HOME OFFICE,PUBLIC,NP20 9BB,1109324,0.00 ,,,Admin,
Department of Health,Department of Health,12/10/2012,Secondees in invoiced costs,Informatics Directorate,HOME OFFICE,PUBLIC,NP20 9BB,1109327,0.00 ,,,Admin,
Department of Health,Department of Health,12/10/2012,Secondees in invoiced costs,Informatics Directorate,HOME OFFICE,PUBLIC,NP20 9BB,1109387,0.00 ,,,Admin,
Department of Health,Department of Health,12/10/2012,Secondees in invoiced costs,Informatics Directorate,HOME OFFICE,PUBLIC,NP20 9BB,1109386,0.00 ,,,Admin,
Department of Health,Department of Health,12/10/2012,Consultancy/Professional Advice,Strategy Finance & NHS,PGO FOREIGN CURRENCY PAYMENTS,PUBLIC,RH10 1UH,1042522860IER55W,64094.00 ,,,Programme,
Department of Health,Department of Health,12/10/2012,Outsourcing Contract,Social Care,DURHAM UNIVERSITY OF,PUBLIC,TS17 6BH,246045,100000.00 ,,DH funding for the provision of the 3rd year of a Learning Disabilities Public Health Observatory contract,Admin,
Department of Health,Department of Health,12/10/2012,Grants to non profit institutions (CUR),Social Care,SOUTH EAST WELLBEING CONSORTIUM,VCS,BN3 2JQ,ERS-473456-64844,33500.00 ,,IESD Grant - South east Wellbeing Consortium - AIMS Ref 1860502,Programme,
Department of Health,Department of Health,12/10/2012,Grants to non profit institutions (CUR),Social Care,SOUTH EAST WELLBEING CONSORTIUM,VCS,BN3 2JQ,ERS-473464-64841,33500.00 ,,IESD Grant - South east Wellbeing Consortium - AIMS Ref 1860502,Programme,
Department of Health,Department of Health,12/10/2012,Outsourcing Contract,Public Health,NATIONAL CENTRE FOR SOCIAL RESEARCH,VCS,EC1V 0AX,50210,320725.00 ,,National Diet and Nutrition Survey (NDNS - C018) Years 1-4 FS136002,Programme,
Department of Health,Department of Health,13/10/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,2878001-18-OCT-12,8.00 ,,,Other,
Department of Health,Department of Health,14/10/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,2878001-18-OCT-12,38.00 ,,,Other,
Department of Health,Department of Health,15/10/2012,Admin Revenue Grant-in-Aid ENDPBs,Public Health,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,948198,5210000.00 ,,NHSBT - GIA allocation for 12/13,Programme,
Department of Health,Department of Health,15/10/2012,Additions-PDC permanent,CENTRAL TECHNICAL,SURREY & SUSSEX HEALTHCARE NHS TRUST,PUBLIC,RH1 5RH,HAFS-14262,360000.00 ,,,Other,
Department of Health,Department of Health,15/10/2012,Additions-PDC permanent,CENTRAL TECHNICAL,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,UB8 3NN,HAFS-14263,647000.00 ,,,Other,
Department of Health,Department of Health,15/10/2012,Additions-PDC permanent,CENTRAL TECHNICAL,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,HAFS-14261,3000000.00 ,,,Other,
Department of Health,Department of Health,15/10/2012,Admin Capital Grant-in-Aid to ENDPBs,Public Health,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,948197,1000000.00 ,,GIA - Capital drawdown for NHSBT for 2012/13,Programme,
Department of Health,Department of Health,15/10/2012,Outsourcing Contract,Commissioning,NHS CONFEDERATION,PUBLIC,SW1E 5DD,10388,130271.00 ,,GP Contract Negotiations,Programme,
Department of Health,Department of Health,15/10/2012,Outsourcing Contract,Commissioning,NHS CONFEDERATION,PUBLIC,SW1E 5DD,10390,130271.00 ,,GP Contract Negotiations,Programme,
Department of Health,Department of Health,15/10/2012,Secndd staff frm othr org,Informatics Directorate,BARTS HEALTH NHS TRUST,,,15599925,134033.00 ,,,,
Department of Health,Department of Health,15/10/2012,Storage costs,Strategy Finance & NHS,BAXTER HEALTHCARE LTD,LARGE,,32091275,0.00 ,,,,
Department of Health,Department of Health,15/10/2012,Storage costs,Strategy Finance & NHS,BAXTER HEALTHCARE LTD,LARGE,,32091275,275280.00 ,,,,
Department of Health,Department of Health,15/10/2012,Storage costs,Strategy Finance & NHS,BAXTER HEALTHCARE LTD,LARGE,,32091275,635891.00 ,,,,
Department of Health,Department of Health,15/10/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,2878001-18-OCT-12,3903.00 ,,,Other,
Department of Health,Department of Health,15/10/2012,Raw materials & consumables,Strategy Finance & NHS,BAXTER HEALTHCARE LTD,LARGE,RG20 7QW,32091275,21222.00 ,,immunoglobulin liquid__liquid1,Admin,
Department of Health,Department of Health,15/10/2012,IT minor costs non capital,Goverance Operations & Assurance,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,LARGE,SE1 8RD,OL-32300,28690.00 ,,Renewal Social Policy & Practice,Admin,
Department of Health,Department of Health,15/10/2012,Legal / Prof Fees,Informatics Directorate,DLA PIPER UK LLP,,,15707623,39318.00 ,,,,
Department of Health,Department of Health,15/10/2012,Publicity & advertising,External Relations,PROMOTIONAL LOGISTICS LTD,SME,CO10 1RE,OP/I128046,74581.00 ,,Estimated monthly call off charges for storage and distribution for September 2012,Admin,
Department of Health,Department of Health,15/10/2012,Other Gen Supplies & Srv,Informatics Directorate,CAPITA BUSINESS SERVICES LTD,,,15431957,90000.00 ,,,,
Department of Health,Department of Health,15/10/2012,Outsourcing Contract,Strategy Finance & NHS,THE SOCIAL INVESTMENT BUSINESS,LARGE,WC1H 8AG,TSIB069,195148.00 ,,FUTURE BUILDERS ENGLAND - Contract Extension Year 1 June 2012 to 31 May 2013- Management Fee Costs,Programme,
