Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.05.2011 to 31.05.2011,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,WALTHAM FOREST LONDON BOROUGH COUNCIL,354924,2064495
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,354926,30132087.44
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,354926,3707577
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,354928,5801322.95
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,354928,468761
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,354930,1070350
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,354930,461861
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,354932,11198237.71
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,354932,1664953
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,SOLIHULL METROPOLITAN BOROUGH COUNCIL,354934,686008
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,SOLIHULL METROPOLITAN BOROUGH COUNCIL,354934,1692234
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,WALSALL METROPOLITAN BOROUGH COUNCIL,354936,5932490.89
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,WALSALL METROPOLITAN BOROUGH COUNCIL,354936,193150
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,WOLVERHAMPTON COUNTY COUNCIL,354938,14634321.11
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,WOLVERHAMPTON COUNTY COUNCIL,354938,155067
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,354940,422624
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,354940,5171824
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL COUNTY COUNCIL,354942,1166498
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,LIVERPOOL COUNTY COUNCIL,354942,2040457
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,354944,9737330.12
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,354944,152896.27
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,SEFTON COUNCIL,354946,737921
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,WIRRAL METROPOLITAN BOROUGH COUNCIL,354948,3318419.43
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,WIRRAL METROPOLITAN BOROUGH COUNCIL,354948,1367885
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BOLTON METROPOLITAN BOROUGH COUNCIL,354950,6585307.65
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BURY METROPOLITAN BOROUGH COUNCIL,354952,647969
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER COUNTY COUNCIL,354954,20517425.2
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,MANCHESTER COUNTY COUNCIL,354954,915634
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,OLDHAM METROPOLITAN BOROUGH COUNCIL,354956,14370121.45
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,OLDHAM METROPOLITAN BOROUGH COUNCIL,354956,1175924
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHDALE METROPOLITAN BOROUGH COUNCIL,354958,9537828.76
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,ROCHDALE METROPOLITAN BOROUGH COUNCIL,354958,1140498
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL,354960,5061427
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL,354960,1365162
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,STOCKPORT METROPOLITAN BOROUGH COUNCIL,354962,1126403
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,TAMESIDE METROPOLITAN BOROUGH COUNCIL,354964,6853960.42
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,TAMESIDE METROPOLITAN BOROUGH COUNCIL,354964,429541
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,TRAFFORD METROPOLITAN BOROUGH COUNCIL,354966,1020030
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,WIGAN METROPOLITAN BOROUGH COUNCIL,354968,851269
