Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2010,Agency and Temporary Staff,ERG - DIRECTGOV ,CAPITA RESOURCING LIMITED,2018519113,"25,857.65",Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,15/12/2010,CESP Capability Building Prof.Serv Non-Recov,ERG - Office of Government Commerce,CORPORATE DOCUMENT SERVICES LIMITED,89495,"25,189.07",Enhancement of e-PIMS to allow better reporting by central government departments on environmental sustainability of their estate.,,,,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,15/12/2010,IT support and maintenance recoverable,ERG - Office of Government Commerce,CORPORATE DOCUMENT SERVICES LIMITED,89490,"79,114.03","Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database  ",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,CHARITY TRUSTEE NETWORKS,3000013694,"31,518.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,YOUTH ACTION NETWORK,3000013701,"52,534.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,ACRE,3000013693,"70,042.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2010,Agency and Temporary Staff,ERG - DIRECTGOV ,SERCO LTD,2018616609,"30,843.75",Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,16/12/2010,WDHS Cost of Heat,WDHS,COFELY,PINDOH 31609,"55,075.36",Whitehall heating systems management,,,,,,,,,,,,,,,,,
Cabinet Office,Capacity Builders,16/12/2010,Grant,Programmes,Selby District Association of Voluntary Services,1725,"34,866.06","CIPB - Capital Investment Programme Strand B - this is the fourth stage payment of a grant to increase the use of shared office accomodation at Community House, Selby. Community House is a shared facility for the voluntary sector in Selby district. ",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,NCVYS,3000013724,"80,715.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2010,Freehold Non Residential Buildings,PRIME MINISTER'S OFFICE,ECOVERT FM LTD,3000013715,"73,773.70",Building Renovation of 10 Downing Street,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2010,IT Costs,ERG - DIRECTGOV ,STERIA LTD,2018623034,"430,301.30",Project work for the development of Directgov on-line services,,,,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,17/12/2010,Consultancy - Legal -  Contracted out services,ERG - Office of Government Commerce,THE TREASURY SOLICITOR,89553,"53,427.00",Cost of internal legal team staffed by Treasury Solicitor personnel,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,17/12/2010,Legal Fees,Legal Services,DLA PIPER UK LLP,PINDOH 31623,"25,077.00",Vehicle purchase and lease contractual agreements,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/12/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000013749,"25,943.06",70 Whitehall refurbishment project Phase 3,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/12/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000013749,"162,144.13",70 Whitehall refurbishment project Phase 3 ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/12/2010,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000013770,"32,760.00",Cabinet Office Data network supporting the London based estate,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,FOYER FEDERATION,3000013752,"39,399.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/12/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,BTCV,3000013736,"110,400.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/12/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY SERVICE VOLUNTEERS CVS,3000013744,"367,934.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/12/2010,Accommodation and Utilities,PRIME MINISTER'S OFFICE,BT,3000013735,"52,664.40",Telecomms line rentals,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,20/12/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 18957,"877,077.03",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,20/12/2010,Handsets,Network Services,GLOBAL CROSSING,PINMTS 18957,"41,250.00",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000013791,"25,215.50",70 Whitehall refurbishment project Phase 4,,,,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,21/12/2010,Property and Estates Benchmarking,ERG - Office of Government Commerce,INVESTMENT PROPERTY DATABANK,89635,"53,250.00",Monthly payment for the delivery of the annual property benchmarking service programme,,,,,,,,,,,,,,,,,
