Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
20/05/2016,6696744,162485.37,SEGURIDAD SOCIAL,Multiple Accounts
24/05/2016,6722538,162445.47,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
17/05/2016,6658657,162423.33,BRIAN JOHNSTON AND CO LTD,Vehicle Insurance
03/05/2016,6526490,162000,MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account)
27/05/2016,6757501,160268.73,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
27/05/2016,6757856,159348.25,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
20/05/2016,6696682,159292.05,INTERSERVE FM LTD,Construction Project more than £10k
23/05/2016,6715437,154614.32,OVERSEAS SUPPLY SERVICES LTD,Estates Management Services
24/05/2016,6721428,154167.71,KPMG FIDUCIAIRE,Multiple Accounts
19/05/2016,6682702,152658.66,EASTERN SECURITY SERVICES,Programme Spend (Oracle Projects Control Account)
20/05/2016,6696823,150134,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
04/05/2016,6532459,150000,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
19/05/2016,6688435,147981.02,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
05/05/2016,6547527,144656.28,COMPUTACENTER UK LTD,Multiple Accounts
04/05/2016,6532780,143756.96,BARTON ENGINEERING AND EXPORT,Assets Under Construction (Oracle PA Control Account)
10/05/2016,6588425,140000,M INTEGRATED SOLUTIONS,Inward visits to the UK and UK Conferences
25/05/2016,6733495,139721.57,GILBERT ASH LIMITED,Assets Under Construction (Oracle PA Control Account)
09/05/2016,6564436,137221.27,BRITISH HIGH COMMISSIONS,Interbank Transfers/Withdrawals
18/05/2016,6674497,136877.74,ADP,Multiple Accounts
31/05/2016,6440524,136835.48,SEGURIDAD SOCIAL,Multiple Accounts
27/05/2016,6757498,135274.33,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
18/05/2016,6678550,135000,PRISONERS ABROAD,Human Rights : Prisoners
03/05/2016,6528607,130114.98,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
05/05/2016,6546456,128330.56,GRUPO NACIONAL PROVINCIAL SAB,Multiple Accounts
05/05/2016,6546602,126559.87,LANGUAGE SERVICES DIRECT,Language Tuition: Essential
10/05/2016,6583570,121967.7,INTERNATIONAL COFFEE ORGANIZATION,Protocol - General VAT Refunds to Other Organisations
13/05/2016,6627059,117065.85,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
12/05/2016,6618447,115955.4,INDEPENDENT DIPLOMATS,Programme Spend (Oracle Projects Control Account)
20/05/2016,6697473,113954.11,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
06/05/2016,6554904,113589.35,DEPARTMENT FOR TRANSPORT,Programme Spend (Oracle Projects Control Account)
20/05/2016,6696732,113324.05,AFRICAN SKIES LTD,Local Guards
13/05/2016,6626509,112860,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
19/05/2016,6688441,112528.73,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
16/05/2016,6653469,111881,FCO SERVICES,Misc Security Payments
20/05/2016,6696613,110921.14,ADP,Multiple Accounts
13/05/2016,6626542,109466.81,AETNA,Multiple Accounts
24/05/2016,6722524,108901.03,MEDIA DIVERSITY INSTITUTE,Programme Spend (Oracle Projects Control Account)
20/05/2016,6700452,106765.76,HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
05/05/2016,6544472,106314.24,PUBLIC INTERNATIONAL LAW AND POLICY GROUP,Programme Spend (Oracle Projects Control Account)
16/05/2016,6643536,104957,UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
11/05/2016,6611588,103983.22,COUNCIL OF THE EUROPEAN UNION,Interpreter Fees
11/05/2016,6607545,102579.24,FCO SERVICES,Security: Works Non-Residential
13/05/2016,6627053,102300.56,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
05/05/2016,6543491,102019.91,BRITISH CENTERS FOR BUSINESS OVERSEAS LIMITED (DUBAI BRANCH),Miscellaneous Expenditure: inc subscriptions and equipment maintenance
13/05/2016,6627047,100285.03,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
11/05/2016,6608491,98785.89,COMPUTACENTER UK LTD,Specialist Contractors
23/05/2016,6710430,98021.45,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
16/05/2016,6656454,96893.55,COMPUTACENTER UK LTD,Information Systems Implementation
13/05/2016,6626910,96126.07,INTERSERVE FM LTD,Construction Project more than £10k
19/05/2016,6681444,94297.42,EDENRED,Consolidated Volunteer Contribution
11/05/2016,6607718,94033.05,FCO SERVICES,Security: Works Non-Residential
10/05/2016,6583427,93015.86,ESA HARTWELL CENTRE,Protocol - General VAT Refunds to Other Organisations
03/05/2016,6528605,91757.23,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
13/05/2016,6636473,91519.35,CROWN COMMERCIAL SERVICE,Wdhs/Wsds
09/05/2016,6569424,91481.62,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
12/05/2016,6619610,91477.5,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
25/05/2016,6738491,91477.5,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
26/05/2016,6748545,91302.53,AETNA,Multiple Accounts
03/05/2016,6526588,90612.79,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
25/05/2016,6739431,89951.55,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
23/05/2016,6716425,88760,OXFAM,Programme Spend (Oracle Projects Control Account)
23/05/2016,6707440,87390.2,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
26/05/2016,6750514,86078.44,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
26/05/2016,6752455,86078.44,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
13/05/2016,6627079,85610.38,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
20/05/2016,6696768,84056,LONDON SOUTH BANK UNIVERSITY,Programme Spend (Oracle Projects Control Account)
03/05/2016,6528592,83403.15,FCO SERVICES,IT/IS Consultancy
05/05/2016,6547442,83233.16,LANGUAGE SERVICES DIRECT,Language Tuition: Essential
19/05/2016,6692426,83208,COMPUTACENTER UK LTD,IT/IS Consultancy
26/05/2016,6748609,83208,COMPUTACENTER UK LTD,IT/IS Consultancy
04/05/2016,6534446,83067.5,MINIMAL RISK CONSULTANCY LTD,UK Guarding Contracts Overseas
10/05/2016,6581614,81662.11,THE SHAIKH GROUP,Programme Spend (Oracle Projects Control Account)
12/05/2016,6614676,80630.68,JARDINE LLOYD THOMPSON LIMITED,Multiple Accounts
16/05/2016,6653432,80447.93,RTKL-UK LTD,Assets Under Construction (Oracle PA Control Account)
20/05/2016,6696774,79532,PECHTER POLLS,Programme Spend (Oracle Projects Control Account)
03/05/2016,6512450,76585.51,MAXICARE HEALTHCARE CORPORATION,Multiple Accounts
19/05/2016,6692429,75315,INTEGRITY RESEARCH AND CONSULTANCY LTD,Programme Spend (Oracle Projects Control Account)
31/05/2016,6765453,75286.07,VOYA FINANCIAL,Multiple Accounts
05/05/2016,6545438,74966.25,PEACE DIRECT,Programme Spend (Oracle Projects Control Account)
12/05/2016,6619594,74727,FCO SERVICES,Despatch Charges
18/05/2016,6675548,74517.78,VOYA FINANCIAL,Multiple Accounts
05/05/2016,6547539,73707.92,COMPUTACENTER UK LTD,Multiple Accounts
01/05/2016,6497432,73561.93,INSTITUTE FOR STATE EFFECTIVENESS,Programme Spend (Oracle Projects Control Account)
09/05/2016,6572432,73458.11,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
27/05/2016,6760428,70500.13,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
26/05/2016,6749436,70012.45,THE ROYAL BANK OF SCOTLAND,Children's Concessionary Journeys
09/05/2016,6572426,69377,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
13/05/2016,6626848,69126.61,INTERSERVE FM LTD,FM Interserve Works
19/05/2016,6688450,69042.89,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
12/05/2016,6615488,68928.99,BRITAM INSURANCE COMPANY LTD,Le Staff Pay
05/05/2016,6546426,68555.69,RTKL-UK LTD,Assets Under Construction (Oracle PA Control Account)
16/05/2016,6644540,68359,INSTITUTE FOR WAR AND PEACE REPORTING IWPR,Programme Spend (Oracle Projects Control Account)
13/05/2016,6627071,68266.21,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
24/05/2016,6719152,67372.21,CRIMINAL JUSTICE TASK FORCE - CJTF,Recharge Suspense Account (Oracle PA Control Account)
25/05/2016,6733570,66520.99,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
09/05/2016,6572435,66463,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
13/05/2016,6627073,66270.23,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
19/05/2016,6688443,65779.85,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
13/05/2016,6626495,65519.7,ECORYS GROUP UK,Programme Spend (Oracle Projects Control Account)
06/05/2016,6551460,65499.14,CRIMINAL JUSTICE TASK FORCE - CJTF,Recharge Suspense Account (Oracle PA Control Account)
13/05/2016,6629457,64952,OECD,Programme Spend (Oracle Projects Control Account)
13/05/2016,6627040,64582.34,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
18/05/2016,6675456,64294.55,INTERNATIONAL OIL POLLUTION COMPENSATION FUND IOPCF,Protocol - General VAT Refunds to Other Organisations
23/05/2016,6715696,64010,NON VIOLENT PEACE FORCE,Programme Spend (Oracle Projects Control Account)
03/05/2016,6526478,63727.58,DE FLIGHT MEDICS NIGERIA LIMITED,Recharge Suspense Account (Oracle PA Control Account)
26/05/2016,6745430,63294.48,DATACOM EMPLOYER SERVICES,Multiple Accounts
25/05/2016,6738497,62836.14,FCO SERVICES,Residential Property Services
19/05/2016,6684491,62766.1,SKA INTERNATIONAL GROUP,Multiple Accounts
11/05/2016,6609460,62251.94,COMPUTACENTER UK LTD,Specialist Contractors
06/05/2016,6555456,62169.79,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
24/05/2016,6722488,62090.31,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
19/05/2016,6688432,61738.59,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
31/05/2016,6770501,61645.37,INTERNATIONAL CAPITAL TRADING,Rental Payments - residential
25/05/2016,6733450,61048.81,PENAL REFORM INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
03/05/2016,6528525,59760.93,NI HUMAN RIGHTS COMMISSION,Programme Spend (Oracle Projects Control Account)
10/05/2016,6583689,59713.48,EUROPEAN BANKING AUTHORITY,Protocol - General VAT Refunds to Other Organisations
20/05/2016,6696781,59407.33,AETNA,Multiple Accounts
23/05/2016,6715450,59006.3,INTERSERVE FM LTD,Multiple Accounts
12/05/2016,6614665,58319.04,DIPLOMAT FREIGHT SERVICES LTD(DFS),UK - Air Travel
11/05/2016,6608637,58281.05,CAPGEMINI UK PLC,IT/IS Consultancy
13/05/2016,6627035,58167.32,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
20/05/2016,6694900,57632.06,MINISTRY OF FINANCE,Rental Payments - residential
23/05/2016,6705516,57468.95,NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account)
13/05/2016,6636476,57229.09,CROWN COMMERCIAL SERVICE,Wdhs/Wsds
26/05/2016,6750517,56008.49,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
26/05/2016,6752454,56008.49,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
03/05/2016,6520441,55601.78,AETNA,Multiple Accounts
06/05/2016,6555176,55392.06,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
13/05/2016,6626913,55219.8,INTERSERVE FM LTD,Construction Project more than £10k
24/05/2016,6722520,55074.17,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
24/05/2016,6719257,54795.64,EMIRATES INTERNATIONAL PROPERTY SERVICES,Rental Payments - residential
03/05/2016,6528477,54724,FCO SERVICES,Multiple Accounts
09/05/2016,6572438,54647.2,CONCEPT BUILDING SERVICES SOUTHERN LTD,Assets Under Construction (Oracle PA Control Account)
13/05/2016,6627078,54381.82,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
26/05/2016,6748428,54134.64,DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
16/05/2016,6656463,53902,CSC COMPUTER SCIENCES LTD,Estates Management Services
23/05/2016,6715569,53581.65,INTERSERVE FM LTD,Multiple Accounts
27/05/2016,6757461,53560.61,ETIHAD TOWERS FOR REAL ESTATE,Multiple Accounts
13/05/2016,6626838,52720.41,INTERSERVE FM LTD,FM Interserve BES Maintenance
03/05/2016,6528599,52493.24,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
27/05/2016,6757556,52260.27,INTERSERVE FM LTD,Multiple Accounts
20/05/2016,6696667,52192.28,INTERSERVE FM LTD,Construction Project more than £10k
12/05/2016,6614677,51578.57,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
18/05/2016,6676443,51248.1,DTZ CONSULTING AND RESEARCH,Proceeds from Assets held for sale
01/05/2016,6424454,51211.8,STRATAGEM CONSULTING,Programme Spend (Oracle Projects Control Account)
27/05/2016,6757700,50938.9,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
27/05/2016,6757702,50938.9,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
27/05/2016,6757706,50938.9,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
18/05/2016,6676456,50330.49,HOME OFFICE,Inward Secondments
18/05/2016,6675528,50313.6,H R OWEN DEALERSHIPS LIMITED,Protocol - General VAT Refunds to Other Organisations
12/05/2016,6619623,50000,INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
20/05/2016,6697457,49999.69,NATIONAL CRIME AGENCY KINGSTON,Recharge Suspense Account (Oracle PA Control Account)
16/05/2016,6644495,49696.26,BRITISH CHAMBER OF COMMERCE,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
10/05/2016,6581700,48823.96,CARAT,General Information Services
04/05/2016,6529483,48787.59,PAKISTAN PEACE COLLECTIVE,Programme Spend (Oracle Projects Control Account)
11/05/2016,6607704,48753.16,FCO SERVICES,Security: Works Non-Residential
24/05/2016,6721542,48634.79,COLLIERS INTERNATIONAL,Multiple Accounts
25/05/2016,6741456,48534.25,SISTEMA INTEGRADO MULTIPLE DE PAGOS,Multiple Accounts
11/05/2016,6607711,48502.8,FCO SERVICES,Security: Works Non-Residential
03/05/2016,6527581,48319,ASSOCIATION FOR THE PREVENTION OF TORTURE,Programme Spend (Oracle Projects Control Account)
12/05/2016,6619583,48041.3,HUMANIS,Multiple Accounts
09/05/2016,6576443,48017.72,CONCEPT BUILDING SERVICES SOUTHERN LTD,Construction Project more than £10k
24/05/2016,6721562,48006.93,IESCO,Multiple Accounts
30/05/2016,6762549,47965.97,HARIS ENTERPRISES PVT LTD,Local Guards
20/05/2016,6696808,47951.19,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
19/05/2016,6682717,47899.7,DEUTSCHER LEVANTE VERLAG GMBH,Programme Spend (Oracle Projects Control Account)
20/05/2016,6696677,47591.62,INTERSERVE FM LTD,FM Interserve Works
12/05/2016,6619767,47239.54,CARAT,General Information Services
11/05/2016,6608596,47235.58,TNT EXPRESS,Specialist Contractors
24/05/2016,6724465,47197.5,HOOTSUITE,Information Systems Maintenance
01/05/2016,6238572,47154.47,IMPULSE ENGINEERING LTD,Assets Under Construction (Oracle PA Control Account)
12/05/2016,6619523,47144.69,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
03/05/2016,6528547,46847.26,FCO SERVICES,Multiple Accounts
05/05/2016,6543440,46763.78,HARIS ENTERPRISES PVT LTD,Local Guards
27/05/2016,6760455,46626.46,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
18/05/2016,6675552,46562.64,IBRD IMPREST FUND A/C X,Protocol - General VAT Refunds to Other Organisations
12/05/2016,6619515,46305,G4S SECURITY SERVICES KENYA LTD,UK Guarding Contracts Overseas
12/05/2016,6619518,46305,G4S SECURITY SERVICES KENYA LTD,UK Guarding Contracts Overseas
24/05/2016,6722533,46300.6,IBTC PENSION MANAGERS LTD,Multiple Accounts
10/05/2016,6582777,46142.27,EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - Refund of Insurance Premium Tax to Other Organisations
27/05/2016,6760452,46130.69,SSK,Multiple Accounts
04/05/2016,6537436,46103.13,FCO SERVICES,Specialist Contractors
20/05/2016,6696693,45757.51,INTERSERVE FM LTD,Construction Project more than £10k
13/05/2016,6628523,45703.36,CROWNE PLAZA AND RESORTS HOTELS GRP,Training Courses
23/05/2016,6715525,45657.34,INTERSERVE FM LTD,Multiple Accounts
20/05/2016,6695016,45176.39,STANDARD BANK OF MALAWI,Multiple Accounts
13/05/2016,6626729,45051.75,INTERSERVE FM LTD,Construction Project more than £10k
19/05/2016,6688447,44946.73,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
03/05/2016,6527599,44840.89,WILLIS OF MARYLAND INC,Multiple Accounts
19/05/2016,6688449,44812.36,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
20/05/2016,6695050,44651.67,IKA,Multiple Accounts
