Posted date,Internal voucher No., Invoice Line amount Net GBP ,Supplier Name,Account Code Description
05/08/2016,7320770,27764.45,BRITISH EXPERTISE,Programme Spend (Oracle Projects Control Account)
05/08/2016,7320849,25786.33,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
05/08/2016,7320869,35784.82,OCVP,Programme Spend (Oracle Projects Control Account)
05/08/2016,7320897,200000,CENTRE FOR HUMANITARIAN DIALOGUE,Programme Spend (Oracle Projects Control Account)
05/08/2016,7320955,130048.35,AFRICAN SKIES LTD,Local Guards
05/08/2016,7320967,26625,WORLD CAREERS NETWORK PLC,Programme Spend (Oracle Projects Control Account)
05/08/2016,7324433,34896,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
05/08/2016,7324440,135000,PRISONERS ABROAD,Human Rights : Prisoners
05/08/2016,7324450,83208,COMPUTACENTER UK LTD,IT/IS Consultancy
05/08/2016,7324456,57147.21,SEBALU LULE ADVOCATES,Costs Associated with the Disposal of Capitalised Assets
05/08/2016,7324463,915633.24,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
05/08/2016,7324471,245244,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
05/08/2016,7325109,73293.76,IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
08/08/2016,7330454,81061.81,AIA COMPANY LIMITED,Multiple Accounts
08/08/2016,7330712,-28220.4,NEXT GENERATION ENROLLMENT,US Healthcare Contract
08/08/2016,7335426,-45821,BTG OTHER DEBTORS,Rent and Service Charges
08/08/2016,7335486,123284.56,INSTITUTE FOR STATE EFFECTIVENESS,Programme Spend (Oracle Projects Control Account)
08/08/2016,7336450,47674,COMPUTACENTER UK LTD,IT/IS Consultancy
08/08/2016,7336561,40134,COMPUTACENTER UK LTD,IT/IS Consultancy
08/08/2016,7336565,180387.99,CAPGEMINI UK PLC,IT/IS Consultancy
08/08/2016,7336568,721428,COMPUTACENTER UK LTD,IT/IS Consultancy
08/08/2016,7336570,26511.5,AGILE BYTE LIMITED,Assets Under Construction (Oracle PA Control Account)
08/08/2016,7336576,104595,BARTON ENGINEERING AND EXPORT,Assets Under Construction (Oracle PA Control Account)
08/08/2016,7336608,194576.92,GARDA WORLD LTD,UK Guarding Contracts Overseas
08/08/2016,7336618,178316.28,MOD MINISTRY OF DEFENCE,Inward Secondments
08/08/2016,7336625,32528.92,CHINA-BRITAIN BUSINESS COUNCIL,O'Seas Conferences
08/08/2016,7336630,32164.75,SYNERGY FOR JUSTICE LTD,Programme Spend (Oracle Projects Control Account)
08/08/2016,7336717,484656.12,INTERSERVE FM LTD,Multiple Accounts
08/08/2016,7345437,100347,FCO SERVICES,IT/IS Consultancy
08/08/2016,7346427,39947.52,VODAFONE LTD,Multiple Accounts
08/08/2016,7347444,37105.84,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
08/08/2016,7347451,1178633.32,EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
08/08/2016,7348425,1021427.35,EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
08/08/2016,7348436,230721.75,EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations
08/08/2016,7349426,360511.48,EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations
08/08/2016,7350424,28051.8,LAND ROVER,Protocol - General VAT Refunds to Other Organisations
08/08/2016,7350428,32111.55,EUROPEAN MEDICINES AGENCY,Protocol - Refund of Insurance Premium Tax to Other Organisations
08/08/2016,7350432,43657.95,EUROPEAN CENTRE FOR MEDIUM,Climate Change Levy
08/08/2016,7350434,25483.44,EUROPEAN INVESTMENT BANK,Protocol - General VAT Refunds to Other Organisations
09/08/2016,7353104,156568.47,HOTELLINE FOR TOURISTIC INVESTMENT LTD,Multiple Accounts
09/08/2016,7353190,43523.75,AL ASMAKH REAL ESTATE DEVELOPMENT COMPANY WLL,Rental Payments - residential
09/08/2016,7353201,35847.13,IHECC,O'Seas Conferences
09/08/2016,7353699,25563.21,DIPLOMATIC MISSION SUPPLIES LTD,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
09/08/2016,7353751,186150,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
09/08/2016,7353761,60196,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
09/08/2016,7354450,35000,ROYAL UNITED SERVICES INSTITUTE FOR DEFENCE AND SECURITY STUDIES,Programme Spend (Oracle Projects Control Account)
09/08/2016,7354470,249077.12,MORSON HUMAN RESOURCES LTD,Residential Property Services
09/08/2016,7354478,36771.58,SECURITAS SAC,Local Guards
09/08/2016,7354489,215957,AEGIS DEFENCE SERVICES LTD,Multiple Accounts
09/08/2016,7354539,87594.54,THE HALO TRUST,Programme Spend (Oracle Projects Control Account)
09/08/2016,7354665,293041.29,STABILISATION NETWORK,Programme Spend (Oracle Projects Control Account)
09/08/2016,7354672,83208,COMPUTACENTER UK LTD,IT/IS Consultancy
09/08/2016,7354710,234000,UNOPS,Programme Spend (Oracle Projects Control Account)
09/08/2016,7357428,35624.52,DX NETWORK SERVICES,Postal Services
09/08/2016,7358506,307365.02,GOVERNMENT LEGAL DEPARTMENT,Legal Consultancy
09/08/2016,7359431,2390000,ISS FACILITY SERVICES LTD FCO OP - POE,FMCU POE Trust Account Debtor
09/08/2016,7362425,29011.06,KOIZA INTERNATIONAL LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
09/08/2016,7362444,5831734.73,HMRC HM REVENUE AND CUSTOMS,Multiple Accounts
09/08/2016,7362453,4578851.11,CABINET OFFICE,Multiple Accounts
10/08/2016,7364882,48653,WAGNER ASIA,Assets Under Construction (Oracle PA Control Account)
10/08/2016,7364894,44364.55,NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
10/08/2016,7372499,246314.6,DANISH REFUGEE COUNCIL,Programme Spend (Oracle Projects Control Account)
10/08/2016,7372504,28483.38,CBRE GWS IFM INDUSTRIE GMBH,Construction Project more than £10k
10/08/2016,7373427,48218.68,SAUDI CONSOLIDATED ELECTRIC CO,Multiple Accounts
10/08/2016,7373434,95440,MOD MINISTRY OF DEFENCE,Programme Spend (Oracle Projects Control Account)
10/08/2016,7373438,209575.07,ARK GROUP DMCC,Programme Spend (Oracle Projects Control Account)
10/08/2016,7373472,196463.46,DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
10/08/2016,7373480,127668.22,DANISH REFUGEE COUNCIL,Programme Spend (Oracle Projects Control Account)
10/08/2016,7373745,203629.89,KPMG FIDUCIAIRE,Multiple Accounts
10/08/2016,7373778,52611.08,SONGHAI HEALTH TRUST LIMITED,Subsidy To Local Medical Schemes
10/08/2016,7374449,-288289.38,COMPUTACENTER UK LTD,Multiple Accounts
10/08/2016,7375434,119308.6,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
10/08/2016,7376434,106765.76,HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
10/08/2016,7376446,169083.32,H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only)
10/08/2016,7376449,32447.88,H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only)
10/08/2016,7377431,43017.05,HEALIX INTERNATIONAL LTD,Gp Consultations
10/08/2016,7377485,66666.91,UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
10/08/2016,7377579,222904,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
10/08/2016,7377583,266506,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
11/08/2016,7379430,50745.31,UNESCO,Programme Spend (Oracle Projects Control Account)
11/08/2016,7379551,37031.39,HAK HY EXPORT IMPORT,Rental Payments - non residential
11/08/2016,7379714,119105,INTEGRITY RESEARCH AND CONSULTANCY LTD,Programme Spend (Oracle Projects Control Account)
11/08/2016,7379719,56850.3,INTERSERVE FM LTD,Multiple Accounts
11/08/2016,7379799,34830.06,INSTITUTO DE GESTAO FINANCEIRA DA SEGURANCA SOCIAL,Multiple Accounts
11/08/2016,7379944,120000,ADYAN FOUNDATION,Programme Spend (Oracle Projects Control Account)
11/08/2016,7380440,49787.24,THE SHAIKH GROUP,Programme Spend (Oracle Projects Control Account)
11/08/2016,7380452,-94329.11,ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services
11/08/2016,7380472,43333.33,PUBLIC INTEREST LAWYERS LIMITED,Legal Charges
11/08/2016,7380473,51200.12,ECORYS GROUP UK,Programme Spend (Oracle Projects Control Account)
11/08/2016,7380477,39949.17,ECORYS GROUP UK,Programme Spend (Oracle Projects Control Account)
11/08/2016,7381462,289964.11,PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
11/08/2016,7381463,-265750,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
11/08/2016,7386426,41098.3,COGENT ELECTRICAL SERVICES LTD FORM WES,Assets Under Construction (Oracle PA Control Account)
11/08/2016,7386436,29087.27,TEAM 3 LIMITED,Multiple Accounts
11/08/2016,7387445,50938.9,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
11/08/2016,7387450,192569.83,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
11/08/2016,7387453,83766.6,STAKEHOLDER DEMOCRACY NETWORK,Programme Spend (Oracle Projects Control Account)
11/08/2016,7388431,35826.98,SIR DANIEL BETHLEHEM QC,Legal Consultancy
11/08/2016,7392489,13150000,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
11/08/2016,7394424,32644,UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
11/08/2016,7395442,29533.5,CAPITA PROPERTY AND INFRASTRUCTURE LTD,Assets Under Construction (Oracle PA Control Account)
11/08/2016,7396430,47235.58,TNT EXPRESS,Specialist Contractors
11/08/2016,7396484,34378.28,SCOTTISH POLICE SERVICES AUTHORITY,Programme Spend (Oracle Projects Control Account)
12/08/2016,7399553,25326.73,ALQANTARA HUMAN RESOURCES CENTRE,Programme Spend (Oracle Projects Control Account)
12/08/2016,7401461,58134.81,AETNA,Multiple Accounts
12/08/2016,7403483,31483.5,FCO SERVICES,Information Systems Maintenance
12/08/2016,7403498,37870,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
12/08/2016,7403499,72000,THE BRITISH RUSSIAN CENTRE AND THE BRITISH EAST WEST CENTER,Programme Spend (Oracle Projects Control Account)
12/08/2016,7403522,87926.52,VOYA FINANCIAL,Multiple Accounts
12/08/2016,7404462,27698,FCO SERVICES,Information Systems Maintenance
12/08/2016,7404471,44600,DELIVERY ASSOCIATES LIMITED,Programme Spend (Oracle Projects Control Account)
12/08/2016,7404478,51933.11,HUMANIS,Multiple Accounts
12/08/2016,7404559,37471.13,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
12/08/2016,7404637,93937.5,FCO SERVICES,IT/IS Consultancy
12/08/2016,7404657,55826.38,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
12/08/2016,7404665,82000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
12/08/2016,7404667,83854,FCO SERVICES,Misc Security Payments
12/08/2016,7404687,28837.88,PEARSON EDUCATION DO BRASIL SA,Programme Spend (Oracle Projects Control Account)
12/08/2016,7404689,28849.48,FUNDACAO GETULIO VARGAS RJ,Programme Spend (Oracle Projects Control Account)
12/08/2016,7404693,28481.53,BARTON ENGINEERING AND EXPORT,Multiple Accounts
12/08/2016,7404746,32097.17,FUNDACAO GETULIO VARGAS RJ,Programme Spend (Oracle Projects Control Account)
12/08/2016,7404936,37767.39,UP ASSET COPACABANA HOTEL LTDA,Accommodation
12/08/2016,7404948,99979.09,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
12/08/2016,7404951,43521.92,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
12/08/2016,7404964,-83208,COMPUTACENTER UK LTD,IT/IS Consultancy
12/08/2016,7405024,52159.16,REUTERS FOUNDATION,Programme Spend (Oracle Projects Control Account)
12/08/2016,7405033,75000,NATIONAL CRIME AGENCY KINGSTON,Recharge Suspense Account (Oracle PA Control Account)
12/08/2016,7405095,25489.3,DIPLOMATIC MISSION SUPPLIES LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
12/08/2016,7406447,29538.49,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406459,58287.73,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406463,25434.67,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406464,32646.58,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406473,28480.62,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406505,64731.51,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406509,30366.41,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406511,36172.21,INTERSERVE FM LTD,FM Interserve Works
12/08/2016,7406517,57539.59,INTERSERVE FM LTD,Construction Project more than £10k
12/08/2016,7406518,66347.64,INTERSERVE FM LTD,Construction Project more than £10k
12/08/2016,7406558,59637.28,INTERSERVE FM LTD,FM Interserve Works
12/08/2016,7406588,484656.12,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406595,49857.79,INTERSERVE FM LTD,Construction Project more than £10k
12/08/2016,7406615,49667.44,INTERSERVE FM LTD,Multiple Accounts
12/08/2016,7406641,30797.04,INTERSERVE FM LTD,Multiple Accounts
15/08/2016,7411479,37879.84,DUBAI ELECTRICITY AND WATER AUTHORITY,Multiple Accounts
15/08/2016,7411671,28221.54,DHAKA ELECTRIC SUPPLY CO,Multiple Accounts
15/08/2016,7412464,39561.89,SSK,Multiple Accounts
15/08/2016,7412473,51543.79,SSK,Multiple Accounts
15/08/2016,7412476,30520,AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
15/08/2016,7414439,109647.51,ADP,Multiple Accounts
15/08/2016,7414442,142624.52,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
15/08/2016,7417476,27263,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Assets Under Construction (Oracle PA Control Account)
15/08/2016,7417535,31695.17,LONDON ENERGY,Electricity Non-Residential
15/08/2016,7417545,57722.13,GROUNDTRUTH CONSULTING LTD,Training Courses
15/08/2016,7419424,213910.23,LONDON ENERGY,Electricity Non-Residential
15/08/2016,7420425,25107.46,USG,Multiple Accounts
15/08/2016,7423424,108481.17,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
15/08/2016,7425425,1564330.23,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
19/08/2016,7425425,-1564330.23,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7425434,2615800.06,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7426449,2255643.1,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7426455,30635876.26,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7426459,2424836.94,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7426464,3237598.29,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7427430,973601.8,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7427435,955011.43,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7427438,37662,FCO SERVICES,Specialist Contractors
15/08/2016,7427449,793485.22,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7427452,28680.33,ARK GROUP DMCC,Programme Spend (Oracle Projects Control Account)
15/08/2016,7427454,33050,MOTT MACDONALD LTD,Programme Spend (Oracle Projects Control Account)
15/08/2016,7427524,225000,BRITISH PARALYMPIC ASSOCIATION,Programme Spend (Oracle Projects Control Account)
15/08/2016,7428428,18780733.01,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
15/08/2016,7429437,25940,GLOBAL RIGHTS COMPLIANCE LLP,Programme Spend (Oracle Projects Control Account)
15/08/2016,7429451,37309.43,BRICKELL BAY TOWER LTD,Multiple Accounts
16/08/2016,7432531,163286.32,OVERSEAS SUPPLY SERVICES LTD,Estates Management Services
16/08/2016,7432537,39258,OVERSEAS SUPPLY SERVICES LTD,Multiple Accounts
16/08/2016,7432539,73128.15,ETIHAD TOWERS FOR REAL ESTATE,Multiple Accounts
16/08/2016,7432553,80951,PECHTER POLLS,Programme Spend (Oracle Projects Control Account)
16/08/2016,7432563,35000,ANR MINING AND CONSTRUCTION,Recharge Suspense Account (Oracle PA Control Account)
16/08/2016,7432657,-27961.6,SLC OTHER DEBTORS,Programme Spend (Oracle Projects Control Account)
16/08/2016,7433448,36690,MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
16/08/2016,7435436,54938.14,CHP CASHBOX TOP UP,Interbank Transfers/Withdrawals
16/08/2016,7435551,152392.56,BRITISH HIGH COMMISSIONS,Interbank Transfers/Withdrawals
16/08/2016,7436461,25868.35,FCO SERVICES,Information Systems Implementation
16/08/2016,7436510,41453.95,BUNDESVERMOEGENSAMT,Multiple Accounts
16/08/2016,7438427,33319.11,GREEN MANOR INVESTMENT LTD,Multiple Accounts
16/08/2016,7438435,31088.08,NOBLE APARTMENTS LIMITED,Rental Payments - residential
17/08/2016,7441960,39622.07,MELMASTI GROUP,General Information Services
17/08/2016,7442501,51029.79,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
17/08/2016,7442532,134363.66,SECUREX AGENCIES LTD,Staff and Other Advances AP Control (Oracle Ap Control Account)
17/08/2016,7442559,59565.06,SKY INGATLANKOZVETITO KFT,Proceeds from Assets held for sale
17/08/2016,7444434,28835.08,BRITCHAM BUSINESS SERVICES,UKTI HQ Allocation- DSO
17/08/2016,7444446,1747899.18,G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
17/08/2016,7445482,-34494,MOTT MACDONALD LTD,Programme Spend (Oracle Projects Control Account)
17/08/2016,7450440,52495.31,SOFTMANAGEMENT SA,Programme Spend (Oracle Projects Control Account)
17/08/2016,7450460,1991301.32,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
17/08/2016,7450554,53472.58,CBRE LTD,Costs Associated with the Disposal of Capitalised Assets
17/08/2016,7451433,80000,FCO SERVICES,Multiple Accounts
17/08/2016,7451450,41220.22,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
17/08/2016,7451455,122012.17,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
17/08/2016,7451465,29975,FCO SERVICES,Repairs And Refurbishment: Works Residential
17/08/2016,7451471,25063.3,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
17/08/2016,7451479,26927.22,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
17/08/2016,7451485,33759.4,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
17/08/2016,7451487,203036.8,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
17/08/2016,7451508,33653.67,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
17/08/2016,7451516,60000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
17/08/2016,7451523,150381,TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
17/08/2016,7451524,90750.5,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
17/08/2016,7452434,68188.44,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
17/08/2016,7452466,35554.89,OVE ARUP PARTNERS INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
17/08/2016,7453432,266686.99,UNMAS,Programme Spend (Oracle Projects Control Account)
01/08/2016,7454430,1546825.92,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
02/08/2016,7454430,50808.9,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
03/08/2016,7454430,30124.91,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
17/08/2016,7454435,631974.25,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
01/08/2016,7454445,1206926.35,THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
02/08/2016,7454445,26630.45,THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
