Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,25/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,THE FIRE PROTECTION ASSOCIATION,GL56 0RH,172010,Equipment support non-project costs,"25,461.30"
Ministry of Defence,Ministry of Defence,21/02/2013,Fuel for military use,Air Command,N1 HF,,2000018284,Aviation fuel casual uplift consumed,"25,452.38"
Ministry of Defence,Ministry of Defence,26/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE24 8BJ,172617,Equipment support non-project costs,"25,376.21"
Ministry of Defence,Ministry of Defence,05/02/2013,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,162801,Fees for professional services excluding legal fees,"25,346.11"
Ministry of Defence,Ministry of Defence,06/02/2013,Fees for professional services,Defence Infrastructure Organisation ,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,163701,Fees for professional services excluding legal fees,"25,324.86"
Ministry Of Defence,British Defence Staff - United States,25/02/2013,"Transportation of personnel, freight and travel expenses",Air Command,OAKWOOD CORPORATE HOUSING,,331920,RAF permanent posting long term detached duty,"25,265.10"
Ministry of Defence,Ministry of Defence,14/02/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,CITYSPRINT (UK) LIMITED,RH1 1SH,167218,Freight movement costs,"25,253.62"
Ministry of Defence,Defence Support Group,15/02/2013,Payroll Processing Costs,Corporate,EQUINITI ICS LTD,,10192148,Payroll Processing Costs,"25,216.54"
Ministry of Defence,Ministry of Defence,28/02/2013,Oil and lubricants consumed excluding those from the inventory system,Joint Forces Command,BABCOCK COMMUNICATIONS,,30429 30505,Oil and lubricants consumed excluding those from the inventory system,"25,200.00"
Ministry of Defence,Ministry of Defence,05/02/2013,Payment of utilities,Land Forces,BP OIL UK LTD,BS11 8DL,162670,Utilities consumed - gas,"25,166.25"
Ministry of Defence,Ministry of Defence,05/02/2013,Spend on Inventory - General,Defence Equipment & Support,UNITED TOOL DISTRIBUTORS LTD,M32 0NB,163051,Spend on Inventory - General,"25,107.39"
Ministry of Defence,Ministry of Defence,19/02/2013,"Transportation of personnel, freight and travel expenses",Navy Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,169436,Military short term detached duty,"25,089.20"
Ministry of Defence,Ministry of Defence,18/02/2013,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,168386,Consumption of medical dental and veterinary inventory,"25,076.32"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,07/02/2013,Condition Grade Improvement,Estates Management,ADVANCED ROOFING SERVICES,,6797,Works - civil estate,"25,074.60"
Ministry of Defence,Ministry of Defence,22/02/2013,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,170740,Works - estate management,"25,058.33"
Ministry of Defence,Defence Science and Technology Laboratory,22/02/2013,Sub Contracted Work,Operations,LOUGHBOROUGH UNIVERSITY ENTERPRISES LIMITED,,V - 9000149661 - 00154043,,"24,993.75"
Ministry of Defence,Ministry of Defence,07/02/2013,Design services and minor equipment purchases,Air Command,SAFESKYS LTD,HP11 1LT,164360,Equipment support non-project costs,"24,863.33"
Ministry of Defence,Ministry of Defence,22/02/2013,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,170639,Consumption of medical dental and veterinary inventory,"24,815.20"
Ministry of Defence,Defence Science and Technology Laboratory,15/02/2013,Sub Contracted Work,Operations,BOHEMIA INTERACTIVE SIMULATIONS S.R.O,,V - 9000149483 - 00154925,,"24,812.00"
Ministry of Defence,Defence Science and Technology Laboratory,15/02/2013,Capital Asset expenditure,Infrastructure,STERIA LIMITED,,V - 9000149438 - 00155085,,"24,763.39"
Ministry of Defence,Defence Science and Technology Laboratory,22/02/2013,Sub Contracted Work,Operations,HERIOT-WATT UNIVERSITY,,V - 9000149625 - 00155049,,"24,746.00"
Ministry of Defence,Ministry of Defence,01/02/2013,Purchase of inventory and services ,Joint Forces Command,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,162161,Cost of other material consumed,"24,725.16"
Ministry of Defence,Ministry of Defence,18/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE PLC,BS34 7QE,168864,Equipment support non-project costs,"24,704.70"
Ministry of Defence,Ministry of Defence,25/02/2013,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,171469,Freight movement costs,"24,678.09"
Ministry of Defence,Ministry of Defence,11/02/2013,Estate management,Defence Equipment & Support,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,165372,Estate core services charge,"24,674.55"
Ministry of Defence,Ministry of Defence,14/02/2013,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,167314,Utilities consumed - heating oil,"24,622.54"
Ministry of Defence,Defence Support Group,15/02/2013,Works - Fees,Business Stream 2,BABCOCK SUPPORT SERVICES LTD,,10191589,Works - Fees,"24,601.99"
Ministry of Defence,Ministry of Defence,25/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,METEOROLOGICAL OFFICE,EX1 3PB,171649,Equipment support non-project costs,"24,422.90"
Ministry of Defence,Ministry of Defence,15/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS MARINE LTD,GU14 6YU,167757,Equipment support non-project costs,"24,421.00"
Ministry of Defence,Defence Science and Technology Laboratory,26/02/2013,Sub Contracted Work,Operations,AVIATION SUPPORT CONSULTANTS LIMITED,,V - 9000149767 - 00155038,,"24,402.00"
Ministry of Defence,Ministry of Defence,26/02/2013,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,172461,Medical health services,"24,236.87"
Ministry of Defence,Defence Science and Technology Laboratory,15/02/2013,Contracted out Office Services,Corporate,ICS COMPUTING LIMITED,,V - 9000149444 - 00153193,,"24,176.98"
Ministry of Defence,Defence Science and Technology Laboratory,22/02/2013,Contracted out Office Services,Corporate,ICS COMPUTING LIMITED,,V - 9000149651 - 00155316,,"24,176.98"
Ministry of Defence,Ministry of Defence,08/02/2013,Fees for professional services,Defence Equipment & Support,AEROSPACE & AIRWORTHINESS CONSULTANCY ENTERPRISES LIMITED,OX1 5DX,164524,Airworthiness Management,"24,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,26/02/2013,Professional Services,Operations,QINETIQ LIMITED,,V - 9000149764 - 00154807,,"24,000.00"
Ministry of Defence,Ministry of Defence,05/02/2013,Purchase of inventory and services ,Defence Equipment & Support,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,KT9 1SN,162624,Consumption of medical dental and veterinary inventory,"23,983.67"
Ministry of Defence,Ministry of Defence,28/02/2013,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,173887,Medical health services,"23,982.01"
Ministry of Defence,Defence Science and Technology Laboratory,15/02/2013,Sub Contracted Work,Operations,TURBINE TECHNOLOGIES LIMITED,,V - 9000149441 - 00155056,,"23,978.06"
Ministry of Defence,Ministry of Defence,21/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,MARSHALL SPECIALIST VEHICLES  LIMITED,CB5 8RX,170408,Equipment support non-project costs,"23,944.68"
