UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC33706,13-Jun-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,958.40",33706
MODGPC33707,11-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł943.59,33707
MODGPC33708,07-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,717.80",33708
MODGPC33709,07-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł758.76,33709
MODGPC33710,11-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł804.06,33710
MODGPC33711,01-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł755.94,33711
MODGPC33712,08-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł796.00,33712
MODGPC33713,12-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,254.72",33713
MODGPC33714,13-Jun-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,858.64",33714
MODGPC33715,12-Jun-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł548.15,33715
MODGPC33716,07-Jun-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł954.35,33716
MODGPC33717,12-Jun-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,254.96",33717
MODGPC33718,11-Jun-12,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,Ł552.54,33718
MODGPC33719,12-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,133.20",33719
MODGPC33720,12-Jun-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,968.00",33720
MODGPC33721,07-Jun-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,400.06",33721
MODGPC33722,08-Jun-12,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł2,269.68",33722
MODGPC33723,08-Jun-12,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł3,808.62",33723
MODGPC33724,07-Jun-12,Building Services                  , ELECTRICAL CONTRACTORS,Ł576.00,33724
MODGPC33725,13-Jun-12,Building Services                  ," HEATING, PLUMBING, AIR COND",Ł644.40,33725
MODGPC33726,12-Jun-12,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł4,166.54",33726
MODGPC33727,13-Jun-12,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł4,955.35",33727
MODGPC33728,11-Jun-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł960.41,33728
MODGPC33729,08-Jun-12,Building Services                  , ELECTRICAL CONTRACTORS,"Ł6,951.00",33729
MODGPC33730,06-Jun-12,Building Services                  ," HEATING, PLUMBING, AIR COND",Ł955.20,33730
MODGPC33731,07-Jun-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł996.00,33731
MODGPC33732,07-Jun-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł561.60,33732
MODGPC33733,07-Jun-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,225.13",33733
MODGPC33734,08-Jun-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł786.00,33734
MODGPC33735,11-Jun-12,Building Services                  , AIR COND/REFRIG REPAIR SHOP,Ł867.00,33735
MODGPC33736,08-Jun-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł669.00,33736
MODGPC33737,12-Jun-12,Catering and Catering Supplies     , CATERERS,Ł514.80,33737
MODGPC33738,07-Jun-12,Catering and Catering Supplies     , CATERERS,"Ł1,023.00",33738
MODGPC33739,12-Jun-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,Ł875.56,33739
MODGPC33740,13-Jun-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,"Ł1,507.32",33740
MODGPC33741,12-Jun-12,Cleaning Services and Supplies     , DRY CLEANERS,"Ł2,900.00",33741
MODGPC33742,12-Jun-12,Cleaning Services and Supplies     , DRY CLEANERS,"Ł2,900.00",33742
MODGPC33743,13-Jun-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"Ł7,455.60",33743
MODGPC33744,13-Jun-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł3,730.26",33744
MODGPC33745,07-Jun-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł3,136.00",33745
MODGPC33746,12-Jun-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł953.25,33746
MODGPC33747,08-Jun-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,080.00",33747
MODGPC33748,12-Jun-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł4,319.20",33748
MODGPC33749,08-Jun-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł987.68,33749
