Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,
DEFRA,DEFRA,29/07/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Deloitte & Touche,2410092169,98979.60,PO 370811 TIME CHARGES FROM 01.06.2015 TO 30.06.2015,MK9 1FD,,,CAPDFA03,Asset,,,,
DEFRA,DEFRA,23/07/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Deloitte & Touche,2410091334,81805.20,PO 370811 DEFRA CAP DELIVERY PROGRAMME FINANCE PROJECT SECONDMENT BETWEEN 01.05.2015 TO 31.05.2015,MK9 1FD,,,CAPDFA03,Asset,,,,
DEFRA,DEFRA,09/07/2015,Consultancy Non-Scheme,Chief Operating Officer DG,Deloitte LLP,2410091110,232905.00,PO 375903  Professional SERVICES PERIOD: 09/03/2015 - 30/04/2015,MK9 1FD,SME,ECM 17517,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,260615,250000.00,PO 346070 LSCG CONTRIBUTION FROM DEFRA FOR JULY 2015,HP2 4XN,,,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,300615,833333.00,PO 377136 FY 15-16 LSSG GRANT PAYMENT JUL 15,HP2 4XN,,,00000000,Expense,,,,
DEFRA,DEFRA,03/07/2015,Contractor - Management Cover,Chief Operating Officer DG,DevOpsGuys Ltd,141,44400.00,PO 378077 11 MAY 15 L4 CONSULTANCY DEFRA CAP DELIVER,BN11 1QR,SME,,CAPDTA00,Expense,,,,
DEFRA,DEFRA,31/07/2015,Contractor - Management Cover,Chief Operating Officer DG,DevOpsGuys Ltd,165,71520.00,PO 378077 01 JUN 15  L4 CONSULTANCY DEFRA CAP DELIVER,BN11 1QR,SME,,CAPDTA00,Expense,,,,
DEFRA,DEFRA,03/07/2015,Electricity,Chief Operating Officer DG,E D F Energy,000000452479,1041710.80,SITE 622 ELECT 01/04/15-30/04/15 ,EX1 3UT,,,B0790000,Expense,,,,
DEFRA,DEFRA,03/07/2015,Gas,Chief Operating Officer DG,E D F Energy,10184218,34671.68,SITE 087 GAS 01/05/2015 TO 01/06/2015,EX1 3UT,,,B0870000,Expense,,,,
DEFRA,DEFRA,23/07/2015,Electricity,Chief Operating Officer DG,E D F Energy,000000581451,384594.32,SITE 622 ELECT 01/06/2015 to 30/06/2015  ,EX1 3UT,,,B0790000,Expense,,,,
DEFRA,DEFRA,03/07/2015,Gas,Chief Operating Officer DG,E D F Energy,10203717,37822.81,SITE 087 GAS 01/05/2015 TO 01/06/2015 ,EX1 3UT,,,B0870000,Expense,,,,
DEFRA,DEFRA,03/07/2015,Gas,Chief Operating Officer DG,E D F Energy,10203715,35436.76,SITE 087 GAS 01/05/2015 TO 01/06/2015 ,EX1 3UT,,,B0870000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Capital LA Grant E,Policy Delivery DG,East Dorset District Council,260215,35085.32,PO 371650 REIMBURSEMENTS OF REPAIR AND RENEW GRANT PAYMENTS FOR EAST DORSET DISTRICT COUNCIL ,BH21 4HN,,GRANT,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Capital LA Grant E,Policy Delivery DG,East Hampshire District Council,515950,92758.55,PO 377473 REIMBURSEMENT OF REPAIR AND RENEW GRANT APRIL 2014 - MARCH 2015,GU31 4EX,,G.I.A,00000000,Expense,,,,
DEFRA,DEFRA,01/07/2015,Capital LA Grant E,Policy Delivery DG,East Riding Of Yorkshire Council,35515550,144396.58,PO 371624 REIMBURSEMENT OF ELIGIBLE EXPENDITURE,HU17 9YR,,GRANT,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Inwards Secondments,Policy Delivery DG,Environment Agency,1173624,35340.00,PO 360350  EA ASSIGNMENT TO DEFRA,PE2 5ZR,,,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIAJULY15,60000000.00,PO 376669 AND 376604 EA FLOOD DEFENCE GIA AND EA EB GIA REF - JH/ JUL16 04,BS1 5AH,,G.I.A,00000000,Expense,,,,
DEFRA,DEFRA,15/07/2015,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,GB10700029810,33385.00,PO 364557 FEE FOR THE WORK DONE IN PERIOD 01 JUNE TO 19 JUNE 2015,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense,,,,
DEFRA,DEFRA,15/07/2015,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,GB10700029761,125632.00,PO 364557 FEE FOR THE WORK DONE IN MAY 2015,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense,,,,
DEFRA,DEFRA,01/07/2015,Current Grants E,Policy Delivery DG,Exmoor National Park Authority,080615,780000.00,PO 377274 NATIONAL PARKS GRANT CLAIM 2015/2016 QTR 2,TA22 9HL,SME,,EXMOOR01,Expense,,,,
DEFRA,DEFRA,07/07/2015,Capital LA Grant E,Policy Delivery DG,Fareham Borough Council,I0076113,33266.69,PO 371601 MISCELLANEOUS EXPENSES PERIOD 1.12.13 TO 28.02.15,PO16 7PU,,GRANT,00000000,Expense,,,,
DEFRA,DEFRA,15/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",Fauna & Flora International,220615,30445.75,PO 377413 DARWIN REF NO 22019 CLAIM PERIOD 01 JUL. 2015 TO 30 SEPT 2015,CB1 2JD,SME,GIA,DARWDFID,Expense,,,,
DEFRA,DEFRA,31/07/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Fera Science Limited,6138002431,317900.00,PO 377435 JULY SPECIALIST FACILITIES FOR FY 2015/16,YO41 1LZ,,,00000000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Fera Science Limited,6138002433,556836.75,PO 377434 JULY PLANT AND BEE HEALTH SERVICES FOR FY 2015/16,YO41 1LZ,,FUNDING,00000000,Expense,,,,
