Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001827084,"948,158.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001827084,"4,734,604.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001827084,"80,131.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001827084,"489,782.52",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001827084,"197,449.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001827085,"4,065,294.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001827085,"401,871.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001827085,"2,045,084.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001827085,"246,772.45",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001827085,"97,709.00",,,,,,,,
