Department,Entity,Payment date,Transaction Number,Invoice Amount (GBP),Supplier ,Account Description
FCO,FCO,8/12/2013,4352632,"27,127.66",BRITISH SCHOOL OF BRUSSELS,Local Education Allowance
FCO,FCO,8/13/2013,4352639,"27,771.11",BRITISH SCHOOL OF BRUSSELS,Local Education Allowance
FCO,FCO,8/15/2013,4405474,"26,666.00",BULLET MARKETING LTD,General Information Services
FCO,FCO,8/12/2013,4401128,"115,109.50",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,8/12/2013,4401134,"197,945.80",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,8/12/2013,4401134,"32,990.97",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,8/12/2013,4401146,"71,302.38",CAPGEMINI UK PLC,IT/IS Consultancy
FCO,FCO,8/13/2013,4417661,"53,824.28",CAPITA GROUP PLC,Training Courses
FCO,FCO,8/14/2013,4293831,"164,120.00",CAPITA SYMONDS LIMITED,Residential Property Services
FCO,FCO,8/15/2013,4264971,"26,000.00",CARBON TRUST ADVISORY SERVICES LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/16/2013,4375299,"254,050.20",CATHOLIC RELIEF SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4400590,"37,888.62",CAUSEWAY INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/10/2013,4294518,"45,000.00",CBRE LTD,Residential Property Services
FCO,FCO,8/11/2013,4294518,"45,000.00",CBRE LTD,Residential Property Services
FCO,FCO,8/12/2013,4294518,"25,140.93",CBRE LTD,Residential Property Services
FCO,FCO,8/13/2013,4359856,"6,023,056.00",CBRE LTD,Estates Management Services
FCO,FCO,8/26/2013,4415277,"40,328.23",CENTRE FOR DIALOGUE AND RECONCILIATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4397828,"101,057.00",CENTRE FOR HUMANITARIAN DIALOGUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4419575,"89,344.00",CHARITY COMMISSION ENGLAND AND WALES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/29/2013,4420393,"26,214.00",CIVIC INITIATIVES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4402882,"44,821.00",CLIMATE PARLIAMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4391310,"51,150.00",CNI CONFEDERACAO NACIONAL DA INDUSTRIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4359094,"68,874.99",COGENT ELECTRICAL SERVICES LTD (FORM WES),Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/15/2013,4405247,"26,232.00",COGENT ELECTRICAL SERVICES LTD (FORM WES),Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/16/2013,4292028,"33,456.00",CONFEDERATION OF INDIAN INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4402875,"154,380.00",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,8/14/2013,4417670,"154,380.00",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,8/15/2013,4321775,"1,159,870.00",CONTROLLED BUILDING MEASURESLTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/16/2013,4351331,"671,406.00",CONTROLLED BUILDING MEASURESLTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/17/2013,4411662,"553,067.00",CONTROLLED BUILDING MEASURESLTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/29/2013,4420348,"30,895.00",COORDINATION BODY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/16/2013,4324276,"263,829.90",CORPORATE TELEVISION NETWORK LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/16/2013,4341030,"592,581.70",CORPORATE TELEVISION NETWORK LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/17/2013,4312796,"40,760.24",CROWN AGENTS BANK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/17/2013,4363033,"27,103.20",CROWN AGENTS BANK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/17/2013,4388869,"28,968.00",CROWN AGENTS BANK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/16/2013,4401454,"385,328.50",DANCHURCHAID,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/29/2013,4342903,"440,669.70",DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4342903,"320,181.90",DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4361293,"272,972.00",DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4399440,"342,863.80",DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
FCO,FCO,8/15/2013,4283483,"64,610.23",DEMOCRACY REPORTING INTERNATIONAL GMBH,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/16/2013,4409596,"2,622,750.00",DIAMOND TRAVEL,Accommodation
FCO,FCO,8/13/2013,4263723,"149,841.00",DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4398495,"98,296.20",DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4398511,"31,423.70",DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4405195,"34,758.00",DIPLOMATIC MISSION SUPPLIES LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,8/13/2013,4405195,"34,758.00",DIPLOMATIC MISSION SUPPLIES LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,8/13/2013,4405195,"34,020.35",DIPLOMATIC MISSION SUPPLIES LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,8/13/2013,4420827,"26,058.75",DIPLOMATIC MISSION SUPPLIES LTD,Property Maintenance Overseas Non Residential
FCO,FCO,8/21/2013,4411496,"32,300.00",DIRECTORATE FOR HUMAN AND MINORITY RIGHTS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/20/2013,4410698,"121,684.80",DRAKE & GORHAM,Construction Project more than £10k
FCO,FCO,8/21/2013,4328515,"30,000.00",DTZ CONSULTING AND RESEARCH,Residential Property Services
FCO,FCO,8/14/2013,4291830,"57,105.19",EIC LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4324517,"45,967.84",EIC LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4405101,"30,078.64",ELECTIONS RESOURCE CENTRE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4324572,"38,734.00",ELECTORAL REFORM INTERNATIONAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4392617,"54,947.61",ELECTORAL REFORM INTERNATIONAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/28/2013,4417857,"91,904.00",ELECTORAL REFORM INTERNATIONAL SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4404482,"149,416.40",EVENTSEC,Inward visits to the UK and UK Conferences
FCO,FCO,8/15/2013,4356822,"81,936.68",FACEO FRANCE,Property Maintenance Overseas Non Residential
FCO,FCO,8/15/2013,4391455,"96,893.14",FACEO FRANCE,Property Maintenance Overseas Non Residential
FCO,FCO,8/15/2013,4421112,"82,932.79",FACEO FRANCE,Property Maintenance Overseas Non Residential
FCO,FCO,8/22/2013,4262530,"30,294.00",FCO SERVICES,Security: Works Non-Residential
FCO,FCO,8/22/2013,4275732,"223,465.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4275743,"77,465.49",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4281531,"175,737.10",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4281531,"119,014.60",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4281531,"73,919.19",FCO SERVICES,Post - Air Travel
FCO,FCO,8/22/2013,4281531,"29,233.64",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4287308,"38,154.72",FCO SERVICES,Specialist Contractors
FCO,FCO,8/22/2013,4304939,"30,000.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4304950,"44,108.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4304950,"44,108.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4309475,"122,337.60",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4310872,"27,037.26",FCO SERVICES,Legal Charges
FCO,FCO,8/22/2013,4310872,"27,037.26",FCO SERVICES,Legal Charges
FCO,FCO,8/22/2013,4320389,"73,786.50",FCO SERVICES,Despatch Charges
FCO,FCO,8/22/2013,4323370,"197,493.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4323370,"81,579.68",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4324348,"34,330.50",FCO SERVICES,Freight & Customs Clearance Charges
FCO,FCO,8/22/2013,4324372,"27,037.26",FCO SERVICES,Legal Charges
FCO,FCO,8/22/2013,4324564,"74,727.00",FCO SERVICES,Despatch Charges
FCO,FCO,8/22/2013,4324575,"51,768.70",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/22/2013,4324584,"987,384.00",FCO SERVICES,Unaccompanied Air Freight
FCO,FCO,8/22/2013,4330717,"299,169.20",FCO SERVICES,Specialist Contractors
FCO,FCO,8/22/2013,4333152,"147,423.80",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/22/2013,4344592,"34,045.50",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4349245,"185,243.10",FCO SERVICES,Temporary Staff (Admin and Clerical Only)
FCO,FCO,8/22/2013,4349245,"100,004.30",FCO SERVICES,Temporary Staff (Admin and Clerical Only)
FCO,FCO,8/22/2013,4353592,"318,913.40",FCO SERVICES,Construction Project more than £10k
FCO,FCO,8/22/2013,4353592,"318,913.40",FCO SERVICES,Construction Project more than £10k
FCO,FCO,8/22/2013,4353592,"142,000.00",FCO SERVICES,Residential Property Services
FCO,FCO,8/22/2013,4353592,"71,597.46",FCO SERVICES,Residential Property Services
FCO,FCO,8/22/2013,4353636,"80,286.40",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4353840,"31,288.34",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4353921,"26,497.67",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/22/2013,4354154,"26,066.48",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/22/2013,4354209,"73,345.03",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/22/2013,4354215,"86,725.87",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/23/2013,4354220,"616,701.00",FCO SERVICES,Postal Services
FCO,FCO,8/24/2013,4354274,"30,000.00",FCO SERVICES,Security: Works Non-Residential
FCO,FCO,8/25/2013,4354281,"36,015.16",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/26/2013,4363862,"61,213.52",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/27/2013,4379855,"66,789.30",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/28/2013,4380593,"27,037.26",FCO SERVICES,Legal Charges
FCO,FCO,8/23/2013,4384772,"185,243.10",FCO SERVICES,Temporary Staff (Admin and Clerical Only)
FCO,FCO,8/24/2013,4384772,"93,797.10",FCO SERVICES,Temporary Staff (Admin and Clerical Only)
FCO,FCO,8/25/2013,4386254,"26,813.10",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/26/2013,4389579,"41,373.13",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/27/2013,4389902,"43,026.71",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/28/2013,4392247,"43,593.35",FCO SERVICES,Freight & Customs Clearance Charges
FCO,FCO,8/29/2013,4394666,"40,000.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/7/2013,4395570,"35,361.48",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4401033,"29,190.42",FCO SERVICES,Freight & Customs Clearance Charges
FCO,FCO,8/14/2013,4401038,"33,936.00",FCO SERVICES,IT/IS Consultancy
FCO,FCO,8/21/2013,4401046,"43,596.80",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4406526,"140,700.00",FCO SERVICES,Information Systems Maintenance
FCO,FCO,8/28/2013,4407221,"68,004.22",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/28/2013,4407264,"81,254.28",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/28/2013,4407264,"73,018.57",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4407269,"42,005.27",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4408744,"134,508.50",FCO SERVICES,IT/IS Consultancy
FCO,FCO,8/21/2013,4410211,"31,579.31",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4410217,"45,286.96",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/28/2013,4411336,"94,213.97",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/28/2013,4411340,"135,790.60",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/28/2013,4411365,"58,908.38",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/28/2013,4411375,"27,342.47",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/28/2013,4411402,"32,792.31",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/28/2013,4417292,"2,250,000.00",FCO SERVICES,IT/IS Consultancy
FCO,FCO,8/28/2013,4417292,"250,000.00",FCO SERVICES,IT/IS Consultancy
FCO,FCO,8/28/2013,4420513,"28,911.50",FCO SERVICES,Specialist Contractors
FCO,FCO,8/28/2013,4421511,"87,615.79",FCO SERVICES,Residential Property Services
FCO,FCO,8/28/2013,4421512,"41,451.72",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/28/2013,4421515,"63,996.56",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,8/28/2013,4421516,"31,757.00",FCO SERVICES,Information Systems Maintenance
FCO,FCO,8/28/2013,4291792,"47,204.91",FIELD FISHER WATERHOUSE,Specialist Contractors
FCO,FCO,8/8/2013,4399101,"64,171.56",FIELD FISHER WATERHOUSE,Specialist Contractors
FCO,FCO,8/30/2013,4420840,"26,677.00",FNIK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/19/2013,4300178,"1,390,074.00",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4300183,"65,927.19",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4300187,"38,807.51",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4300193,"30,283.68",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4300198,"613,303.30",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4355881,"132,718.80",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Mobile Guarding Contract overseas
FCO,FCO,8/19/2013,4355881,"44,827.30",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Mobile Guarding Contract overseas
FCO,FCO,8/19/2013,4355881,"30,908.00",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/19/2013,4362978,"42,237.54",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4362978,"42,237.54",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4362978,"42,237.54",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4363008,"42,215.34",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4363008,"42,215.34",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4363008,"42,215.34",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4363486,"1,305,690.00",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4405050,"1,410,326.00",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4405050,"1,410,326.00",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/19/2013,4405053,"711,441.80",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/23/2013,4409541,"42,237.54",G4S RISK MANAGEMENT LTD FORMALLY ARMOURGROUP SERVICES LTD,UK Guarding Contracts Overseas
FCO,FCO,8/13/2013,4420982,"2,057,610.00",G4S SECURE SOLUTIONS UK,Misc Security Payments
FCO,FCO,8/13/2013,4420991,"158,544.20",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,8/13/2013,4420991,"91,601.25",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,8/13/2013,4420991,"46,367.58",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,8/13/2013,4421001,"158,544.20",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,8/13/2013,4421001,"91,601.25",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,8/13/2013,4421001,"46,367.58",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,8/13/2013,4302475,"30,463.41",G4S SECURITY SERVICE (DRC) SPRL,Local Guards
FCO,FCO,8/13/2013,4336448,"31,019.98",G4S SECURITY SERVICE (DRC) SPRL,Local Guards
FCO,FCO,8/13/2013,4375230,"31,040.38",G4S SECURITY SERVICE (DRC) SPRL,Local Guards
FCO,FCO,8/13/2013,4375230,"30,908.85",G4S SECURITY SERVICE (DRC) SPRL,Local Guards
FCO,FCO,8/13/2013,4401451,"30,799.48",G4S SECURITY SERVICE (DRC) SPRL,Local Guards
FCO,FCO,8/27/2013,4400531,"52,528.20",G4S SECURITY SERVICES,Local Guards
FCO,FCO,8/27/2013,4400531,"45,088.58",G4S SECURITY SERVICES,Local Guards
FCO,FCO,8/27/2013,4400531,"45,088.58",G4S SECURITY SERVICES,Local Guards
FCO,FCO,8/27/2013,4412034,"52,528.20",G4S SECURITY SERVICES,Local Guards
FCO,FCO,8/27/2013,4412034,"45,088.58",G4S SECURITY SERVICES,Local Guards
FCO,FCO,8/22/2013,4413289,"25,693.37",G4S SECURITY SERVICES (UGANDA) LTD,Local Guards
FCO,FCO,8/20/2013,4404102,"26,283.78",G4S SECURITY SERVICES OY,Local Guards
FCO,FCO,8/5/2013,4394472,"32,961.55",GA 9. OBJEKT 1013 DUSSELDORF,Rental Payments - non residential
FCO,FCO,8/13/2013,4291977,"87,264.20",GARDA WORLD LTD,Specialist Contractors
FCO,FCO,8/13/2013,4291985,"258,579.50",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,8/13/2013,4300169,"247,857.20",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,8/13/2013,4333806,"312,687.60",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,8/13/2013,4364891,"319,626.00",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,8/13/2013,4398844,"331,777.00",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,8/13/2013,4398844,"331,777.00",GARDA WORLD LTD,UK Guarding Contracts Overseas
FCO,FCO,8/13/2013,4400829,"1,033,512.00",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,8/14/2013,4274182,"264,292.10",GENERAL MOTORS KENYA LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4327357,"321,322.00",GILBERT ASH FITOUT LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/9/2013,4397788,"583,959.90",GILBERT ASH FITOUT LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/9/2013,4265412,"30,000.00",GLEEDS BUILDING SURVEYING LTD,Estates Management Services
FCO,FCO,8/6/2013,4396167,"59,514.18",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4404466,"568,914.20",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4404466,"40,351.27",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4404540,"293,849.00",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
