Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount (Sterling) 
DFID,DFID,08/02/2011,Technical & Advisory services,East and Central Africa,DELTA PARTNERSHIP SOLUTIONS LTD,400141403,"108,333.81"
DFID,DFID,09/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,STUDENTS PARTNERSHIP WORLDWIDE,400141404,"143,699.00"
DFID,DFID,09/02/2011,Aid to international organisations,Asia Division,IBRD HSBC T,400141415,"181,000.00"
DFID,DFID,15/02/2011,Technical & Advisory services,Asia Division,COFFEY INTERNATIONAL DEVELOPMENT LTD,400141423,"65,160.26"
DFID,DFID,08/02/2011,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400141438,"161,209.67"
DFID,DFID,08/02/2011,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400141441,"82,542.34"
DFID,DFID,08/02/2011,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400141443,"189,067.03"
DFID,DFID,08/02/2011,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400141446,"113,949.43"
DFID,DFID,08/02/2011,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400141448,"98,908.90"
DFID,DFID,03/02/2011,Aid to partner government,West and Southern Africa,THE CROWN AGENTS,400141460,"183,333.33"
DFID,DFID,03/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,400141461,"446,658.31"
DFID,DFID,04/02/2011,Technical & Advisory services,Western Asia and Stabilisation Division,MOTT MACDONALD LTD,400141494,"63,850.45"
DFID,DFID,15/02/2011,Technical & Advisory services,Asia Division,OPTIONS CONSULTANCY SERVICES LIMITED,400141606,"73,347.00"
DFID,DFID,15/02/2011,Technical & Advisory services,Asia Division,OPTIONS CONSULTANCY SERVICES LIMITED,400141607,"28,803.54"
DFID,DFID,04/02/2011,Technical & Advisory services,Asia Division,CONSTELLA FUTURES,400141610,"54,193.87"
DFID,DFID,07/02/2011,Aid to partner government,Asia Division,THE CROWN AGENTS,400141712,"5,000,000.00"
DFID,DFID,07/02/2011,Aid to partner government,West and Southern Africa,THE CROWN AGENTS,400141720,"30,000.00"
DFID,DFID,15/02/2011,Technical & Advisory services,Western Asia and Stabilisation Division,HLSP LIMITED,400141771,"114,140.42"
DFID,DFID,07/02/2011,Research & Development,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400141779,"126,675.67"
DFID,DFID,07/02/2011,Technical & Advisory services,West and Southern Africa,KPMG Inc.,400141804,"30,634.75"
DFID,DFID,07/02/2011,Research & Development,Policy and Research Directorate,BRITISH COUNCIL,400141813,"480,080.80"
DFID,DFID,07/02/2011,Technical & Advisory services,West and Southern Africa,CARE INTERNATIONAL,400141814,"30,113.61"
DFID,DFID,07/02/2011,Technical & Advisory services,West and Southern Africa,CARE INTERNATIONAL,400141815,"30,077.64"
DFID,DFID,07/02/2011,Technical & Advisory services,West and Southern Africa,CARE INTERNATIONAL,400141816,"28,719.46"
DFID,DFID,08/02/2011,Technical & Advisory services,Asia Division,Futures Group International India Pvt Ltd,400141817,"222,197.94"
DFID,DFID,07/02/2011,Technical & Advisory services,Policy and Research Directorate,HLSP LIMITED,400141822,"23,632.75"
DFID,DFID,11/02/2011,Technical & Advisory services,Policy and Research Directorate,THE CROWN AGENTS,400141826,"44,242.79"
DFID,DFID,09/02/2011,Technical & Advisory services,East and Central Africa,ADAM SMITH INTERNATIONAL  LTD,400141833,"62,636.95"
DFID,DFID,09/02/2011,Aid to partner government,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141834,"2,800,000.00"
DFID,DFID,10/02/2011,Aid to partner government,Asia Division,THE CROWN AGENTS,400141835,"204,177.60"
DFID,DFID,10/02/2011,Aid to partner government,Asia Division,THE CROWN AGENTS,400141836,"416,307.58"
DFID,DFID,08/02/2011,Technical & Advisory services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141841,"91,419.00"
DFID,DFID,07/02/2011,Office Equipment,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141842,275.84
DFID,DFID,07/02/2011,Medical & Health Supplies/Services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141842,"109,648.39"
DFID,DFID,07/02/2011,Communications,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141842,"1,693.37"
DFID,DFID,07/02/2011,Accommodation costs,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141842,"1,061.10"
DFID,DFID,07/02/2011,Medical & Health Supplies/Services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141842,146.35
DFID,DFID,07/02/2011,"Property Repairs, Maintenance & Alterations",Western Asia and Stabilisation Division,THE CROWN AGENTS,400141842,25
DFID,DFID,07/02/2011,Staff Business Travel and Subsistence,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141842,119.1
DFID,DFID,07/02/2011,Vehicle Running Costs,Western Asia and Stabilisation Division,THE CROWN AGENTS,400141842,174.99
DFID,DFID,15/02/2011,Technical & Advisory services,Western Asia and Stabilisation Division,BRITISH COUNCIL,400141868,"44,107.37"
DFID,DFID,15/02/2011,Technical & Advisory services,West and Southern Africa,HEALTH PARTNERS INTERNATIONAL,400141929,"331,378.72"
DFID,DFID,08/02/2011,Aid to civil society organisations / NGOs,East and Central Africa,INTERNATIONAL INSTITUTE FOR ENVIRO,400141935,"70,512.93"
DFID,DFID,16/02/2011,Technical & Advisory services,West and Southern Africa,KPMG ANGOLA & MOZAMBIQUE,400141966,"44,727.83"
DFID,DFID,11/02/2011,Technical & Advisory services,Central Department Division,THE CROWN AGENTS,400141967,"36,250.00"
DFID,DFID,08/02/2011,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400141969,"156,219.00"
DFID,DFID,08/02/2011,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400141969,"156,219.00"
DFID,DFID,09/02/2011,Energy Costs,Human Resources Division,EDF ENERGY,400141975,"3,003.45"
DFID,DFID,09/02/2011,Energy Costs,Human Resources Division,EDF ENERGY,400141975,"28,629.32"
DFID,DFID,09/02/2011,Energy Costs,Human Resources Division,EDF ENERGY,400141975,1.83
DFID,DFID,09/02/2011,Energy Costs,Human Resources Division,EDF ENERGY,400141975,"3,175.63"
DFID,DFID,08/02/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Crown Agents Bank,400141979,"165,000.00"
DFID,DFID,08/02/2011,Technical & Advisory services,West and Southern Africa,ADAM SMITH INTERNATIONAL  LTD,400141985,"733,757.54"
DFID,DFID,08/02/2011,Technical & Advisory services,International Finance Division,PRICEWATERHOUSECOOPERS,400141991,"51,518.48"
DFID,DFID,08/02/2011,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400141993,"102,100.00"
DFID,DFID,08/02/2011,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400141993,"19,363.39"
DFID,DFID,09/02/2011,Technical & Advisory services,West and Southern Africa,PRICEWATERHOUSECOOPERS,400141994,"209,428.00"
DFID,DFID,09/02/2011,Technical & Advisory services,West and Southern Africa,PRICEWATERHOUSECOOPERS,400141994,"29,665.00"
DFID,DFID,08/02/2011,Technical & Advisory services,West and Southern Africa,ADAM SMITH INTERNATIONAL  LTD,400141995,"204,966.71"
DFID,DFID,10/02/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ALLNATIVE  SERVICES,400142015,"42,258.75"
DFID,DFID,11/02/2011,Technical & Advisory services,Policy and Research Directorate,UNIVERSITY OF BIRMINGHAM,400142018,"78,102.53"
DFID,DFID,08/02/2011,Technical & Advisory services,Asia Division,UNIVERSITY OF WOLVERHAMPTON,400142024,"118,725.51"
DFID,DFID,10/02/2011,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400142025,"49,516.47"
DFID,DFID,09/02/2011,Aid to civil society organisations / NGOs,International Relations Division,ECDPM (Euro Account),400142027,"64,177.50"
DFID,DFID,09/02/2011,Technical & Advisory services,East and Central Africa,Crown Agents Bank,400142030,"1,800,000.00"
DFID,DFID,09/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,ECDPM (Euro Account),400142032,"128,325.00"
DFID,DFID,09/02/2011,Technical & Advisory services,East and Central Africa,OXFORD POLICY MANAGEMENT,400142041,"22,850.00"
DFID,DFID,09/02/2011,Technical & Advisory services,East and Central Africa,OXFORD POLICY MANAGEMENT,400142041,"13,532.50"
DFID,DFID,14/02/2011,Aid to civil society organisations / NGOs,Asia Division,WESTMINSTER FOUNDATION FOR DEMOCRACY,400142045,"49,075.65"
DFID,DFID,08/02/2011,Technical & Advisory services,Asia Division,WSP INTERNATIONAL LIMITED,400142046,"881,729.91"
DFID,DFID,16/02/2011,Technical & Advisory services,East and Central Africa,WSP INTERNATIONAL LIMITED,400142055,"44,634.88"
DFID,DFID,11/02/2011,Aid to civil society organisations / NGOs,East and Central Africa,DANISH REFUGEE COUNCIL (DKK),400142056,"160,029.78"
DFID,DFID,09/02/2011,Technical & Advisory services,Asia Division,ADAM SMITH INTERNATIONAL  LTD,400142057,"65,544.30"
DFID,DFID,08/02/2011,Aid to international organisations,West and Southern Africa,UNDP CONTRIBUTIONS GBP,400142060,"4,000,000.00"
DFID,DFID,08/02/2011,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",IBRD (HSBC)  C/O THE WORLD BANK,400142061,"316,750.00"
DFID,DFID,08/02/2011,Aid to civil society organisations / NGOs,East and Central Africa,SAVE THE CHILDREN,400142062,"202,448.00"
DFID,DFID,15/02/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ADAM SMITH INTERNATIONAL  LTD,400142063,"94,736.50"
DFID,DFID,15/02/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ADAM SMITH INTERNATIONAL  LTD,400142063,"17,584.01"
DFID,DFID,08/02/2011,Technical & Advisory services,West and Southern Africa,BRITISH COUNCIL,400142066,"56,634.97"
DFID,DFID,10/02/2011,Technical & Advisory services,East and Central Africa,ADAM SMITH INTERNATIONAL  LTD,400142067,"128,485.29"
DFID,DFID,09/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,African Foundation for Development Sierra Leone ,400142169,"65,845.96"
DFID,DFID,10/02/2011,Aid to civil society organisations / NGOs,East and Central Africa,INTERPEACE,400142255,"289,099.02"
DFID,DFID,15/02/2011,Technical & Advisory services,International Relations Division,COFFEY INTERNATIONAL DEVELOPMENT LTD,400142288,"39,783.22"
DFID,DFID,11/02/2011,Hardware,Business Solutions Division Level,ASSURIX LIMITED,400142311,"83,509.40"
DFID,DFID,09/02/2011,Technical & Advisory services,Policy and Research Directorate,CAB INTERNATIONAL,400142317,"91,152.40"
DFID,DFID,10/02/2011,Aid to civil society organisations / NGOs,Asia Division,Helvetas Nepal,400142326,"1,351,888.88"
DFID,DFID,09/02/2011,Technical & Advisory services,Asia Division,CAMBRIDGE EDUCATION LTD,400142329,"131,664.68"
DFID,DFID,09/02/2011,Technical & Advisory services,Asia Division,CAMBRIDGE EDUCATION LTD,400142330,"120,157.46"
DFID,DFID,09/02/2011,Technical & Advisory services,Asia Division,NATURAL RESOURCES INTERN,400142331,"79,889.99"
DFID,DFID,09/02/2011,Technical & Advisory services,Asia Division,NATURAL RESOURCES INTERN,400142334,"57,910.60"
DFID,DFID,09/02/2011,Technical & Advisory services,International Finance Division,EMERGING MARKETS GROUP,400142337,"47,520.00"
DFID,DFID,09/02/2011,Technical & Advisory services,East and Central Africa,ATOS CONSULTING LIMITED,400142344,"236,088.66"
DFID,DFID,09/02/2011,Staff training & Conferences,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",MINISTRY OF DEFENCE - HQ BRITFOR,400142347,"26,530.00"
DFID,DFID,09/02/2011,Medical & Health Supplies/Services,West and Southern Africa,THE CROWN AGENTS,400142384,"79,326.78"
DFID,DFID,09/02/2011,Technical & Advisory services,Policy and Research Directorate,IIED ,400142385,"87,048.00"
DFID,DFID,10/02/2011,Aid to international organisations,West and Southern Africa,WFP CONTRIBUTIONS UNIT,400142391,"950,000.00"
DFID,DFID,09/02/2011,Technical & Advisory services,West and Southern Africa,OPTIONS CONSULTANCY SERVICES LIMITED,400142394,"118,497.65"
DFID,DFID,09/02/2011,Technical & Advisory services,Western Asia and Stabilisation Division,OXFORD POLICY MANAGEMENT,400142398,"74,368.01"
DFID,DFID,11/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,WEST AFRICAN NGO NETWORK,400142405,"208,196.00"
DFID,DFID,09/02/2011,Technical & Advisory services,East and Central Africa,HLSP LIMITED,400142407,"38,653.79"
DFID,DFID,11/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,FinMark  TRUST,400142409,"893,329.96"
DFID,DFID,10/02/2011,Technical & Advisory services,East and Central Africa,ADAM SMITH INTERNATIONAL  LTD,400142490,"49,179.68"
DFID,DFID,14/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,VOLUNTARY SERVICE OVERSEAS (YOHANNES TESFAMICHAEL),400142530,"100,000.00"
DFID,DFID,14/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,VOLUNTARY SERVICE OVERSEAS (YOHANNES TESFAMICHAEL),400142530,"4,798.00"
DFID,DFID,14/02/2011,Technical & Advisory services,West and Southern Africa,Society for Family  Health,400142532,"464,867.55"
DFID,DFID,28/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,EGPAF,400142542,"381,293.82"
DFID,DFID,15/02/2011,Technical & Advisory services,Asia Division,CAMBRIDGE EDUCATION CONSUL,400142546,"32,691.20"
DFID,DFID,11/02/2011,Aid to civil society organisations / NGOs,Western Asia and Stabilisation Division,OXFAM,400142557,"1,760,211.00"
DFID,DFID,17/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,PLANNED PARENTHOOD ASSOCIATION OF GHANA,400142565,"42,179.75"
DFID,DFID,15/02/2011,Technical & Advisory services,Policy and Research Directorate,KPMG Development Services,400142578,"33,274.34"
DFID,DFID,11/02/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ADAM SMITH INTERNATIONAL  LTD,400142657,"38,489.35"
DFID,DFID,11/02/2011,Aid to international organisations,West and Southern Africa,UNDP CONTRIBUTIONS GBP,400142660,"1,000,000.00"
DFID,DFID,11/02/2011,Technical & Advisory services,Evaluation Department,ITAD LTD,400142665,"52,326.66"
DFID,DFID,15/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,GVEP INTERNATIONAL LTD,400142735,"189,001.50"
DFID,DFID,14/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,NIKE FOUNDATION,400142744,"1,354,513.61"
DFID,DFID,25/02/2011,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",The Centre for Humanitarian Dialogue,400142761,"125,000.00"
DFID,DFID,11/02/2011,Technical & Advisory services,Policy and Research Directorate,Triple Line Consulting Limited,400142762,"573,955.79"
DFID,DFID,11/02/2011,Technical & Advisory services,Policy and Research Directorate,ITAD LTD,400142764,"31,938.00"
DFID,DFID,15/02/2011,Technical & Advisory services,West and Southern Africa,CARE INTERNATIONAL UK,400142769,"53,560.16"
DFID,DFID,11/02/2011,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ISLAMIC DEVELOPMENT BANK,400142816,"350,000.00"
DFID,DFID,14/02/2011,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400142819,"33,579.30"
DFID,DFID,14/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,KPMG DEVELOPMENT SERVICE,400142821,"605,256.60"
DFID,DFID,14/02/2011,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400142825,"33,579.30"
DFID,DFID,14/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,KPMG DEVELOPMENT SERVICE,400142826,"489,133.16"
DFID,DFID,14/02/2011,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400142828,"33,582.51"
DFID,DFID,15/02/2011,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400142830,"134,650.63"
DFID,DFID,14/02/2011,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400142831,"33,579.30"
DFID,DFID,14/02/2011,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400142834,"33,579.30"
DFID,DFID,15/02/2011,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400142836,"33,579.30"
DFID,DFID,14/02/2011,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400142838,"33,579.30"
DFID,DFID,15/02/2011,Aid to civil society organisations / NGOs,Asia Division,SAVE THE CHILDREN,400142846,"307,134.43"
DFID,DFID,11/02/2011,Aid to international organisations,Policy and Research Directorate,IBRD HSBC T,400142850,"2,333,333.00"
DFID,DFID,15/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,Catholic Commission for Justice and Peace,400142854,"324,672.54"
DFID,DFID,17/02/2011,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400142856,"82,206.98"
DFID,DFID,15/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,Malawi Red Cross Society,400142857,"43,624.01"
DFID,DFID,15/02/2011,Research & Development,Policy and Research Directorate,NRI LTD.,400142863,"1,743,296.57"
DFID,DFID,14/02/2011,Technical & Advisory services,Policy and Research Directorate,THE IDL GROUP,400142864,"9,229.99"
DFID,DFID,14/02/2011,Technical & Advisory services,Policy and Research Directorate,THE IDL GROUP,400142864,"29,442.25"
DFID,DFID,15/02/2011,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",HARVARD UNIVERSITY (OFFICE FOR SPONSERED PROGRAMS),400142865,"125,962.38"
DFID,DFID,15/02/2011,Technical & Advisory services,Western Asia and Stabilisation Division,HLSP LIMITED,400142868,"50,962.01"
DFID,DFID,15/02/2011,Technical & Advisory services,East and Central Africa,ADAM SMITH INTERNATIONAL  LTD,400142869,"203,170.00"
DFID,DFID,15/02/2011,Technical & Advisory services,East and Central Africa,ADAM SMITH INTERNATIONAL  LTD,400142869,"105,861.52"
DFID,DFID,14/02/2011,Aid to civil society organisations / NGOs,West and Southern Africa,Rensida,400142876,"38,251.29"
DFID,DFID,14/02/2011,Technical & Advisory services,West and Southern Africa,ONE WORLD,400142879,"75,779.00"
DFID,DFID,14/02/2011,Technical & Advisory services,West and Southern Africa,ONE WORLD,400142884,"83,079.00"
