Departmental Family,Entity,Date,Expense type,Expense area,Supplier,Transaction Number,Amount,Description
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Redriff Primary School,6575349,165388.08,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Havant Academy,6560631,164391.24,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Temple Hill Primary Academy,6614217,164350.00,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Dedworth Middle School,6610557,164300.94,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,East Tilbury Primary School and Nursery,6576539,164282.16,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,William Law CofE Primary School,6598287,164277.45,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Pate's Grammar School,6561947,164238.93,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Appleby Grammar School,6569815,164143.93,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,WHITSTONE,6569231,164103.37,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Grove Academy,6578889,164058.79,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Melbourn Village College,6572033,163880.46,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Wordsworth Primary School,6600657,163769.41,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Bullers Wood School,6564887,163639.68,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Wickersley School and Sports College,6596037,163557.27,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Perry Beeches V - The All Through Family School,6608057,163523.37,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Skipton Academy,6600373,163480.33,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Cambridge Park Academy,6571635,163333.33,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Dorothy Goodman School Hinckley,6576471,163333.33,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,The King Edward VI Academy,6575311,163298.85,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Trinity School,6588417,163270.76,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Riverbridge Primary School,6614051,163270.24,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Reach Free School,6588627,163250.25,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Bishops Cleeve Primary School,6570033,163230.27,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,GREENHOLM PRIMARY SCHOOL,6580419,163188.52,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Bluecoat Academy,6574703,162960.60,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Whitehill Community Academy,6563969,162874.82,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,DEAN TRUST ARDWICK,6606929,162645.95,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,BROADOAK SCHOOL,6579949,162630.12,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Bridge Academy,6594537,162500.00,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Scotts Park Primary School,6597149,162433.66,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Broom Leys School,6586077,162377.41,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Alexandra Park School,6572871,162226.94,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,St Bartholomew's School,6571301,162146.19,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Beths Grammar School,6561097,162130.94,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Oldway Primary School,6607455,162068.38,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Hampton Primary School,6578091,161779.15,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,IES Breckland,6579963,161527.19,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Holy Trinity,6598775,161310.92,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Cranford Community College,6564123,161208.44,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Darrick Wood School,6561969,161190.02,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Robert Fitzroy Academy,6584765,161008.70,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Eden Boys' School Bolton,6598553,160921.48,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Boston Grammar School,6586475,160907.18,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Three Towers Alternative Provision Academy,6600329,160833.33,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Longsands Academy,6567255,160821.27,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Meopham School,6575113,160663.36,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Twickenham Primary School,6593451,160626.32,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Maple Court Academy,6583055,160572.76,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Mottingham Primary School,6607691,160557.01,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,TAPTON SCHOOL,6567507,160079.44,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Nelson Primary School,6594645,160035.14,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Telford Park School,6591535,159923.00,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,West Town Lane Academy,6571625,159863.55,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Sidegate Primary School,6597515,159831.90,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Cranbrook School,6573353,159743.79,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Angel Oak Academy,6604301,159679.00,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,CTC Kingshurst Academy,6557781,159658.44,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Widey Primary School,6614111,159433.30,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Globe Primary Academy,6602393,159384.17,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Oakbank,6579829,159253.32,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Sele School,6574715,159252.33,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Eastfield Primary School,6590149,159176.52,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,St Petroc's Church of England Voluntary Aided Prim,6586793,159158.87,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Harrogate High School,6574139,159147.32,Sixth Form funding payments
