MODGPC47283,04-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł539.70,47283
MODGPC47284,13-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł564.98,47284
MODGPC47285,10-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,768.00",47285
MODGPC47286,11-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł832.18,47286
MODGPC47287,10-Dec-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł624.96,47287
MODGPC47288,10-Dec-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"Ł1,197.60",47288
MODGPC47289,10-Dec-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"Ł1,327.10",47289
MODGPC47290,11-Dec-12,Building Materials                 , PLUMBING/HEATING EQUIPMENT,"Ł1,956.29",47290
MODGPC47291,03-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,192.80",47291
MODGPC47292,12-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,191.00",47292
MODGPC47293,12-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł648.84,47293
MODGPC47294,12-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,134.08",47294
MODGPC47295,06-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł559.01,47295
MODGPC47296,11-Dec-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł742.94,47296
MODGPC47297,13-Dec-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł588.00,47297
MODGPC47298,05-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł30,658.40",47298
MODGPC47299,10-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,576.51",47299
MODGPC47300,10-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł767.78,47300
MODGPC47301,10-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł735.12,47301
MODGPC47302,06-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,218.69",47302
MODGPC47303,11-Dec-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł772.61,47303
MODGPC47304,12-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł624.00,47304
MODGPC47305,03-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,012.80",47305
MODGPC47306,10-Dec-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,672.80",47306
