Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Defence Science and Technology Laboratory,15/03/2013,Professional Services,Operations,METROPOLITAN POLICE SERVICE,,V - 9000150348 - 00157417,,48667.88
Ministry of Defence,Defence Science and Technology Laboratory,08/03/2013,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000150105 - 00156573,,48664.51
Ministry of Defence,Ministry of Defence,18/03/2013,Design services and minor equipment purchases,Land Forces,THE AUTOMOBILE ASSOCIATION LIMITED,RG21 4EA,176090,Equipment support project costs,"48,474.71"
Ministry of Defence,Ministry of Defence,01/03/2013,"Transportation of personnel, freight and travel expenses",Navy Command,AGILITY LOGISTICS LIMITED,RG1 2LG,174336,Movement of service personnel,"48,386.79"
Ministry of Defence,Ministry of Defence,14/03/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,180688,Freight movement costs,"48,385.13"
Ministry of Defence,Ministry of Defence,27/03/2013,Food and clothing,Head Office & Corporate Services,NATO SUPPORT AGENCY (NSPA),,5000094257,Cost of purchasing and repairing clothing,"48,339.62"
Ministry of Defence,National Army Museum  GIA,07/03/2013,Plant & Equioment,Collections,CONSERVATION BY DESIGN LTD,,A4546,Lease Costs ,48097.75
Ministry of Defence,National Army Museum  GIA,22/03/2013,Building Rates ,Operations,RB OF KENSINGTON & CHELSEA (RATES),,A4617  ,Lease Costs ,48097.75
Ministry of Defence,National Army Museum  GIA,28/03/2013,Legal Fees,Operations,BUILDING DESIGN PARTNERSHIP LTD,,A467,Lease Costs ,48097.75
Ministry of Defence,Ministry of Defence,14/03/2013,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,180912,Medical health services,"48,038.29"
Ministry of Defence,Ministry of Defence,15/03/2013,Purchase of information and communications technology,Land Forces,COMPUTACENTER (UK) LIMITED,SE1 8HL,181465,IT + communications asset - in year capital addition,"48,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,22/03/2013,Sub Contracted Work,Operations,ATKINS LIMITED,,V - 9000150488 - 00158281,,48000
Ministry of Defence,Defence Science and Technology Laboratory,15/03/2013,Travel & Subsistence,Operations,BARCLAYCARD,,G - 9000150387 - 00159119,,47937.72
Ministry of Defence,Ministry of Defence,25/03/2013,Fuel for military use,Defence Infrastructure Organisation ,HARVEST ENERGY LIMITED,W1G 0PU,185818,Cost of ground diesel fuel consumed,"47,872.56"
Ministry of Defence,Ministry of Defence,25/03/2013,Fuel for military use,Defence Equipment & Support,GB OILS LIMITED,WA3 6XG,176200,Cost of ground diesel fuel consumed,"47,859.06"
Ministry of Defence,Defence Science and Technology Laboratory,01/03/2013,Sub Contracted Research,Programme Office,ROLLS ROYCE PLC,,V - 9000149802 - 00155818,,47855.07
