Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total,
Ministry of Defence,Ministry of Defence,07/04/2015,"Purchase of major spares armaments, medical & general stores",Defence Equipment + Support,TYCO FIRE & INTEGRATED SOLUTIONS(UK) LIMITED,M40 2WL,453744,Capital spares engineering and technical inventory fiscal capital in year addition,"£32,275.64"
Ministry of Defence,Ministry of Defence,24/04/2015,Spend on Inventory - General,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,460787,Spend on Inventory - General,"£32,257.57"
Ministry of Defence,Ministry of Defence,29/04/2015,Fuel for military use,JFC,BOC LIMITED,M28 2UT,462234,Cost of industrial gas fuel consumed,"£32,247.46"
Ministry of Defence,Ministry of Defence,20/04/2015,Spend on Inventory - General,Defence Equipment + Support,ARNOLD LAVER & COMPANY LIMITED,S2 4RJ,458736,Spend on Inventory - General,"£32,238.00"
Ministry of Defence,Ministry of Defence,30/04/2015,Purchase of inventory and services ,HO+CS,THE ROYAL MINT,CF72 8YT,463241,Raw material and consumable or capital spare purchased,"£32,184.08"
Ministry of Defence,Ministry of Defence,16/04/2015,Food and clothing,Land Forces,KASHKET & PARTNERS LIMITED,N15 4QA,457840,Cost of purchasing and repairing clothing,"£32,172.00"
Ministry of Defence,Ministry of Defence,07/04/2015,Spend on Inventory - General,Defence Equipment + Support,MAN DIESEL & TURBO UK LIMITED,SK7 5BP,453622,Spend on Inventory - General,"£32,113.80"
Ministry of Defence,Ministry of Defence,17/04/2015,Payment of utilities,JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,458287,Utilities consumed - gas,"£32,096.23"
Ministry of Defence,Ministry of Defence,28/04/2015,Fuel for military use,DES Bespoke Trading Entity,CERTAS ENERGY UK LIMITED,WA3 6XG,461915,Cost of ground diesel fuel consumed,"£32,079.74"
Ministry of Defence,Ministry of Defence,15/04/2015,Fuel for military use,Air Command,CERTAS ENERGY UK LIMITED,FK5 4RB,185552,Cost of ground diesel fuel consumed,"£32,065.60"
Ministry of Defence,Ministry of Defence,20/04/2015,Spend on Inventory - General,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,458754,Spend on Inventory - General,"£32,063.59"
Ministry of Defence,Ministry of Defence,27/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BRAEMAR HOWELLS LIMITED,SA73 3AQ,461230,Works - estate management,"£32,052.10"
Ministry of Defence,Ministry of Defence,28/04/2015,"Transportation of personnel, freight and travel expenses",HO+CS,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,462063,Military short term detached duty,"£32,045.40"
Ministry of Defence,Ministry of Defence,20/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,STADTWERKE BIELEFELD GMBH,SG1 2YN,5000126475,Utilities consumed - heating oil,"£32,038.94"
Ministry of Defence,Ministry of Defence,10/04/2015,Purchase of inventory and services ,Navy Command,WILLIAMS LEA LIMITED,NR3 1PD,456075,Cost of other material consumed,"£32,016.27"
Ministry of Defence,Ministry of Defence,22/04/2015,Fuel for military use,Air Command,CYMA PETROLEUM (UK) LIMITED,EN5 5TD,459873,Bulk aviation fuel consumed,"£32,014.06"
Ministry of Defence,Ministry of Defence,22/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,BRACKNELL FOREST BOROUGH COUNCIL,RG12 1AQ,459789,Rent buildings - non civil estate property and married quarter property,"£31,972.80"
Ministry of Defence,Ministry of Defence,22/04/2015,Administration,HO+CS,ST PAULS CATHEDRAL,EC4M 8AD,460149,General administration,"£31,970.21"
Ministry of Defence,Ministry of Defence,09/04/2015,Food and clothing,Land Forces,KASHKET & PARTNERS LIMITED,N15 4QA,455067,Cost of purchasing and repairing clothing,"£31,944.00"
Ministry of Defence,Ministry of Defence,21/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,GREENWICH COUNCIL,SE18 6BU,459419,Rent buildings - non civil estate property and married quarter property,"£31,926.12"
Ministry of Defence,Ministry of Defence,17/04/2015,Externally delivered education and training,Land Forces,MAINSTREAM TRAINING LIMITED,ME10 3RY,458427,External military training ,"£31,904.60"
Ministry of Defence,Ministry of Defence,16/04/2015,Fees for professional services,Land Forces,WORDWAVE INTERNATIONAL LIMITED,EC2A 1ER,458156,Fees for professional services excluding legal fees,"£31,900.16"
Ministry of Defence,Council of Reserve Forces and Cadets Association,30/04/2015,Reactive Maintenance – Routine,Estates Management,W & J Hardaker Ltd,L31 6FB,827,Reactive Maintenance – Routine,"£31,887.60"
Ministry of Defence,Ministry of Defence,07/04/2015,"Transportation of personnel, freight and travel expenses",Navy Command,AGILITY LOGISTICS LIMITED,RG1 2LG,453434,Movement of service personnel,"£31,856.89"
Ministry of Defence,Ministry of Defence,22/04/2015,Administration,JFC,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,TS4 3BW,460143,General administration,"£31,832.17"
Ministry of Defence,Ministry of Defence,09/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,SAAB AB,TS4 3BW,3000012214,Equipment support non-project costs,"£31,698.00"
Ministry of Defence,Ministry of Defence,30/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BEZIRKSREGIERUNG DUESSELDORF,TS4 3BW,5000126852,Works - estate management,"£31,644.23"
Ministry of Defence,Ministry of Defence,23/04/2015,Fuel for military use,Air Command,BP INTERNATIONAL LIMITED,HP2 4UL,2000024623,Aviation fuel casual uplift consumed,"£31,599.39"
Ministry of Defence,Ministry of Defence,27/04/2015,Inventory Accruals,Defence Equipment + Support,AERONAUTICAL & GENERAL INSTRUMENTS LIMITED,BH15 3SS,461151,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£31,598.28"
Ministry of Defence,Ministry of Defence,10/04/2015,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,455594,Freight movement costs,"£31,572.03"
Ministry of Defence,Ministry of Defence,16/04/2015,Spend on Inventory - General,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,457736,Spend on Inventory - General,"£31,556.05"
Ministry of Defence,Ministry of Defence,17/04/2015,Externally delivered education and training,Land Forces,GALAHAD SUBSTANCE MISUSE SOLUTIONS LIMITED,RH8 9LR,458345,External military training ,"£31,522.90"
Ministry of Defence,Ministry of Defence,15/04/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,SECURITAS SECURITY SERVICES (UK) LIMITED,B6 7SS,457472,Fees for professional services excluding legal fees,"£31,511.76"
Ministry of Defence,Ministry of Defence,22/04/2015,IT and communication services,DES Bespoke Trading Entity,INSIGHT DIRECT (U K) LTD,UB8 1PH,459972,Information technology services,"£31,483.82"
Ministry of Defence,Ministry of Defence,16/04/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK LTD,LS16 6QY,457622,Cost of clothing and textile services received,"£31,386.34"
Ministry of Defence,Ministry of Defence,16/04/2015,Estate management,Navy Command,SECURITY SERVICES GROUP,SN6 8LA,200000021421,Works - estate management,"£31,327.20"
Ministry of Defence,Ministry of Defence,08/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SECURITY SERVICES GROUP,SN6 8LA,2E+11,Works - estate management,"£31,307.99"
Ministry of Defence,Ministry of Defence,09/04/2015,Administration,Land Forces,SUFFOLK COUNTY COUNCIL,IP4 2DH,455325,General administration,"£31,300.00"
Ministry of Defence,Ministry of Defence,27/04/2015,Administration,Land Forces,LIVERPOOL CITY COUNCIL,L2 2DH,461480,General administration,"£31,300.00"
Ministry of Defence,Ministry of Defence,23/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,SHETLAND ISLANDS COUNCIL,ZE1 0LX,460629,Rent buildings - non civil estate property and married quarter property,"£31,225.00"
Ministry of Defence,Council of Reserve Forces and Cadets Association,28/04/2015,IT Maintenance Services & Contracts,IT & Comms,Aujla Business Systems Ltd,GU14 6UU,1515,IT Maintenance Services & Contracts,"£31,197.60"
Ministry of Defence,Ministry of Defence,13/04/2015,IT and communication services,Land Forces,ORACLE CORPORATION U K LTD,RG6 1RA,456388,IT Services -internal costs,"£31,167.67"
Ministry of Defence,United Kingdon Hydrographic Office,20/05/2015,Purchased Services,Purchased Services,Cottimore Design,,2000073965,Purchased Services,"£31,160.00"
Ministry of Defence,Council of Reserve Forces and Cadets Association,24/04/2015,Payments to Welfare Assoc,Estates Management,Mrs T Hemsley,DN32 8NJ,4548,Payments to Welfare Assoc,"£31,136.00"
Ministry of Defence,Council of Reserve Forces and Cadets Association,24/04/2015,Payments to Welfare Assoc,Estates Management,QDL Contractors,CF46 5HE,271,Payments to Welfare Assoc,"£31,113.46"
Ministry of Defence,Ministry of Defence,22/04/2015,Spend on Inventory - General,Defence Equipment + Support,RIGHTON LIMITED,BS37 5FF,460112,Spend on Inventory - General,"£31,101.32"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WEYMOUTH & PORTLAND BOROUGH COUNCIL,DT4 8TA,455401,Rent buildings - non civil estate property and married quarter property,"£31,075.25"
Ministry of Defence,Ministry of Defence,07/04/2015,Spend on Inventory - General,Defence Equipment + Support,CENTRAL MANAGEMENT CATALOGUE AGENCY (U K) LTD,WR4 9FD,453519,Spend on Inventory - General,"£31,049.98"
Ministry of Defence,Council of Reserve Forces and Cadets Association,02/04/2015,Rates/NDR,Infrastructure,Croydon Council,CR9 1BQ,113,Rates/NDR,"£31,036.50"
Ministry of Defence,United Kingdon Hydrographic Office,12/05/2015,Computer maintenance & hire,Computer maintenance & hire,Jeppesen Norway AS  EM,,2000073844,Computer maintenance & hire,"£31,007.01"
Ministry of Defence,Ministry of Defence,23/04/2015,Spend on Inventory - General,Defence Equipment + Support,VARIVANE INDUSTRIES LIMITED,SN10 3EW,460711,Spend on Inventory - General,"£31,000.74"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,Air Command,HELMET INTEGRATED SYSTEMS LTD,SG6 2TU,461422,Spend on Inventory - General,"£30,949.84"
Ministry of Defence,Ministry of Defence,27/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,WEST ENERGIE UND VERKEHR (1),SG6 2TU,5000126770,Utilities consumed - gas,"£30,834.60"
Ministry of Defence,Ministry of Defence,20/04/2015,Externally delivered education and training,Land Forces,J A MAFFIA T/A JOHNS SCHOOL OF MOTORING,N18 2QD,458968,External military training ,"£30,794.00"
Ministry of Defence,Ministry of Defence,27/04/2015,Purchase of inventory and services ,JFC,AAH PHARMACEUTICALS LTD,CV2 2TX,461145,Consumption of medical dental and veterinary inventory,"£30,777.24"
Ministry of Defence,Ministry of Defence,27/04/2015,Purchase of inventory and services ,JFC,HENRY SCHEIN UK HOLDINGS LIMITED,ME8 0SB,461425,Consumption of medical dental and veterinary inventory,"£30,741.56"
Ministry of Defence,Ministry of Defence,16/04/2015,Administration,Land Forces,THE HIGHLAND COUNCIL,IV3 5NX,458101,General administration,"£30,715.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,EAST DEVON DISTRICT COUNCIL,EX10 8HL,454990,Rent buildings - non civil estate property and married quarter property,"£30,636.50"
Ministry of Defence,Ministry of Defence,22/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,BABERGH DISTRICT COUNCIL,IP7 6SJ,459763,Rent buildings - non civil estate property and married quarter property,"£30,613.61"
Ministry of Defence,Ministry of Defence,27/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,BRITISH GAS TRADING LIMITED,M16 0TW,461237,Utilities consumed - gas,"£30,525.97"
Ministry of Defence,Ministry of Defence,24/04/2015,IT and communication services,HO+CS,VISTAIR SYSTEMS LIMITED,BS32 4QH,461129,Information technology services,"£30,450.00"
Ministry of Defence,Ministry of Defence,08/04/2015,Estate management,JFC,Naafi Finance,,"SI-018890 , SI-017865",Estate management,"£30,411.27"
Ministry of Defence,Ministry of Defence,08/04/2015,Spend on Inventory - General,Defence Equipment + Support,TVS SUPPLY CHAIN SOLUTIONS LIMITED,PR6 7AJ,454772,Spend on Inventory - General,"£30,396.01"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,DEFENCE INFRASTRUCTURE ORGANISATION,FORBO FLOORING UK LIMITED.,KY1 2SB,461382,Spend on Inventory - General,"£30,382.04"
Ministry of Defence,Ministry of Defence,27/04/2015,Payment of utilities,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Utilities consumed - gas,"£30,359.55"
Ministry of Defence,Ministry of Defence,28/04/2015,Spend on Inventory - General,Defence Equipment + Support,HELMET INTEGRATED SYSTEMS LTD,SG6 2TU,461978,Spend on Inventory - General,"£30,358.62"
Ministry of Defence,Ministry of Defence,21/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,459338,Equipment support non-project costs,"£30,284.50"
Ministry of Defence,Ministry of Defence,23/04/2015,Externally delivered education and training,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,External military training ,"£30,248.12"
Ministry of Defence,Ministry of Defence,15/04/2015,Fuel for military use,Navy Command,WFL (UK) LIMITED,SN15 5DN,457575,Cost of ground diesel fuel consumed,"£30,230.04"
Ministry of Defence,Ministry of Defence,10/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,RENFREWSHIRE COUNCIL,PA1 1AD,455957,Rent buildings - non civil estate property and married quarter property,"£30,220.90"
Ministry of Defence,Ministry of Defence,16/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,MACTAGGART  SCOTT & COMPANY LTD,EH20 9SP,457869,Equipment support project costs,"£30,204.28"
Ministry of Defence,Ministry of Defence,24/04/2015,Spend on Inventory - General,Defence Equipment + Support,TOTAL INTEGRATED SOLUTIONS LIMITED,NG18 5BU,461115,Spend on Inventory - General,"£30,201.00"
Ministry of Defence,Ministry of Defence,21/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,MID SUFFOLK DISTRICT COUNCIL,IP6 8DL,459488,Rent buildings - non civil estate property and married quarter property,"£30,188.22"
Ministry of Defence,Ministry of Defence,23/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,CITY OF WESTMINSTER,SW1E 6QP,460339,Rent buildings - non civil estate property and married quarter property,"£30,183.63"
Ministry of Defence,Ministry of Defence,15/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,THE NATURAL ENVIRONMENT RESEARCH COUNCIL,SN2 1EU,200000021403,Rent buildings - non civil estate property and married quarter property,"£30,153.07"
Ministry of Defence,Ministry of Defence,20/04/2015,"Transportation of personnel, freight and travel expenses",Air Command,MY PEAK POTENTIAL LTD,SN2 1EU,5000126466,Military short term detached duty,"£30,144.64"
Ministry of Defence,Ministry of Defence,10/04/2015,Administration,Land Forces,WARWICKSHIRE COUNTY COUNCIL,CV34 4RH,456070,General administration,"£30,130.16"
Ministry of Defence,Ministry of Defence,23/04/2015,Spend on Inventory - General,Defence Equipment + Support,JOSEPH GLEAVE & SON LTD,M32 0NB,460475,Spend on Inventory - General,"£30,129.04"
Ministry of Defence,Ministry of Defence,16/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,MESSIER SERVICES LIMITED,GL2 9QL,457887,Equipment support project costs,"£30,016.36"
Ministry of Defence,Council of Reserve Forces and Cadets Association,02/04/2015,Rates/NDR,Infrastructure,London Borough of Islington,N1 1XR,84,Rates/NDR,"£30,010.50"
Ministry of Defence,Ministry of Defence,14/04/2015,Research and development,JFC,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B16 6TT,457042,Research and development excluding defence science and technology laboratory,"£30,000.00"
Ministry of Defence,Ministry of Defence,22/04/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,MOTT MACDONALD LTD,CB1 2RS,185658,Fees for professional services excluding legal fees,"£30,000.00"
Ministry of Defence,Ministry of Defence,30/04/2015,IT and communication services,JFC,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,462757,Information technology services,"£30,000.00"
Ministry of Defence,Ministry of Defence,16/04/2015,Administration,Land Forces,POWYS COUNTY COUNCIL,LD1 5LG,458007,General administration,"£30,000.00"
Ministry of Defence,Ministry of Defence,28/04/2015,Administration,Land Forces,MONMOUTHSHIRE COUNTY COUNCIL,NP26 9AN,462016,General administration,"£30,000.00"
Ministry of Defence,Ministry of Defence,10/04/2015,Administration,Land Forces,SCOTTISH BORDERS COUNCIL,TD6 0SA,455979,General administration,"£30,000.00"
Ministry of Defence,Ministry of Defence,20/04/2015,Externally delivered education and training,Air Command,THE ROYAL AERONAUTICAL SOCIETY,W1J 7BQ,459194,External military training ,"£30,000.00"
Ministry of Defence,Council of Reserve Forces and Cadets Association,28/04/2015,IT Maintenance Services & Contracts,IT & Comms,Aujla Business Systems Ltd,GU14 6UU,1514,IT Maintenance Services & Contracts,"£30,000.00"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,DEFENCE INFRASTRUCTURE ORGANISATION,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3XJ,461511,Spend on Inventory - General,"£29,998.50"
Ministry of Defence,Ministry of Defence,09/04/2015,Fuel for military use,DEFENCE INFRASTRUCTURE ORGANISATION,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,454824,Cost of ground diesel fuel consumed,"£29,992.39"
Ministry of Defence,Ministry of Defence,20/04/2015,Fuel for military use,Land Forces,WFL (UK) LIMITED,SN15 5DN,459238,Cost of ground diesel fuel consumed,"£29,978.46"
Ministry of Defence,Ministry of Defence,07/04/2015,"Purchase of munitions, other inventory or fuel",Defence Equipment + Support,THE BERTHON BOAT COMPANY LTD,SO41 3YL,453732,Raw materials and consumable engineering and technical fiscal inventory purchased,"£29,972.00"
Ministry of Defence,Ministry of Defence,29/04/2015,International contributions,HO+CS,DERBYSHIRE STRONGE LIMITED,HR2 6FE,462315,Defence military assistance fund international subscriptions and other payments,"£29,919.74"
Ministry of Defence,Ministry of Defence,08/04/2015,Purchase of inventory and services ,Defence Equipment + Support,AAH PHARMACEUTICALS LTD,CV2 2TX,454287,Consumption of medical dental and veterinary inventory,"£29,915.82"
Ministry of Defence,Ministry of Defence,17/04/2015,"Transportation of personnel, freight and travel expenses",JFC,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,458293,Freight movement costs,"£29,884.94"
Ministry of Defence,Ministry of Defence,13/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,456526,Estate + facilities management services - accommodation inventory + service,"£29,839.01"
Ministry of Defence,Ministry of Defence,20/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,458958,Works services - excluding United States forces/NATO + married quarters,"£29,814.41"
Ministry of Defence,Ministry of Defence,22/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,COTSWOLD DISTRICT COUNCIL,GL7 1PY,459866,Rent buildings - non civil estate property and married quarter property,"£29,580.37"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,CHELMSFORD BOROUGH COUNCIL,CM1 1JE,454924,Rent buildings - non civil estate property and married quarter property,"£29,580.00"
Ministry of Defence,Ministry of Defence,21/04/2015,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,459308,Cost of other material consumed,"£29,532.04"
Ministry of Defence,Council of Reserve Forces and Cadets Association,02/04/2015,Rates/NDR,Infrastructure,Croydon Council,CR9 1BQ,76,Rates/NDR,"£29,497.50"
Ministry of Defence,Ministry of Defence,16/04/2015,Administration,Land Forces,WALSALL COUNCIL,WS1 1TW,458146,General administration,"£29,441.10"
Ministry of Defence,Ministry of Defence,07/04/2015,Fees for professional services,HO+CS,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,453588,Fees for professional services excluding legal fees,"£29,416.00"
Ministry of Defence,Ministry of Defence,17/04/2015,IT and communication services,DEFENCE INFRASTRUCTURE ORGANISATION,PARITY PROFESSIONALS LIMITED,EC2A 3DR,458536,Information technology services,"£29,321.15"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,Defence Equipment + Support,VARIVANE INDUSTRIES LIMITED,SN10 3EW,461823,Spend on Inventory - General,"£29,319.91"
Ministry of Defence,Ministry of Defence,22/04/2015,Spend on Inventory - General,Land Forces,FORBO FLOORING UK LIMITED.,KY1 2SB,459932,Spend on Inventory - General,"£29,308.69"
Ministry of Defence,Ministry of Defence,30/04/2015,Medical treatment & stores and welfare services,Land Forces,POWYS COUNTY COUNCIL,LD3 7NG,463119,Schools + community relations initiatives,"£29,300.00"
Ministry of Defence,Ministry of Defence,10/04/2015,Spend on Inventory - General,Defence Equipment + Support,CENTRAL MANAGEMENT CATALOGUE AGENCY (U K) LTD,WR4 9FD,455540,Spend on Inventory - General,"£29,291.76"
Ministry of Defence,Ministry of Defence,27/04/2015,Fuel for military use,DEFENCE INFRASTRUCTURE ORGANISATION,WFL (UK) LIMITED,SN15 5DN,461838,Cost of ground diesel fuel consumed,"£29,277.54"
Ministry of Defence,Ministry of Defence,09/04/2015,Fuel for military use,Air Command,SHELL U.K. OIL PRODUCTS LTD,G1 3RN,455290,Aviation fuel casual uplift consumed,"£29,275.00"
Ministry of Defence,Council of Reserve Forces and Cadets Association,02/04/2015,Rates/NDR,Infrastructure,London Borough of Barnet,N11 1NP,103,Rates/NDR,"£29,241.00"
Ministry of Defence,Council of Reserve Forces and Cadets Association,14/04/2015,Injections / Projects RDEL and MNW,Estates Management,Wm Cummings Ltd,KA7 1SH,153,Injections / Projects RDEL and MNW,"£29,146.20"
Ministry of Defence,Ministry of Defence,20/04/2015,Fuel for military use,DES Bespoke Trading Entity,WFL (UK) LIMITED,SN15 5DN,459238,Cost of ground diesel fuel consumed,"£29,098.95"
Ministry of Defence,United Kingdon Hydrographic Office,05/05/2015,Rates,Rates,Taunton Deane Borough Council,,1500016636,Rates,"£29,087.00"
Ministry of Defence,Ministry of Defence,21/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,MIDLOTHIAN COUNCIL,EH22 1YB,459489,Rent buildings - non civil estate property and married quarter property,"£28,984.58"
Ministry of Defence,Council of Reserve Forces and Cadets Association,02/04/2015,Rates/NDR,Infrastructure,London Borough of Newham,E16 2QU,88,Rates/NDR,"£28,984.50"
Ministry of Defence,Ministry of Defence,27/04/2015,Design services and minor equipment purchases,Land Forces,SERCO LIMITED,RG27 9UY,461707,Equipment support non-project costs,"£28,892.22"
Ministry of Defence,Ministry of Defence,20/04/2015,Fuel for military use,DES Bespoke Trading Entity,CERTAS ENERGY UK LIMITED,WA3 6XG,458816,Cost of ground diesel fuel consumed,"£28,884.96"
Ministry of Defence,Ministry of Defence,08/04/2015,Fuel for military use,Air Command,ASSOCIATED ENERGY GROUP LLC,WA3 6XG,2000024499,Aviation fuel casual uplift consumed,"£28,859.61"
Ministry of Defence,Ministry of Defence,21/04/2015,Spend on Inventory - General,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,459307,Spend on Inventory - General,"£28,828.69"
Ministry of Defence,Ministry of Defence,21/04/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,459609,Property dwellings private finance initiative - service concession arrangement service charge,"£28,775.42"
Ministry of Defence,Ministry of Defence,17/04/2015,Fees for professional services,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,458288,"Advice and guidance on how to produce the product, but not production of the product itself.","£28,750.89"
Ministry of Defence,Ministry of Defence,31/03/2015,Team Expenditure,HOCS,Hafif Travel and Tourism Co Ltd,,CO005,Team Expenditure,"£28,692.39"
Ministry of Defence,Ministry of Defence,20/04/2015,Externally delivered education and training,Air Command,THE UNIVERSITY OF WESTMINSTER,W1W 6XH,459203,External military training ,"£28,634.90"
Ministry of Defence,Ministry of Defence,13/04/2015,Spend on Inventory - General,Defence Equipment + Support,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,456258,Spend on Inventory - General,"£28,596.59"
Ministry of Defence,Ministry of Defence,23/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,BRITISH GAS TRADING LIMITED,M16 0TW,460301,Utilities consumed - gas,"£28,588.94"
Ministry of Defence,Ministry of Defence,20/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,458865,Equipment support project costs,"£28,558.80"
Ministry of Defence,Ministry of Defence,07/04/2015,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,453486,Cost of other material consumed,"£28,503.29"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,CARMARTHENSHIRE COUNTY COUNCIL,SA31 1LE,454913,Rent buildings - non civil estate property and married quarter property,"£28,438.00"
Ministry of Defence,Ministry of Defence,17/04/2015,"Transportation of personnel, freight and travel expenses",DES Bespoke Trading Entity,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,458293,Freight movement costs,"£28,406.77"
Ministry of Defence,Ministry of Defence,16/04/2015,Spend on Inventory - General,Defence Equipment + Support,PPG INDUSTRIES (UK) LTD,DL4 2QP,458008,Spend on Inventory - General,"£28,367.16"
Ministry of Defence,Ministry of Defence,15/04/2015,Building maintenance and accommodation stores,Land Forces,SENATOR INTERNATIONAL LTD,BB5 5YE,457474,Building maintenance accommodation inventory,"£28,351.45"
Ministry of Defence,Ministry of Defence,07/04/2015,Externally delivered education and training,Land Forces,ACCIDON'T LIMITED,G84 7RR,453427,External military training ,"£28,330.00"
Ministry of Defence,Ministry of Defence,07/04/2015,IT and communication services,Navy Command,ABP MARINE ENVIRONMENTAL RESEARCH LIMITED,SO14 2AQ,453426,Information technology services,"£28,320.00"
Ministry of Defence,Ministry of Defence,22/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,459829,Estate core services charge,"£28,312.00"
Ministry of Defence,Ministry of Defence,14/04/2015,Agency Staff - NCMS,HOCS,NCMS,,CO002,Agency Staff - NCMS,"£28,246.74"
Ministry of Defence,Ministry of Defence,07/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,LSC GROUP LIMITED,WS13 8RZ,453617,Equipment support non-project costs,"£28,234.54"
Ministry of Defence,Ministry of Defence,20/04/2015,Fuel for military use,Navy Command,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,458717,Cost of ground diesel fuel consumed,"£28,192.24"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,461200,Spend on Inventory - General,"£28,155.31"
Ministry of Defence,Ministry of Defence,27/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,MEGGITT AEROSPACE LIMITED,CV6 4AA,461505,Equipment support non-project costs,"£28,142.04"
Ministry of Defence,Ministry of Defence,08/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ELIOR UK PLC,SK11 6ET,454453,Estate + facilities management services - accommodation inventory + service,"£28,089.69"
