Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total,
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,GOSPORT BOROUGH COUNCIL,PO12 1ED,455030,Rent buildings - non civil estate property and married quarter property,"£2,845,957.50"
Ministry of Defence,Ministry of Defence,22/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,459829,Works - estate management,"£2,807,686.23"
Ministry of Defence,Ministry of Defence,07/04/2015,IT and communication services,JFC,SOFTWARE BOX LIMITED,YO61 1ET,453711,Information technology services,"£2,607,358.58"
Ministry of Defence,Ministry of Defence,09/04/2015,Property leases,JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,454969,Property non dwellings private finance initiative - service concession arrangement service charge,"£2,529,311.28"
Ministry of Defence,Ministry of Defence,20/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,FIFE COUNCIL,KY7 5LT,458905,Rent buildings - non civil estate property and married quarter property,"£2,518,098.50"
Ministry of Defence,Ministry of Defence,14/04/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,456595,Fees for professional services excluding legal fees,"£2,486,446.43"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,PLYMOUTH CITY COUNCIL,PL1 2AA,455235,Rent buildings - non civil estate property and married quarter property,"£2,453,502.60"
Ministry of Defence,Ministry of Defence,15/04/2015,Spend on Inventory - General,Defence Equipment + Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,457433,Spend on Inventory - General,"£2,414,185.41"
Ministry of Defence,Ministry of Defence,10/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,455532,Estate core services charge,"£2,407,141.57"
Ministry of Defence,Ministry of Defence,08/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LOVELL PARTNERSHIPS LIMITED,ST16 3AS,454521,Fiscal asset under construction - capital in year addition,"£2,378,392.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES LIMITED,B75 7RL,454968,Fiscal asset under construction - capital in year addition,"£2,376,567.05"
Ministry of Defence,Ministry of Defence,28/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,461945,Utilities consumed - electricity,"£2,360,201.62"
Ministry of Defence,Ministry of Defence,24/04/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,EMP 11485,Monthly GPC Payment,"£2,342,766.47"
Ministry of Defence,Ministry of Defence,17/04/2015,Grants to NDPBs,Navy Command,SEA CADET CORPS,SE1 7JF,458581,Operating costs grant in aid to the royal navy marine society and sea cadets.,"£2,307,404.92"
Ministry of Defence,Ministry of Defence,15/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,457112,Fiscal asset under construction - capital in year addition,"£2,242,338.00"
Ministry of Defence,Ministry of Defence,24/04/2015,IT and communication services,HO+CS,ORACLE CORPORATION U K LTD,RG6 1RA,461001,Information technology services,"£2,212,046.10"
Ministry of Defence,Ministry of Defence,23/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,460282,Single use military equipment asset under construction - capital in year addition,"£2,180,794.20"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,SOUTH SOMERSET DISTRICT COUNCIL,BH20 2DH,455310,Rent buildings - non civil estate property and married quarter property,"£2,124,210.50"
Ministry of Defence,Ministry of Defence,13/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,456115,Fiscal asset under construction - capital in year addition,"£2,105,394.00"
Ministry of Defence,Ministry of Defence,29/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,462212,Works - estate management,"£2,105,018.04"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,RUSHMOOR BOROUGH COUNCIL,GU14 7JU,455273,Rent buildings - non civil estate property and married quarter property,"£2,101,880.85"
Ministry of Defence,Ministry of Defence,16/04/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV1 4HY,457691,Fees for professional services excluding legal fees,"£2,096,961.60"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,PURBECK DISTRICT COUNCIL,BH20 4PP,455249,Rent buildings - non civil estate property and married quarter property,"£2,087,817.90"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,SHROPSHIRE COUNCIL,SY2 6ND,455292,Rent buildings - non civil estate property and married quarter property,"£2,060,247.00"
Ministry of Defence,Ministry of Defence,27/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,461295,Estate + facilities management services - accommodation inventory + service,"£2,045,459.41"
Ministry of Defence,Ministry of Defence,24/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,460918,Fiscal asset under construction - capital in year addition,"£2,026,086.62"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,COLCHESTER BOROUGH COUNCIL,CO1 1QY,454945,Rent buildings - non civil estate property and married quarter property,"£2,022,286.00"
Ministry of Defence,Ministry of Defence,22/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,459765,Equipment support non-project costs,"£2,020,196.00"
Ministry of Defence,Ministry of Defence,08/04/2015,Fees for professional services,HO+CS,LAZARD & CO LIMITED,W1J 8LL,185526,"The provision of advice and assistance relating to corporate financing structures, accountancy, control mechanisms and systems","£2,000,000.00"
Ministry of Defence,Ministry of Defence,28/04/2015,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,462079,Operating costs grant in aid to the Royal Hospital Chelsea,"£1,979,166.00"
Ministry of Defence,Ministry of Defence,29/04/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,462201,Fees for professional services excluding legal fees,"£1,951,099.57"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,STRATFORD-ON-AVON DISTRICT COUNCIL,CV37 6HX,455323,Rent buildings - non civil estate property and married quarter property,"£1,922,700.00"
Ministry of Defence,Ministry of Defence,13/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK AEROSPACE LIMITED,BH23 6BS,456114,Equipment support non-project costs,"£1,876,378.56"
Ministry of Defence,Ministry of Defence,07/04/2015,IT and communication services,JFC,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,453588,Information technology services,"£1,835,036.73"
