Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100056736,"70,115.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100056738,"47,375.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100056738,"47,375.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Stationery,Information & Communications Technology & Science Directorate,Cogent Inc,5100056742,"34,110.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100056742,"18,950.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100056742,"7,580.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100056742,"26,530.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100056742,"3,790.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Telephone charges,Information & Communications Technology & Science Directorate,Specialist Computer Centres PLC,5100057104,"36,342.87",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Telephone charges,Information & Communications Technology & Science Directorate,Specialist Computer Centres PLC,5100057104,"12,723.99",
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,Telephone charges,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100057113,"52,725.00",
Home Office,NPIA - National Policing Improvement Agency,07/09/2011,IT Information Support,Information & Communications Technology & Science Directorate,Siemens Enterprise Comm Ltd,5100057119,"26,180.00",
Home Office,NPIA - National Policing Improvement Agency,02/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100057138,"23,587.50",
Home Office,NPIA - National Policing Improvement Agency,02/09/2011,IT Information Support,Information & Communications Technology & Science Directorate,Siemens Enterprise Comm Ltd,5100057174,"152,928.00",
Home Office,NPIA - National Policing Improvement Agency,19/09/2011,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100057192,"19,665.21",
Home Office,NPIA - National Policing Improvement Agency,19/09/2011,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100057192,390.24,
Home Office,NPIA - National Policing Improvement Agency,19/09/2011,Telecoms <£5000,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100057192,"10,886.03",
Home Office,NPIA - National Policing Improvement Agency,19/09/2011,Telecoms <£5000,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100057192,221.38,
Home Office,NPIA - National Policing Improvement Agency,19/09/2011,Telecoms <£5000,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100057192,"52,266.15",
Home Office,NPIA - National Policing Improvement Agency,19/09/2011,Telecoms <£5000,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100057192,"1,049.42",
Home Office,NPIA - National Policing Improvement Agency,07/09/2011,IT software,Information & Communications Technology & Science Directorate,UNISYS Ltd,5100057297,"6,506.00",
Home Office,NPIA - National Policing Improvement Agency,07/09/2011,IT software,Information & Communications Technology & Science Directorate,UNISYS Ltd,5100057297,"5,042.00",
Home Office,NPIA - National Policing Improvement Agency,07/09/2011,IT software,Information & Communications Technology & Science Directorate,UNISYS Ltd,5100057297,"7,238.00",
Home Office,NPIA - National Policing Improvement Agency,07/09/2011,IT software,Information & Communications Technology & Science Directorate,UNISYS Ltd,5100057297,"11,548.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100057298,"492,021.00",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Telecoms <£5000,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100056410,"21,783.06",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Telecoms <£5000,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100056410,431.76,
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Telecoms <£5000,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100056410,"26,139.67",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Telecoms <£5000,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100056410,518.11,
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100056410,"8,595.24",
Home Office,NPIA - National Policing Improvement Agency,05/09/2011,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100056410,168.83,
Home Office,NPIA - National Policing Improvement Agency,12/09/2011,IT software,Information & Communications Technology & Science Directorate,Specialist Computer Centres PLC,5100057463,"108,732.00",
Home Office,NPIA - National Policing Improvement Agency,09/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Airwave Solutions Ltd,5100057471,"41,708.00",
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,Staff Training,Information & Communications Technology & Science Directorate,Specialist Computer Centres PLC,5100057542,"26,073.75",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100052970,"24,800.00",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100052970,"36,487.00",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100052970,-1.00,
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100057591,"2,013.00",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100057591,"8,000.00",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100057591,"1,110.00",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100057591,"13,750.00",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100057591,12.00,
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100057591,"11,000.00",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100057591,370.00,
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100057591,400.00,
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,Contractors,Information & Communications Technology & Science Directorate,Home Office,5100057591,"3,375.00",
Home Office,NPIA - National Policing Improvement Agency,14/09/2011,Contractors,Information & Communications Technology & Science Directorate,Home Office,5100057591,1.00,
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100057596,"43,585.00",
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100057598,"75,800.00",
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100057598,"3,790.00",
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100057600,"53,060.00",
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100057601,"22,740.00",
Home Office,NPIA - National Policing Improvement Agency,16/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,IPL Information Processing Ltd.,5100057498,"303,462.58",
