Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.09.2011 to 30.09.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,386650,65582.69,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,ST JOHN HAUGHTON ROMAN CATHOLIC SCHOOL CURRENT ACCOU,386652,73276.28,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7.,386654,112665.9,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,386660,103028.98,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SCHOOLS CONDITION SCHEME NO 2 ACCOUNT,386662,37363.82,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY DIOCESAN BOARD OF EDUCATION,386664,75760.7,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,CARDINAL GRIFFIN ROMAN CATHOLIC HIGH SCHOOL - S BRIGHTON FUND,386666,38988,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,386668,53273.03,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,386670,533934.61,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,MEXBOROUGH ST JOHN THE BAPTIST SD,386672,52599.83,
DfE,PfS,02/09/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,386676,59088.91,
DfE,PfS,02/09/2011,Revenue Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,386680,181376.1,
DfE,PfS,02/09/2011,Revenue Grant,Schools Capital and Revenue Grants,INGLBY BARWICK COMMUNITY CAMPUS TRUSTEE ACCOUNT,386682,71353.79,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,387421,70137.44,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,387423,157168.31,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,LINCOLN DIOCESEN TRUSTESS BOARD OF FINANCE LTD,387425,35991.68,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,387429,29895.8,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,387431,35576.01,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,387433,103921.53,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,HEREFORD DIOCESAN BOARD OF FINANCE,387435,31481.19,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,387439,364779.61,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,387441,322051.01,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,MARIA FIDELIS COVENT SCHOOL,387447,37414.44,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,387449,76213.77,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,387451,216722.84,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,DIOCESE OF MIDDLESBROUGH - CENTRAL FUND,387453,281454.57,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,387459,63135.92,
DfE,PfS,07/09/2011,Capital Grant,Schools Capital and Revenue Grants,VIRGO FIDELIS CONVENT SENIOR SCHOOL,387461,51999.05,
