Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,07/11/2014,Estate management,JFC,LIMASSOL MUNICIPALITY,,5000120617,Works - estate management,"£64,577.06"
Ministry of Defence,Ministry of Defence,06/11/2014,IT and communication services,Defence Equipment + Support,ULTRA ELECTRONICS LIMITED,BH21 7SQ,399564,Information technology services,"£64,256.02"
Ministry of Defence,Defence Science and Technology Laboratory,21/11/2014,Capital Asset expenditure,Infrastructure,STERIA LIMITED,,V - 9000162272 - 00193434,Capital Asset expenditure,"£64,127.07"
Ministry of Defence,Royal Hospital Chelsea,25/11/2014,Contracted Out Security,Royal Hospital Chelsea,Wilson James Limited,SS0 9HR,PIN122292,PURCHASED SERVICES,"£64,082.98"
Ministry of Defence,Ministry of Defence,13/11/2014,Spend on Inventory - General,Defence Equipment + Support,SURVITEC GROUP LIMITED,CH41 1HQ,402665,Spend on Inventory - General,"£64,063.40"
Ministry of Defence,Ministry of Defence,11/11/2014,Design services and minor equipment purchases,Air Command,COBHAM FLIGHT INSPECTION  LIMITED,DL2 1NJ,401291,Equipment support non-project costs,"£64,042.00"
Ministry of Defence,Defence Science and Technology Laboratory,28/11/2014,Sub Contracted Work,Programme Delivery Directorate,LOUGHBOROUGH UNIVERSITY,,V - 9000162402 - 00193009,Sub Contracted Work,"£64,028.00"
Ministry of Defence,Ministry of Defence,05/11/2014,Design services and minor equipment purchases,Land Forces,RICHARD LAWSON (AUTOECOSSE) LIMITED,DD5 2RZ,399005,Equipment support non-project costs,"£64,000.00"
Ministry of Defence,Ministry of Defence,20/11/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,AYLESBURY VALE DISTRICT COUNCIL,HP20 2TW,404828,Rent buildings - non civil estate property and married quarter property,"£63,810.96"
Ministry of Defence,Ministry of Defence,03/11/2014,Administration,HOCS,BAE Systems,,CO003,Administration,"£63,609.82"
Ministry of Defence,Ministry of Defence,10/11/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ELIOR UK PLC,SK11 6ET,400845,Estate + facilities management services - accommodation inventory + service,"£63,604.40"
Ministry of Defence,Ministry of Defence,03/11/2014,Fuel for military use,Air Command,WATSON PETROLEUM LTD,SN15 5DN,398255,Cost of ground diesel fuel consumed,"£63,592.86"
