Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.06.2010 to 30.06.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,MILTON KEYNES COUNCIL,237752,2299223.92
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,DERBYSHIRE COUNTY COUNCIL,237754,6821806.74
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,DERBY CITY COUNCIL,237756,3041341.99
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,DORSET COUNTY COUNCIL,237758,3623053.1
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,POOLE BOROUGH COUNCIL,237760,1951578.63
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BOURNEMOUTH BOROUGH COUNCIL,237762,4189240.08
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,DURHAM COUNTY COUNCIL,237764,8612627.27
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,DARLINGTON BOROUGH COUNCIL,237766,2665300.48
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,EAST SUSSEX COUNTY COUNCIL,237768,7500649.05
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BRIGHTON AND HOVE CITY COUNCIL,237770,9648953.68
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HAMPSHIRE COUNTY COUNCIL,237772,12450520.1
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH CITY COUNCIL,237774,2086270.08
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHAMPTON CITY COUNCIL,237776,3891226
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LEICESTERSHIRE COUNTY COUNCIL,237778,6758376.51
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LEICESTER CITY COUNCIL,237780,357078.1
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,RUTLAND COUNTY COUNCIL,237782,2919994.24
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,STAFFORDSHIRE COUNTY COUNCIL,237784,11078956.05
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,STOKE ON TRENT COUNTY COUNCIL,237786,5363860.5
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WILTSHIRE COUNCIL,237788,10820381.63
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SWINDON BOROUGH COUNCIL,237790,3497263.36
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BRACKNELL FOREST BOROUGH COUNCIL,237792,7873850.18
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WINDSOR AND MAIDENHEAD ROYAL BOROUGH COUNCIL,237794,2646977.44
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WEST BERKSHIRE COUNCIL,237796,3436548.82
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,READING BOROUGH COUNCIL,237798,1584747.39
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SLOUGH BOROUGH COUNCIL,237800,4269078.13
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WOKINGHAM BOROUGH COUNCIL,237802,9531209.95
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CAMBRIDGESHIRE COUNTY COUNCIL,237804,10372163.67
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH CITY COUNCIL,237806,4613081.71
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HALTON BOROUGH COUNCIL,237808,985888.45
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WARRINGTON BOROUGH COUNCIL,237810,4105639.32
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,DEVON COUNTY COUNCIL,237812,5446664.16
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,PLYMOUTH CITY COUNCIL,237814,4376856.08
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,TORBAY COUNCIL,237816,3525670.58
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,ESSEX COUNTY COUNCIL,237818,18087982.06
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHEND-ON-SEA BOROUGH COUNCIL,237820,5453128.41
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,THURROCK COUNCIL,237822,1690754.46
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HEREFORDSHIRE COUNTY COUNCIL,237824,9471525.41
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WORCESTERSHIRE COUNTY COUNCIL,237826,5631585.51
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,KENT COUNTY COUNCIL,237828,32152850.13
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,MEDWAY COUNCIL,237830,4190224.72
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LANCASHIRE COUNTY COUNCIL,237832,21393068.72
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN WITH DARWEN BOROUGH COUNCIL,237834,7169873.52
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKPOOL BOROUGH COUNCIL,237836,3071082.66
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAMSHIRE COUNTY COUNCIL,237838,10369755.14
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAM CITY COUNCIL,237840,15086276.35
