Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.10.2011 to 31.10.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,07/10/2011,ICT - Capital Programme,Free School Capital Costs,THE WEST LONDON FREE SCHOOL ACADEMY TRUST,396154,243638.31,
DfE,PfS,07/10/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,THE WEST LONDON FREE SCHOOL ACADEMY TRUST,396154,48727.66,
DfE,PfS,07/10/2011,Revenue Grant,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,396156,85935.68,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,396217,57434.86,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,396223,158908.94,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,396225,25920,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,396227,224278.07,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS DIOCESAN BOARD OF FINANCE,396229,95242.17,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,396235,95429.37,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,396237,38968.13,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,396241,66630.18,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST EDWARDS CHURCH OF ENGLAND PRIMARY SCHOOL,396243,30780,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,396245,97340.29,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,396253,161500.07,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST JOACHIM'S GOVERNORS FUND,396257,46909.81,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,396259,297769,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST BEDES ROMAN CATHOLIC PRIMARY SCHOOL,396261,41418,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,396265,29728.15,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,396267,121994.1,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,396273,30815.41,
DfE,PfS,10/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST CLEMENT DANES SCHOOL,396275,86751.4,
DfE,PfS,10/10/2011,Capital Grant,Free School Capital Costs,BISHOP STOPFORD SCHOOL ACCOUNT,396277,140699.03,
DfE,PfS,10/10/2011,"Furniture, Fixtures & Fittings - Capital Programme",Free School Capital Costs,LANGLEY HALL PRIMARY ACADEMY TRUST,396281,41268.77,
DfE,PfS,10/10/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,LANGLEY HALL PRIMARY ACADEMY TRUST,396281,8253.74,
DfE,PfS,10/10/2011,Building Work - Capital Programme,Free School Capital Costs,NISHKAM SCHOOL TRUST NUMBER 2 ACCOUNT,396285,749555.59,
DfE,PfS,10/10/2011,"Furniture, Fixtures & Fittings - Capital Programme",Free School Capital Costs,NISHKAM SCHOOL TRUST NUMBER 2 ACCOUNT,396285,49309.87,
DfE,PfS,10/10/2011,ICT - Capital Programme,Free School Capital Costs,NISHKAM SCHOOL TRUST NUMBER 2 ACCOUNT,396285,104650.25,
DfE,PfS,10/10/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,NISHKAM SCHOOL TRUST NUMBER 2 ACCOUNT,396285,100491.95,
DfE,PfS,10/10/2011,Building Work - Capital Programme,Free School Capital Costs,RAINBOW SCHOOL TRUST,396287,42846.48,
DfE,PfS,10/10/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,RAINBOW SCHOOL TRUST,396287,8569.3,
DfE,PfS,10/10/2011,ICT - Capital Programme,Free School Capital Costs,BATLEY GRAMMER SCHOOL ACCOUNT,396291,82613.14,
DfE,PfS,10/10/2011,VAT Debtor - Academy Trusts,Free School Capital Costs,BATLEY GRAMMER SCHOOL ACCOUNT,396291,16522.63,
DfE,PfS,12/10/2011,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,396618,141534.25,
