Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,3034.8,Steinbeis Evolution White cat no: 5576305 @ £2.81 per ream,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,588,Steinbeis Evolution White cat no: 5576305 100 reams per week for 4 weeks - ref PO 490554,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,1466.82,Steinbeis Evolution White cat no: 5576305,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,1011.6,Steinbeis Evolution White cat no: 5576305,Admin
Department of Health,Department of Health,01/12/2012,Stationery,Goverance Operations & Assurance,OFFICE DEPOT UK LTD,LARGE,SP10 4JZ,87030311,1686,Steinbeis Evolution White cat no: 5576305,Admin
Department of Health,Department of Health,03/12/2012,ENDPBs Admin Capital Grant in Aid,Strategy Finance & NHS,CARE QUALITY COMMISSION (CQC),PUBLIC,NE1 4PA,CQC CASH DRAWDOWN DECEMBER2012,850000,CQC Capital payments 2012/13,Programme
Department of Health,Department of Health,03/12/2012,ENDPBs Admin Revenue Grant in Aid,Strategy Finance & NHS,CARE QUALITY COMMISSION (CQC),PUBLIC,NE1 4PA,CQC CASH DRAWDOWN DECEMBER2012,150000,CQC Revenue payments (Healthwatch) 2012/13,Admin
Department of Health,Department of Health,03/12/2012,CFH Cash,CENTRAL TECHNICAL,NHS CONNECTING FOR HEALTH,PUBLIC,LS1 4HY,FUNDINGDEC2012,15000000,,Other
Department of Health,Department of Health,03/12/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH TYNESIDE PCT,PUBLIC,NE27 0QJ,HAFS-14468,27500000,,Other
Department of Health,Department of Health,03/12/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH WEST SHA,PUBLIC,M1 3BN,HAFS-14469,59000000,,Other
