Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Descriptions,,,,,
Cabinet Office,Commission for the Compact,13/04/2010,Outsourced Research,Policy,Grant Thornton UK LLP,002-02-0006276,"59,131.88","Provision of research on the economic and social benefits of a Compact way of working, tool kit and guidance",,,,,
Cabinet Office,CABINET OFFICE,14/04/2010,Agency and Temporary Staff,COMMUNICATION GROUP,CENTRAL OFFICE OF INFORMATION,3000009388,"45,334.04",Digital Engagement innovation projects for 2009-10 including engagement activity and data.gov.uk,,,,,
Cabinet Office,CABINET OFFICE,14/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009392,"37,654.57",Facilities Management services,,,,,
Cabinet Office,CABINET OFFICE,14/04/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009392,"44,147.56",70 Whitehall project phase 3 works,,,,,
Cabinet Office,CABINET OFFICE,14/04/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009392,"109,755.81",70 Whitehall project phase 3 works,,,,,
Cabinet Office,CABINET OFFICE,14/04/2010,Freehold Non Residential Buildings,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009392,"143,161.54",70 Whitehall project phase 3 works,,,,,
Cabinet Office,CABINET OFFICE,14/04/2010,Non Residential Fees,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009392,"235,000.00",70 Whitehall project phase 3 project management services,,,,,
Cabinet Office,CABINET OFFICE,14/04/2010,Consultancy,OFFICE FOR CIVIL SOCIETY,COI CENTRAL OFFICE OF INFORMATION,3000009388,"74,100.93",Payment for the delivery of the Queens Award for Voluntary Service,,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Consultancy,COMMUNICATION GROUP,SERCO CONSULTING,3000009442,"28,615.00",Benefits Management support for the digital delivery and service transformation programme,,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Land and Buildings,ESTATE MANAGEMENT,HMCS,3000009436,"77,684.50",Rent charges for Cabinet Office Estate (Grosvenor House),,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009429,"91,031.00",Facilities Management services,,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Non Residential Fees,ESTATE MANAGEMENT,ECOVERT FM,1000209,"143,841.24",70 Whitehall project phase 3 project management services,,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Land and Buildings,ESTATE MANAGEMENT,KING SURGE LLP,1000212,"253,000.00",Rent charges for Cabinet Office Estate (35 Great Smith Street),,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Freehold Non Residential Buildings,ESTATE MANAGEMENT,ECOVERT FM,1000210,"259,946.45",70 Whitehall project phase 3 works,,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Freehold Non Residential Buildings,ESTATE MANAGEMENT,ECOVERT FM,1000211,"899,007.78",70 Whitehall project phase 3 works,,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Consultancy,OFFICE FOR CIVIL SOCIETY,SROI NETWORK LTD,3000009443,"40,626.28",Social return on investment project,,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Accommodation and Utilities,PRIME MINISTER'S OFFICE,THE ROYAL PARKS,3000009444,"26,670.84",Half yearly maintenance of the PMO garden,,,,,
Cabinet Office,CABINET OFFICE,15/04/2010,Consultancy,PUBLIC SERVICE UNIT,CENTRAL OFFICE OF INFORMATION,3000009427,"44,250.00",Research for an Innovators Council project on Small Businesses -Data Analysis. ,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Consultancy,CIVIL SERVICE PENSIONS,PRICEWATERHOUSE COOPERS LLP,3000009483,"364,260.78",Professional Services January and February 2010,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Other Staff Related Costs,CIVIL SERVICE PENSIONS,CAPITA BUSINESS SERVICES LTD,3000009464,"388,026.73",Contract fee for administration of Pension Payments,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Accommodation and Utilities,EMERGENCY PLANNING COLLEGE,CARILLION AMBS LTD,3000009466,"79,493.45",Facilities Management services  for Emergency Planning College Easingwold,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009469,"124,714.50",70 Whitehall project phase 3 works,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009469,"902,987.39",Facilities Management services ,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009469,"913,237.66",Facilities Management services ,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Other Staff Related Costs,HUMAN RESOURCES,NATIONAL SCHOOL OF GOVERNMENT,3000009479,"100,557.00",Contribution to National School of Government for Cabinet Office 2009/2010,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Consultancy,INTELLIGENCE SECURITY AND RESILIENCE,SELEX SYSTEMI INTEGRATION LTD,3000009485,"88,138.58",Gold Standard Exercises to enhance UK Resilience by providing the multi-agency civil command team training necessary for the effective management of major emergencies and events.,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Accommodation and Utilities,PRIME MINISTER'S OFFICE,ECOVERT FM LTD,3000009469,"37,047.51",Facilities Management services,,,,,
Cabinet Office,CABINET OFFICE,16/04/2010,Accommodation and Utilities,PRIME MINISTER'S OFFICE,BT,3000009463,"63,286.32",Telecomms line rentals,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,London Councils,2238,"188,465.50",IRP - Improving Reach Programme grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,London Councils,2081,"175,750.00",CDG - Consortia Development Grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Association of Chief Executives of Voluntary Organisations,2024,"150,000.00",NSS - National Support Services grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,British Association of Settlements and Social Action Centres,2020,"150,000.00",NSS - National Support Services grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Charities Evaluation Services,2021,"150,000.00",NSS - National Support Services grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,London Councils,2039,"140,579.75",MOD - Modernisation Grants,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Attend,3077,"136,838.27",VMPC - Volunteer Management Programme: To act as Training Provider under Strand C of the Volunteer Management Programme.,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Volunteering England,2023,"128,750.00",NSS - National Support Services grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,National Association for Voluntary and Community Action,2243,"100,000.00",NPP - National Priorities Programme grant.,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Women's Resource Centre,2022,"100,000.00",NSS - National Support Services grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Project North East,3081,"81,523.07",VMPC - Volunteer Management Programme: To act as Training Provider under Strand C of the Volunteer Management Programme.,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,London Councils,1679,"59,748.25",VMP - Volunteer Management Programme: London Councils fund manages the Volunteer Management Programme grants within the London region,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Greater Manchester Centre for Voluntary Organisation,2088,"55,000.00",CDG - Consortia Development Grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,National Association for Voluntary and Community Action,2242,"50,000.00",NPP - National Priorities Programme grant.,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Dorset Community Action,2127,"40,126.50",MOD - Modernisation Grants: ,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Federation for Community Development Learning Ltd,2219,"37,500.00",IRP - Improving Reach Programme grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,"Engage, The West Somerset Voluntary Sector Development Agency",3067,"37,498.00",IRP - Improving Reach Programme grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Young Lancashire,2503,"37,469.25",MOD - Modernisation Grants: To deliver the 'Modernising Marketing and Communications' project.,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,B:RAP Ltd,2227,"37,225.00",IRP - Improving Reach Programme grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Church Action on Poverty Limited,2179,"37,175.00",IRP - Improving Reach Programme grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,The Tutu Foundation (UK),2174,"37,062.50",IRP - Improving Reach Programme grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Charities Information Bureau South & West,2504,"36,803.75",MOD - Modernisation Grants: To deliver the 'Voice and Influence' project.,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Leeds Asylum Seekers Support Network,2195,"36,401.25",IRP - Improving Reach Programme grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,London Councils,2463,"35,847.50",MOD - Modernisation Grants: London Councils fund manages the Modernisation Grant programme within the London region.,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Voluntary Sector Training Alliance Ltd,2475,"35,303.40",MOD - Modernisation Grants,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Volunteering England,4371,"35,000.00","VMP - Volunteer Management Programme: Volunteer Management Programme Funding - Strand B.

",,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,"Cheshire, Halton and Warrington Race and Equality Centre",2182,"34,370.00","IRP - Improving Reach Programme grant
",,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Single Parent Action Network,2205,"34,212.50","IRP - Improving Reach Programme grant
",,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Sefton Council for Voluntary Service,2138,"33,816.25",MOD - Modernisation Grants,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Sefton Council for Voluntary Service,2089,"33,000.00",CDG - Consortia Development Grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Minority Ethnic Network Eastern Region,2216,"32,500.00","IRP - Improving Reach Programme grant
",,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Sport 4 Life Ltd,2220,"30,919.25",IRP - Improving Reach Programme grant,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Voluntary Action Wokingham Borough,2474,"29,334.50",MOD - Modernisation Grants: To deliver the Modernisation Grant project.,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Milton Keynes Council of Voluntary Organisations,2046,"27,792.50",MOD - Modernisation Grants,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,The Charities Information Bureau,2013,"27,500.00","CDG - Consortia Development Grant
",,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Essex Disabled People's Association Limited,2164,"27,387.50",IRP - Improving Reach Programme,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Sheffield Diocesan Board of Finance,2178,"26,039.00","IRP - Improving Reach Programme grant
",,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Sefton Council for Voluntary Service,2264,"25,779.50",MOD - Modernisation Grants ,,,,,
Cabinet Office,Capacity Builders,16/04/2010,Grant,Programmes,Regional Action and Involvement South East (RAISE),2235,"25,587.50",MOD - Modernisation Grants,,,,,
Cabinet Office,CABINET OFFICE,19/04/2010,Other Staff Related Costs,CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000009535,"62,832.00",Fast Stream Recruitment,,,,,
Cabinet Office,CABINET OFFICE,19/04/2010,Non Residential Fees,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009506,"80,132.45",70 Whitehall project phase 3 project management services,,,,,
Cabinet Office,CABINET OFFICE,19/04/2010,Freehold Non Residential Buildings,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009506,"819,314.26",70 Whitehall project phase 3 works,,,,,
Cabinet Office,CABINET OFFICE,19/04/2010,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,BRITISH YOUTH COUNCIL.,3000009498,"31,533.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,19/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACRE,3000009492,"70,041.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,19/04/2010,Grants-in-Aid to NDPB's,OFFICE OF THE THIRD SECTOR NDPBS,CAPACITY BUILDERS UK LTD,3000009500,"2,300,000.00",Capacitybuilders grant-in-aid - to build sector support services for civil society organisations,,,,,
Cabinet Office,CABINET OFFICE,19/04/2010,"Travel, Subsistence and Hospitality",PRIME MINISTER'S OFFICE,FOREIGN & COMMONWEALTH OFFICE,3000009508,"95,126.28",Costs relating to United Nations General Assembly September 2009,,,,,
Cabinet Office,CABINET OFFICE,20/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE COALITION,3000009567,"178,000.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,21/04/2010,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,1000218,"303,748.00",Refund to Central Chancery for the cost of insignia issued during 2009/10,,,,,
Cabinet Office,CABINET OFFICE,22/04/2010,Supplies and Services,CIVIL SERVICE PENSIONS,TREASURY SOLICITOR,3000009615,"171,149.00",Advice provided by in-house legal team,,,,,
Cabinet Office,CABINET OFFICE,22/04/2010,IT Costs,CIVIL SERVICE PENSIONS,XAFINITY CLAYBROOK,3000009619,"344,453.09",Contract fee for database used in Pension Administration,,,,,
Cabinet Office,CABINET OFFICE,22/04/2010,IT Costs,ECONOMIC AND DOMESTIC SECRETARIAT,CABLE & WIRELESS PLC,3000009595,"35,422.00",Hosting of CabCom on the GSI network. For the financial year 2009/2010.,,,,,
Cabinet Office,CABINET OFFICE,22/04/2010,Consultancy,EMERGENCY PLANNING COLLEGE,EVERSHEDS LLP,3000009602,"25,204.60",Legal support to Emergency Planning College 'Yet Further Ahead' project  ,,,,,
Cabinet Office,CABINET OFFICE,22/04/2010,Consultancy,GOVERNMENT CIO,CENTRAL OFFICE OF INFORMATION,3000009596,"49,772.00","Editorial, graphic design and typesetting of previous ICT strategy.",,,,,
Cabinet Office,CABINET OFFICE,22/04/2010,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000009617,"40,654.00",Cabinet Office Data network supporting the London based estate,,,,,
Cabinet Office,CABINET OFFICE,22/04/2010,IT Costs,IT AND TELECOMS BRANCH,CABLE & WIRELESS PLC,3000009595,"241,842.82",Telecomms services,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Skills Third-Sector,3078,"152,476.93",VMPC - Volunteer Management Programme: To act as Training Provider under Strand C of the Volunteer Management Programme.,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,The National Council for Voluntary Organisations,2017,"150,000.00",NSS - National Support Services grant,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,The National Council for Voluntary Organisations,2025,"150,000.00",NSS - National Support Services grant,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Voluntary Action Sheffield,3080,"139,843.41",VMPC - Volunteer Management Programme: To act as Training Provider under Strand C of the Volunteer Management Programme.,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,The Media Trust,2018,"100,000.00",NSS - National Support Services grant. ,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,The National Council for Voluntary Organisations,2019,"100,000.00",NSS - National Support Services grant,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,The National Council for Voluntary Organisations,2245,"50,000.00",NPP - National Priorities Programme grant.,,,,,
Cabinet Office,Capacity Builders,22/04/2010,Grant,Programmes,Irish Traveller Movement in Britain,2215,"34,848.00",IRP - Improving Reach Programme grant,,,,,
