Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,Home Office,21/12/2010,ESTATES AND FACILITIES.RENT & RATES,CPG - Crime & Policing Group,DTZ DEBENHAM TIE LEUNG LTD,1877001,"6,318,778.81"
Home Office,Home Office,22/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1877861,"188,646.90"
Home Office,Home Office,02/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1863591,"58,706.02"
Home Office,Home Office,14/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1872691,"34,412.69"
Home Office,Home Office,08/12/2010,ESTATES AND FACILITIES.RENT & RATES,CPG - Crime & Policing Group,DTZ DEBENHAM TIE LEUNG LTD,1867524,"32,726.52"
Home Office,Home Office,13/12/2010,"Building, Construction Service.Build a new structure (FA)",CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1871485,"26,381.57"
Home Office,Home Office,22/12/2010,"Building, Construction Service.General building construction",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1877171,"80,663.75"
Home Office,Home Office,08/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,ATKINS LTD,1866047,"191,303.92"
Home Office,Home Office,30/12/2010,"Building, Construction Service.Building ConstructionServ-ADMN",CPG - Crime & Policing Group,AMEY COMMUNITY,1881463,"58,561.81"
Home Office,Home Office,30/12/2010,"Building, Construction Service.Building ConstructionServ-ADMN",CPG - Crime & Policing Group,AMEY COMMUNITY,1882159,"30,212.56"
Home Office,Home Office,15/12/2010,Management & Admin Serv.Temp IT N/w Specialists - ADMN,CPG - Crime & Policing Group,ADVANTAGE TECHNICAL RESOURCING,1862046,"26,398.06"
Home Office,Home Office,31/12/2010,Management & Admin Serv.Temp IT S/w Developers - ADMN,CPG - Crime & Policing Group,ADVANTAGE TECHNICAL RESOURCING,1882595,"28,762.83"
Home Office,Home Office,07/12/2010,Management & Admin Serv.Temp IT N/w Specialists - ADMN,CPG - Crime & Policing Group,NES IT,1866508,"55,930.00"
Home Office,Home Office,22/12/2010,"IT, Broadcasting & Telecomms.Sirius - Other Services - ADMN",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1836654,"59,196.50"
Home Office,Home Office,22/12/2010,"IT, Broadcasting & Telecomms.Sirius - Other Services - ADMN",CPG - Crime & Policing Group,ATOS ORIGIN IT SERVICES UK LIMITED- MEDICAL SERVICES,1875547,"59,070.78"
